Lat	Lon	MeanFitness
43.3800	-8.5900	 0.803
51.6800	-8.5900	 0.913
51.8400	-8.5900	 0.871
52.0100	-8.5900	 0.877
52.1800	-8.5900	 0.675
52.3400	-8.5900	 0.841
52.5100	-8.5900	 0.943
52.6700	-8.5900	 0.944
52.8400	-8.5900	 0.941
53.0100	-8.5900	 0.823
53.1700	-8.5900	 0.837
53.3400	-8.5900	 0.893
53.5100	-8.5900	 0.538
53.6700	-8.5900	 0.479
53.8400	-8.5900	 0.476
54.0000	-8.5900	 0.358
54.1700	-8.5900	 0.235
54.3400	-8.5900	 0.152
54.8300	-8.5900	 0.000
70.9400	-8.5900	 0.001
37.2400	-8.4300	 0.000
37.4000	-8.4300	 0.115
37.5700	-8.4300	 0.127
37.7300	-8.4300	 0.000
37.9000	-8.4300	 0.050
38.0700	-8.4300	 0.000
38.2300	-8.4300	 0.126
38.4000	-8.4300	 0.000
38.5600	-8.4300	 0.000
38.7300	-8.4300	 0.050
38.9000	-8.4300	 0.050
39.0600	-8.4300	 0.050
39.2300	-8.4300	 0.200
39.4000	-8.4300	 0.299
39.5600	-8.4300	 0.399
39.7300	-8.4300	 0.741
39.8900	-8.4300	 0.839
40.0600	-8.4300	 0.990
40.2300	-8.4300	 0.994
40.3900	-8.4300	 0.993
40.5600	-8.4300	 0.991
40.7200	-8.4300	 0.990
40.8900	-8.4300	 0.987
41.0500	-8.4300	 0.972
41.2200	-8.4300	 0.957
41.3900	-8.4300	 0.929
41.5500	-8.4300	 0.895
41.7200	-8.4300	 0.816
41.8800	-8.4300	 0.682
42.0500	-8.4300	 0.429
42.2200	-8.4300	 0.559
42.3800	-8.4300	 0.349
42.5500	-8.4300	 0.402
42.7200	-8.4300	 0.394
42.8800	-8.4300	 0.511
43.0500	-8.4300	 0.462
43.2100	-8.4300	 0.433
43.3800	-8.4300	 0.805
51.8400	-8.4300	 0.929
52.0100	-8.4300	 0.885
52.1800	-8.4300	 0.786
52.3400	-8.4300	 0.791
52.5100	-8.4300	 0.894
52.6700	-8.4300	 0.943
52.8400	-8.4300	 0.920
53.0100	-8.4300	 0.535
53.1700	-8.4300	 0.327
53.3400	-8.4300	 0.683
53.5100	-8.4300	 0.525
53.6700	-8.4300	 0.484
53.8400	-8.4300	 0.434
54.0000	-8.4300	 0.319
54.1700	-8.4300	 0.298
54.3400	-8.4300	 0.338
54.5000	-8.4300	 0.452
54.6700	-8.4300	 0.059
54.8300	-8.4300	 0.000
37.2400	-8.2600	 0.000
37.4000	-8.2600	 0.000
37.5700	-8.2600	 0.005
37.7300	-8.2600	 0.005
37.9000	-8.2600	 0.000
38.0700	-8.2600	 0.000
38.2300	-8.2600	 0.000
38.4000	-8.2600	 0.000
38.5600	-8.2600	 0.000
38.7300	-8.2600	 0.050
38.9000	-8.2600	 0.050
39.0600	-8.2600	 0.050
39.2300	-8.2600	 0.250
39.4000	-8.2600	 0.349
39.5600	-8.2600	 0.399
39.7300	-8.2600	 0.499
39.8900	-8.2600	 0.792
40.0600	-8.2600	 0.973
40.2300	-8.2600	 0.990
40.3900	-8.2600	 0.992
40.5600	-8.2600	 0.990
40.7200	-8.2600	 0.989
40.8900	-8.2600	 0.958
41.0500	-8.2600	 0.929
41.2200	-8.2600	 0.959
41.3900	-8.2600	 0.896
41.5500	-8.2600	 0.905
41.7200	-8.2600	 0.869
41.8800	-8.2600	 0.713
42.0500	-8.2600	 0.545
42.2200	-8.2600	 0.613
42.3800	-8.2600	 0.391
42.5500	-8.2600	 0.275
42.7200	-8.2600	 0.301
42.8800	-8.2600	 0.516
43.0500	-8.2600	 0.459
43.2100	-8.2600	 0.604
43.3800	-8.2600	 0.896
51.8400	-8.2600	 0.892
52.0100	-8.2600	 0.892
52.1800	-8.2600	 0.786
52.3400	-8.2600	 0.894
52.5100	-8.2600	 0.791
52.6700	-8.2600	 0.691
52.8400	-8.2600	 0.678
53.0100	-8.2600	 0.539
53.1700	-8.2600	 0.434
53.3400	-8.2600	 0.541
53.5100	-8.2600	 0.437
53.6700	-8.2600	 0.386
53.8400	-8.2600	 0.537
54.0000	-8.2600	 0.429
54.1700	-8.2600	 0.291
54.3400	-8.2600	 0.344
54.5000	-8.2600	 0.077
54.6700	-8.2600	 0.140
54.8300	-8.2600	 0.034
55.0000	-8.2600	 0.106
71.1000	-8.2600	 0.001
37.2400	-8.1000	 0.000
37.4000	-8.1000	 0.000
37.5700	-8.1000	 0.013
37.7300	-8.1000	 0.005
37.9000	-8.1000	 0.000
38.0700	-8.1000	 0.000
38.2300	-8.1000	 0.000
38.4000	-8.1000	 0.000
38.5600	-8.1000	 0.050
38.7300	-8.1000	 0.050
38.9000	-8.1000	 0.050
39.0600	-8.1000	 0.050
39.2300	-8.1000	 0.200
39.4000	-8.1000	 0.299
39.5600	-8.1000	 0.399
39.7300	-8.1000	 0.497
39.8900	-8.1000	 0.691
40.0600	-8.1000	 0.976
40.2300	-8.1000	 0.973
40.3900	-8.1000	 0.991
40.5600	-8.1000	 0.983
40.7200	-8.1000	 0.918
40.8900	-8.1000	 0.910
41.0500	-8.1000	 0.865
41.2200	-8.1000	 0.950
41.3900	-8.1000	 0.928
41.5500	-8.1000	 0.903
41.7200	-8.1000	 0.865
41.8800	-8.1000	 0.633
42.0500	-8.1000	 0.431
42.2200	-8.1000	 0.549
42.3800	-8.1000	 0.454
42.5500	-8.1000	 0.426
42.7200	-8.1000	 0.386
42.8800	-8.1000	 0.580
43.0500	-8.1000	 0.603
43.2100	-8.1000	 0.689
43.3800	-8.1000	 0.869
43.5500	-8.1000	 0.892
43.7100	-8.1000	 0.889
52.0100	-8.1000	 0.943
52.1800	-8.1000	 0.891
52.3400	-8.1000	 0.786
52.5100	-8.1000	 0.386
52.6700	-8.1000	 0.583
52.8400	-8.1000	 0.230
53.0100	-8.1000	 0.690
53.1700	-8.1000	 0.577
53.3400	-8.1000	 0.538
53.5100	-8.1000	 0.592
53.6700	-8.1000	 0.481
53.8400	-8.1000	 0.487
54.0000	-8.1000	 0.481
54.1700	-8.1000	 0.236
54.3400	-8.1000	 0.205
54.5000	-8.1000	 0.070
54.6700	-8.1000	 0.243
54.8300	-8.1000	 0.033
55.0000	-8.1000	 0.028
55.1600	-8.1000	 0.062
71.1000	-8.1000	 0.001
37.2400	-7.9300	 0.000
37.4000	-7.9300	 0.005
37.5700	-7.9300	 0.090
37.7300	-7.9300	 0.005
37.9000	-7.9300	 0.000
38.0700	-7.9300	 0.000
38.2300	-7.9300	 0.000
38.4000	-7.9300	 0.000
38.5600	-7.9300	 0.000
38.7300	-7.9300	 0.094
38.9000	-7.9300	 0.099
39.0600	-7.9300	 0.000
39.2300	-7.9300	 0.050
39.4000	-7.9300	 0.249
39.5600	-7.9300	 0.349
39.7300	-7.9300	 0.546
39.8900	-7.9300	 0.641
40.0600	-7.9300	 0.974
40.2300	-7.9300	 0.830
40.3900	-7.9300	 0.991
40.5600	-7.9300	 0.991
40.7200	-7.9300	 0.955
40.8900	-7.9300	 0.940
41.0500	-7.9300	 0.848
41.2200	-7.9300	 0.903
41.3900	-7.9300	 0.950
41.5500	-7.9300	 0.857
41.7200	-7.9300	 0.743
41.8800	-7.9300	 0.552
42.0500	-7.9300	 0.634
42.2200	-7.9300	 0.488
42.3800	-7.9300	 0.896
42.5500	-7.9300	 0.773
42.7200	-7.9300	 0.566
42.8800	-7.9300	 0.659
43.0500	-7.9300	 0.728
43.2100	-7.9300	 0.708
43.3800	-7.9300	 0.900
43.5500	-7.9300	 0.928
43.7100	-7.9300	 0.986
52.0100	-7.9300	 0.884
52.1800	-7.9300	 0.872
52.3400	-7.9300	 0.664
52.5100	-7.9300	 0.433
52.6700	-7.9300	 0.390
52.8400	-7.9300	 0.289
53.0100	-7.9300	 0.543
53.1700	-7.9300	 0.681
53.3400	-7.9300	 0.632
53.5100	-7.9300	 0.342
53.6700	-7.9300	 0.637
53.8400	-7.9300	 0.491
54.0000	-7.9300	 0.479
54.1700	-7.9300	 0.214
54.3400	-7.9300	 0.042
54.5000	-7.9300	 0.147
54.6700	-7.9300	 0.036
54.8300	-7.9300	 0.000
55.0000	-7.9300	 0.000
55.1600	-7.9300	 0.000
71.1000	-7.9300	 0.001
37.2400	-7.7600	 0.000
37.4000	-7.7600	 0.146
