ID,Lat,Long,PSS,LMA,LA,LM,HV,LWC,Nmass,Delta13C,Wdens,RW10M,FO_tree,FO_branch,FW_mean,DBH,Height,Comp20,Martin1,Martin2,Martin3,Martin4,Martin5,Martin6,Martin7,Martin8,Martin9,Martin10,Martin11,Martin12,Martin13,Martin14,Martin15,Martin16,Martin17,Martin18,Martin19,Martin21,Martin22,Martin23,Martin24,Martin25,Martin26,Martin27,Martin28,Martin29,Martin30
257_2_92,213522.87,831609.45,46.5,109.38,106.97,1.17,10.77,0.5357,2.64,-26.27,0.7241,0.2915,4,2,0.44,12.64,1092,38.6,0,3.42818459,5.297091083,6.930401241,10.26325323,13.18687274,15.02509559,17.99406173,19.35863426,21.23813556,24.66451956,25.99612569,25.99612569,26.78433808,32.08880071,32.75986995,35.08424603,36.2697548,38.56858834,39.46423121,40.27609072,41.4731317,41.86153612,43.19771266,45.00051203,46.85153591,48.29249172,48.29249172,49.31968343
257_2_94,213531.34,831617.59,42.5,102.55,72.16,0.74,12.41,0.5569,2.21,-28.63,0.6343,0.159,1,2,0.35,18.27,977,33.8,0,1.037704968,1.037704968,2.104790678,2.104790678,3.917483335,5.393480944,8.030972279,10.66682338,14.96574791,20.26739401,21.63223142,26.0851524,27.41117701,27.8271939,28.65489695,30.94641653,31.76801883,32.52669363,34.73367082,37.60384082,38.62554947,39.54801245,40.54814523,42.07071699,43.20296155,46.60253721,46.94413484,48.10253559
257_2_95,213537.55,831610.97,44,100.35,80.72,0.81,14.88,0.5645,2.44,-26.96,0.735,0.7595,3,5,0.9,23.4,1196,17.8,0,0,0,1.041250468,2.11547123,2.11547123,3.439526592,4.265322293,5.883601229,6.434706979,7.496755239,7.611458502,9.23463875,10.58755883,11.27629846,11.27629846,13.57288224,14.9733958,16.43309221,19.26367288,19.98437284,20.58188257,20.88622733,21.9221312,22.96623297,23.16392719,24.00621723,24.4756036,26.62460204
257_2_96,213542.31,831653.2,NA,122.55,84.05,1.03,11.76,0.6038,1.94,-27.83,0.6892,0.0857,0,4,0.55,15.66,641,64.9,0,0,0.862415507,3.079768065,6.080257796,6.979385843,12.97045591,15.06015425,16.43836196,17.96021556,25.44247318,31.34333018,34.24028576,41.65616193,45.50507556,49.75136791,54.53247275,59.12350658,60.88558702,68.30081521,72.50303137,74.70026509,80.06373519,81.92747849,86.40776412,90.7170166,95.81327456,99.12510198,102.2879103
257_2_97,213543.57,831651.23,44.5,122.06,45.88,0.56,27.23,0.541,2.33,-25.96,0.7387,0.4114,1,1,0.14,15.25,1314,63.4,0,0,2.186963259,2.186963259,7.450949773,9.608035924,11.91568256,12.78181026,15.42233378,18.66971891,21.426984,30.05004231,34.37023167,39.72364076,42.79586975,48.94758964,53.40300818,57.11240278,60.6028904,66.1563184,69.3369474,71.80683842,77.64665625,78.76126512,88.18480852,90.87477805,93.52062238,96.24470418,100.2112463
257_2_99,213547.86,831649.52,48,101.13,59.33,0.6,13.07,0.5775,2.39,-26.57,0.6789,0.2505,3,5,0.59,19.99,1325,47,0,0,1.032721425,1.633583807,4.183919557,4.183919557,6.467199201,8.6953884,9.161337001,15.39053372,17.79057326,19.68178061,22.48212252,23.18333686,27.87960561,31.62325972,34.78911411,39.90876615,43.62357492,49.50124727,54.42268653,58.26576207,59.93556355,61.94000928,63.96905528,66.38365451,68.01662699,70.13707066,73.26914946
257_2_100,213547.94,831649.48,48,120.13,68.26,0.82,7.72,0.5367,2.35,-26.23,0.7277,0.2717,2,1,0.17,15.82,1216,59.2,0,0,2.784541031,4.583615723,4.583615723,6.57400698,8.075971066,13.82755743,15.52692849,18.63658773,21.9965861,25.20091785,30.70934552,35.24414303,40.00392677,42.39779686,45.43963388,49.5407786,53.49295021,66.44414716,69.42857325,71.8469649,75.53763539,77.89301314,80.09458938,81.60449096,85.13737332,86.85571701,89.47571905
257_2_101,213548.09,831655.86,45,125.93,54,0.68,14.67,0.5584,2.11,-26.62,0.5667,0.3395,2,4,0.71,19.58,1371,54.3,0,0,1.038055925,1.719473688,4.760954899,8.633442378,11.59381187,13.4116154,14.29830536,19.0527565,21.87851157,28.07165943,28.99797427,32.88901752,36.43385678,40.58124694,44.23716608,47.68548558,50.57467066,56.55388732,61.89098944,65.19487969,67.29607381,70.74256035,73.95209553,76.07832477,77.08974533,79.29573905,80.71523775
257_2_102,213556.93,831647.93,50.5,100.26,46.88,0.47,9.51,0.6017,2.35,-27.59,0.6324,0.4475,4,2,0.34,27.31,1300,27.1,0,0,0.899056897,0.899056897,2.093236398,3.034879476,3.76413913,3.76413913,3.76413913,6.364627778,8.087950793,9.715800545,13.00849145,16.16925842,17.16638599,19.14002214,21.53737569,24.06266672,24.60373595,29.58159341,32.25790007,33.66669155,36.00446075,36.75690755,39.57565568,41.57692108,42.45729777,43.42489766,45.25259663
257_2_103,213563.22,831637.66,47,112.78,54.09,0.61,14.38,0.4741,2.79,-26.19,NA,1.0744,4,3,0.26,34.19,1397,8.7,0,0,0.9595296,0.9595296,0.9595296,2.760558756,2.760558756,2.760558756,2.760558756,2.760558756,2.760558756,3.416634191,5.04334765,5.04334765,6.06452195,6.569743536,6.918450596,6.918450596,8.347709474,9.415222223,10.28621011,11.91836633,13.65917983,13.65917983,15.30861526,16.03818539,16.84826212,19.09596848,20.64099973
