year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
2012,BEAL,122,142,NA,NA,0.645848290582281,2.99462989960637,4.24264068711928,4.06578532579991
2013,BEAL,128,143,120,122,0.142384076585411,4.26710863309169,NA,NA
2014,BEAL,135,151,130,130,2.33930414043047,3.10479276273635,2.88675134594813,0.878077809030682
2015,BEAL,128,143,NA,NA,5.28965705711989,2.5164465961503,7.07636912547671,6.1019075538234
2016,BEAL,133,149,122,126,2.88678887390327,0.527128676484975,NA,NA
2017,BEAL,126,144,118,118,0.160180859588267,1.53667393418668,0,0
2018,BEAL,130,145,NA,NA,1.20497254854712,1.41413578023826,NA,NA
2019,BEAL,133,149,122,124,4.13576040471967,3.29167657360335,NA,NA
2020,BEAL,138,153,NA,NA,2.27175478477961,2.43252740882429,6.01040764008565,6.16744093145107
2021,BEAL,130,147,120,120,1.97810826787245,2.36703782135825,4.50924975282289,4.50924476456795
1990,BELE,124,152,NA,NA,3.34107494507463,0.0961870357821721,3.685557397916,2.3889327781135
1991,BELE,123,138,124,129,2.30966665921024,0.633684486857302,NA,NA
1992,BELE,137,150,144,145,0.908778179071848,0,4.24264068711928,1.85611154816384
1993,BELE,117,142,NA,NA,3.14381045459085,0.918572175422628,NA,NA
1994,BELE,131,145,134,135,3.08551607698343,2.50947412181242,NA,NA
1995,BELE,131,145,130,130,4.73822993988139,2.02136549547143,3.53553390593274,2.12138398348815
1996,BELE,120,147,119,NA,2.11689998749985,1.19298749460729,NA,NA
1997,BELE,133,151,138,144,2.69293620388712,7.56266303083497,5.30330085889911,4.4783170201365
1998,BELE,123,138,122,122,2.55149439458664,1.71532880579465,3.18198051533946,4.9497297905479
1999,BELE,127,141,NA,NA,2.06861016953575,5.98436825091322,2.59807621135332,1.92487441051289
2000,BELE,131,147,128,128,1.37645611205017,3.14904577146445,NA,NA
2001,BELE,124,141,NA,NA,0.253587785982242,2.08160595965199,0,2.42439843196836
2002,BELE,130,NA,112,113,2.18152089193488,2.7882462372448,NA,NA
2003,BELE,138,NA,130,135,0,6.80573880771583,6.96419413859206,6.96413682408624
2004,BELE,127,NA,NA,NA,0.589022893842863,0.17646645064517,NA,NA
2005,BELE,137,NA,150,NA,0.175492265284198,1.02058074935693,NA,NA
2006,BELE,134,NA,NA,NA,4.03017221793416,4.44158248205032,NA,NA
2007,BELE,129,NA,NA,NA,2.05233786971557,1.49274252821672,5,5.67960845758087
2008,BELE,133,NA,NA,NA,2.92231132165753,2.11154289441532,0,2.12131327245648
2009,BELE,125,NA,NA,NA,4.91616179093642,0.144476853746268,2.88675134594813,5.18857598222215
2010,BELE,122,NA,NA,NA,0,2.65436958744185,20.349037651283,4.3911949650048
2011,BELE,132,NA,NA,NA,4.99278669689585,0.786863253889979,NA,NA
2012,BELE,125,NA,NA,NA,1.56250521463591,1.8848944704809,2.88675134594813,1.80720927231193
2013,BELE,129,NA,NA,NA,0,2.61002263119391,17.3241161390704,14.9279473187221
2014,BELE,138,NA,NA,NA,3.85565923458531,0.947711137253794,NA,NA
2015,BELE,129,NA,NA,NA,4.74063920177493,2.45844150115373,2,1.52259262091011
2016,BELE,135,NA,NA,NA,5.31556454061913,3.60672696401305,4.5,1.42485439527596
2017,BELE,133,NA,NA,NA,3.34318609612946,0.120256888853946,NA,NA
2018,BELE,130,NA,NA,NA,2.68867823005262,3.32195600014119,NA,NA
2019,BELE,137,NA,NA,NA,0.0921930430963122,1.02873944430648,NA,NA
2020,BELE,138,NA,NA,NA,6.21583797669724,2.77432393542533,NA,NA
2021,BELE,135,NA,NA,NA,5.62907691406062,0.144124668321152,NA,NA
1990,BEPA,120,142,132,133,2.06458614455446,0.682587499351033,8.83883476483184,NA
1991,BEPA,119,135,128,130,2.54816592631352,0.937574687873436,18.5876302954411,5.00822448640213
