"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo"
2568,118.525953771968,470.631376913392,17,1959,49.7,10.0167,"49.7 10.0167","1950-1960",98
2508,123.108806545484,419.154084935709,17,1960,49.7,10.0167,"49.7 10.0167","1950-1960",99
2652,128.313001800542,329.764742848191,18,1951,49.5833,11.2,"49.5833 11.2","1950-1960",117
2208,115.570818690702,432.959606513308,18,1952,49.5833,11.2,"49.5833 11.2","1950-1960",98
2052,106.851444443626,461.234297682771,18,1953,49.5833,11.2,"49.5833 11.2","1950-1960",90
2184,116.907894049161,301.789441705166,18,1954,49.5833,11.2,"49.5833 11.2","1950-1960",113
1764,102.133209584791,281.147896593135,18,1955,49.5833,11.2,"49.5833 11.2","1950-1960",102
2076,102.031153891772,295.24043020656,18,1956,49.5833,11.2,"49.5833 11.2","1950-1960",109
2592,125.251753319198,289.353392956531,18,1957,49.5833,11.2,"49.5833 11.2","1950-1960",112
2256,114.296869296457,357.193319433475,18,1958,49.5833,11.2,"49.5833 11.2","1950-1960",105
2544,119.689917939136,395.206150915889,18,1960,49.5833,11.2,"49.5833 11.2","1950-1960",83
2100,117.629088979052,279.756921106592,19,1951,48.1667,10.1167,"48.1667 10.1167","1950-1960",117
2220,110.674781778191,398.394273004152,19,1952,48.1667,10.1167,"48.1667 10.1167","1950-1960",106
1776,99.9003777267816,408.647196034274,19,1953,48.1667,10.1167,"48.1667 10.1167","1950-1960",108
2232,116.424647701532,228.866966283146,19,1954,48.1667,10.1167,"48.1667 10.1167","1950-1960",129
1884,103.673414491224,242.925927895187,19,1955,48.1667,10.1167,"48.1667 10.1167","1950-1960",121
1896,99.5548881438677,277.836736213548,19,1956,48.1667,10.1167,"48.1667 10.1167","1950-1960",117
2592,123.092683521842,224.066825561379,19,1957,48.1667,10.1167,"48.1667 10.1167","1950-1960",112
1944,104.573640040687,317.74448759646,19,1958,48.1667,10.1167,"48.1667 10.1167","1950-1960",124
2316,112.301665238773,353.873712266052,19,1959,48.1667,10.1167,"48.1667 10.1167","1950-1960",98
2448,119.742061500084,317.955039017754,19,1960,48.1667,10.1167,"48.1667 10.1167","1950-1960",106
1908,106.135083977587,335.393641321351,20,1951,48.8833,12.6,"48.8833 12.6","1950-1960",117
1944,103.048622721127,437.04448647009,20,1952,48.8833,12.6,"48.8833 12.6","1950-1960",107
1572,96.4212899244409,430.195201305068,20,1953,48.8833,12.6,"48.8833 12.6","1950-1960",100
1884,106.266714649789,274.548090487505,20,1954,48.8833,12.6,"48.8833 12.6","1950-1960",114
1596,97.1580266684256,266.511592483235,20,1955,48.8833,12.6,"48.8833 12.6","1950-1960",121
1788,94.6948081169734,330.027373383495,20,1956,48.8833,12.6,"48.8833 12.6","1950-1960",110
2520,121.341981627489,305.823851612908,20,1957,48.8833,12.6,"48.8833 12.6","1950-1960",105
1644,95.6866256024725,396.736846270127,20,1958,48.8833,12.6,"48.8833 12.6","1950-1960",118
2220,105.426663484279,431.327226402082,20,1959,48.8833,12.6,"48.8833 12.6","1950-1960",95
2316,108.056023815339,384.462148197381,20,1960,48.8833,12.6,"48.8833 12.6","1950-1960",100
2052,114.73349559611,286.153014996555,21,1951,49.0333,11.4833,"49.0333 11.4833","1950-1960",118
2100,106.944204412312,391.548717268922,21,1952,49.0333,11.4833,"49.0333 11.4833","1950-1960",109
1908,104.425043310695,403.32060400836,21,1953,49.0333,11.4833,"49.0333 11.4833","1950-1960",115
2148,110.873567361487,235.754267670775,21,1954,49.0333,11.4833,"49.0333 11.4833","1950-1960",133
1668,99.3574869626884,238.242990941861,21,1955,49.0333,11.4833,"49.0333 11.4833","1950-1960",127
1968,101.901801829093,277.045016494056,21,1956,49.0333,11.4833,"49.0333 11.4833","1950-1960",129
2640,124.218920182019,248.992387130854,21,1957,49.0333,11.4833,"49.0333 11.4833","1950-1960",121
2004,108.390438593618,331.597833595539,21,1958,49.0333,11.4833,"49.0333 11.4833","1950-1960",124
2424,115.268949125969,390.337288623849,21,1959,49.0333,11.4833,"49.0333 11.4833","1950-1960",106
2412,113.557028359784,349.044015780237,21,1960,49.0333,11.4833,"49.0333 11.4833","1950-1960",114
