"Lat","Lon","MeanDateLeaf","lodoy","daylength"
42.38,-7.93,95,95,12.8571076838538
42.55,-7.93,95.4,95,12.8617555141927
42.72,-7.93,97.6,97,12.9618341375261
42.88,-7.93,96.9,96,12.9188843499065
43.05,-7.93,96.9,96,12.923902527637
43.21,-7.93,98.5,98,13.0254942919007
43.38,-7.93,97.7,97,12.9825023198837
43.55,-7.93,97.9,97,12.9879033326785
43.71,-7.93,97,97,12.9930162554281
52.01,-7.93,97.3,97,13.3071368523159
52.18,-7.93,98.2,98,13.3815819214775
52.34,-7.93,100.6,100,13.5232036476245
52.51,-7.93,100.5,100,13.5322815626153
52.67,-7.93,100.1,100,13.5408934120508
52.84,-7.93,102.1,102,13.6860201037993
53.01,-7.93,99.9,99,13.4908087973201
53.17,-7.93,99.2,99,13.4992168001322
53.34,-7.93,100.2,100,13.5776915393966
53.51,-7.93,102.7,102,13.7266306994094
53.67,-7.93,102.8,102,13.7365303911988
53.84,-7.93,104.5,104,13.8876901369723
54,-7.93,105.6,105,13.9690850609356
54.17,-7.93,107.8,107,14.1225596340753
54.34,-7.93,113.3,113,14.5571142001566
54.5,-7.93,111.1,111,14.4320871557834
54.67,-7.93,114.4,114,14.6590896413866
54.83,-7.93,117.9,117,14.8853760395328
55,-7.93,116.7,116,14.8338698359377
55.16,-7.93,114.9,114,14.7087336536084
71.1,-7.93,203.4,203,24
37.24,-7.76,97.7,97,12.8063392193151
37.4,-7.76,95.3,95,12.7316730505426
37.57,-7.76,96.2,96,12.7753672552469
37.73,-7.76,96.9,96,12.7793578200323
37.9,-7.76,97.2,97,12.8237146678142
38.07,-7.76,97.4,97,12.828244334422
38.23,-7.76,97.9,97,12.832528243648
38.4,-7.76,97.9,97,12.837102115712
38.56,-7.76,97.7,97,12.8414280643085
38.73,-7.76,97.4,97,12.8460470704915
38.9,-7.76,97.8,97,12.8506896977681
39.06,-7.76,99,99,12.9383675603374
39.23,-7.76,98.3,98,12.9017286775494
39.4,-7.76,98.5,98,12.90669971537
39.56,-7.76,98.6,98,12.9114020536153
39.73,-7.76,97.7,97,12.8737043844488
39.89,-7.76,96.5,96,12.8351305067149
40.06,-7.76,96.2,96,12.8396783117557
40.23,-7.76,95.8,95,12.8005375206519
40.39,-7.76,95.7,95,12.8046127722351
40.56,-7.76,95.9,95,12.8089655160094
40.72,-7.76,95.6,95,12.8130838923348
40.89,-7.76,95.1,95,12.8174829485919
41.05,-7.76,97.1,97,12.9115559452129
41.22,-7.76,96.9,96,12.8713744230681
41.39,-7.76,97.3,97,12.9215678559269
41.55,-7.76,95.5,95,12.8347939289211
41.72,-7.76,97.6,97,12.9313925775657
41.88,-7.76,100.4,100,13.0742006590388
42.05,-7.76,100.9,100,13.0801693765597
42.22,-7.76,97.8,97,12.9464851477286
42.38,-7.76,95.1,95,12.8571076838538
42.55,-7.76,95.5,95,12.8617555141927
42.72,-7.76,98.9,98,13.0093611549684
42.88,-7.76,97.8,97,12.9668013896316
43.05,-7.76,97.9,97,12.9721091743212
43.21,-7.76,99.1,99,13.0737279203283
43.38,-7.76,99.6,99,13.0796817922364
43.55,-7.76,99.2,99,13.0856711858045
43.71,-7.76,97.4,97,12.9930162554281
43.88,-7.76,97.5,97,12.9984805649544
52.01,-7.76,96.8,96,13.2406683716349
52.18,-7.76,94.6,94,13.1138243881337
52.34,-7.76,99.2,99,13.4563004450222
52.51,-7.76,97,97,13.3298944671804
52.67,-7.76,97.2,97,13.3372920692861
52.84,-7.76,99.7,99,13.4819469243089
53.01,-7.76,100.7,100,13.5594164765837
53.17,-7.76,99.2,99,13.4992168001322
53.34,-7.76,100.5,100,13.5776915393966
53.51,-7.76,102.5,102,13.7266306994094
53.67,-7.76,102.7,102,13.7365303911988
53.84,-7.76,104.2,104,13.8876901369723
54,-7.76,106.8,106,14.0393540756443
54.17,-7.76,113,113,14.5409829778605
54.34,-7.76,113.7,113,14.5571142001566
54.5,-7.76,113.5,113,14.5724314959925
54.67,-7.76,114.7,114,14.6590896413866
54.83,-7.76,116.9,116,14.8156356173552
55,-7.76,115.9,115,14.7632830144046
55.16,-7.76,112.1,112,14.5650665378598
37.24,-7.6,98.7,98,12.8453770469184
37.4,-7.6,96.3,96,12.7711474610567
37.57,-7.6,96.6,96,12.7753672552469
37.73,-7.6,97.5,97,12.8192074188552
37.9,-7.6,97.7,97,12.8237146678142
38.07,-7.6,97.7,97,12.828244334422
38.23,-7.6,97.9,97,12.832528243648
38.4,-7.6,97,97,12.837102115712
38.56,-7.6,97.7,97,12.8414280643085
38.73,-7.6,97.7,97,12.8460470704915
38.9,-7.6,97.9,97,12.8506896977681
39.06,-7.6,98.2,98,12.8967833243187
39.23,-7.6,98.6,98,12.9017286775494
39.4,-7.6,98.3,98,12.90669971537
39.56,-7.6,98.4,98,12.9114020536153
39.73,-7.6,98.4,98,12.9164237555093
39.89,-7.6,97.6,97,12.8782089742993
40.06,-7.6,96,96,12.8396783117557
40.23,-7.6,96.1,96,12.8442504642822
40.39,-7.6,96.2,96,12.8485761484023
40.56,-7.6,95.4,95,12.8089655160094
40.72,-7.6,95.5,95,12.8130838923348
40.89,-7.6,95.9,95,12.8174829485919
41.05,-7.6,97.8,97,12.9115559452129
41.22,-7.6,95.9,95,12.8260917561599
41.39,-7.6,95.6,95,12.8305629060507
41.55,-7.6,99.9,99,13.0173749774546
41.72,-7.6,96.8,96,12.885408275576
41.88,-7.6,100.2,100,13.0742006590388
42.05,-7.6,101.6,101,13.1261804287708
42.22,-7.6,97,97,12.9464851477286
42.38,-7.6,95.8,95,12.8571076838538
42.55,-7.6,95.6,95,12.8617555141927
42.72,-7.6,96.3,96,12.9141881488976
42.88,-7.6,97.2,97,12.9668013896316
43.05,-7.6,98,98,13.0201962689997
43.21,-7.6,98.4,98,13.0254942919007
43.38,-7.6,98.7,98,13.0311558609123
43.55,-7.6,100.5,100,13.1343555067975
43.71,-7.6,99,99,13.0913410842584
43.88,-7.6,96.8,96,12.9488353944419
52.01,-7.6,95.9,95,13.1740876995403
52.18,-7.6,97.3,97,13.3148140861545
52.34,-7.6,99.7,99,13.4563004450222
52.51,-7.6,97.4,97,13.3298944671804
52.67,-7.6,99,99,13.4731578151521
52.84,-7.6,99.1,99,13.4819469243089
53.01,-7.6,100.4,100,13.5594164765837
53.17,-7.6,102.3,102,13.7058544290824
53.34,-7.6,101,101,13.6470197906773
53.51,-7.6,102,102,13.7266306994094
53.67,-7.6,103.1,103,13.8064307590037
53.84,-7.6,105.7,105,13.9577073958568
54,-7.6,107.7,107,14.1094253961033
54.17,-7.6,109.5,109,14.2630078262635
54.34,-7.6,113.7,113,14.5571142001566
54.5,-7.6,111,111,14.4320871557834
54.67,-7.6,114.3,114,14.6590896413866
54.83,-7.6,113.6,113,14.6044454767034
55,-7.6,113.2,113,14.621164093698
55.16,-7.6,111.7,111,14.4928200590685
55.33,-7.6,108.9,108,14.2890818051409
37.4,-7.43,97.8,97,12.8105211611542
37.57,-7.43,97.4,97,12.8149855680741
37.73,-7.43,97.9,97,12.8192074188552
37.9,-7.43,97.6,97,12.8237146678142
38.07,-7.43,97.6,97,12.828244334422
38.23,-7.43,98.1,98,12.8729981699214
38.4,-7.43,97.5,97,12.837102115712
38.56,-7.43,97.7,97,12.8414280643085
38.73,-7.43,97.6,97,12.8460470704915
38.9,-7.43,97,97,12.8506896977681
39.06,-7.43,97.7,97,12.8550810363756
39.23,-7.43,98,98,12.9017286775494
39.4,-7.43,98.2,98,12.90669971537
39.56,-7.43,97.8,97,12.8689426893408
39.73,-7.43,98.6,98,12.9164237555093
39.89,-7.43,97.6,97,12.8782089742993
40.06,-7.43,96.8,96,12.8396783117557
40.23,-7.43,96.1,96,12.8442504642822
40.39,-7.43,97.3,97,12.8924321220252
40.56,-7.43,101.4,101,13.072593445893
40.72,-7.43,95.9,95,12.8130838923348
40.89,-7.43,96,96,12.8622369671748
41.05,-7.43,97,97,12.9115559452129
41.22,-7.43,96,96,12.8713744230681
41.39,-7.43,95.7,95,12.8305629060507
41.55,-7.43,98.3,98,12.9719084791887
41.72,-7.43,96.4,96,12.885408275576
41.88,-7.43,96.7,96,12.8899483139912
42.05,-7.43,97.3,97,12.9413253316163
42.22,-7.43,97.4,97,12.9464851477286
42.38,-7.43,98.1,98,12.9983249890841
42.55,-7.43,95.9,95,12.8617555141927
42.72,-7.43,95.6,95,12.866430400925
42.88,-7.43,97,97,12.9668013896316
43.05,-7.43,97.5,97,12.9721091743212
43.21,-7.43,97.7,97,12.9771333612085
43.38,-7.43,98.8,98,13.0311558609123
43.55,-7.43,103.2,103,13.2795136745857
