"Lat","Lon","MeanFitness","pres"
52.51,-7.1,0.948,1
52.67,-7.1,0.948,1
52.84,-7.1,0.873,1
53.01,-7.1,0.947,1
53.17,-7.1,0.947,1
53.34,-7.1,0.947,1
53.51,-7.1,0.947,1
53.67,-7.1,0.897,1
53.84,-7.1,0.997,1
54,-7.1,0.997,1
54.17,-7.1,0.997,1
54.34,-7.1,0.996,1
54.5,-7.1,0.927,1
54.67,-7.1,0.925,1
54.83,-7.1,0.6,1
55,-7.1,0.704,1
55.16,-7.1,0.926,1
55.33,-7.1,0.988,1
57.32,-7.1,0.268,1
57.49,-7.1,0.644,1
57.66,-7.1,0.515,1
62.14,-7.1,0,0
62.3,-7.1,0,0
37.4,-6.93,0,0
37.57,-6.93,0,0
37.73,-6.93,0,0
37.9,-6.93,0,0
38.07,-6.93,0,0
38.23,-6.93,0,0
38.4,-6.93,0,0
38.56,-6.93,0,0
38.73,-6.93,0,0
38.9,-6.93,0,0
39.06,-6.93,0,0
39.23,-6.93,0,0
39.4,-6.93,0,0
39.56,-6.93,0,0
39.73,-6.93,0,0
39.89,-6.93,0,0
40.06,-6.93,0,0
40.23,-6.93,0,0
40.39,-6.93,0,0
40.56,-6.93,0,0
40.72,-6.93,0,0
40.89,-6.93,0,0
41.05,-6.93,0,0
41.22,-6.93,0,0
41.39,-6.93,0,0
41.55,-6.93,0,0
41.72,-6.93,0,0
41.88,-6.93,0,0
42.05,-6.93,0,0
42.22,-6.93,0,0
42.38,-6.93,0,0
42.55,-6.93,0,0
42.72,-6.93,0,0
42.88,-6.93,0.349,1
43.05,-6.93,0.549,1
43.21,-6.93,0.399,1
43.38,-6.93,0.649,1
43.55,-6.93,0.649,1
43.71,-6.93,0.599,1
52.34,-6.93,0.705,1
52.51,-6.93,0.93,1
52.67,-6.93,0.948,1
52.84,-6.93,0.897,1
53.01,-6.93,0.947,1
53.17,-6.93,0.947,1
53.34,-6.93,0.946,1
53.51,-6.93,0.898,1
53.67,-6.93,0.897,1
53.84,-6.93,0.997,1
54,-6.93,0.997,1
54.17,-6.93,0.997,1
54.34,-6.93,0.997,1
54.5,-6.93,0.944,1
54.67,-6.93,0.927,1
54.83,-6.93,0.616,1
55,-6.93,0.714,1
55.16,-6.93,0.938,1
55.33,-6.93,0.682,1
58.15,-6.93,0.034,0
62.14,-6.93,0,0
62.3,-6.93,0,0
37.4,-6.77,0,0
37.57,-6.77,0,0
37.73,-6.77,0,0
37.9,-6.77,0,0
38.07,-6.77,0,0
38.23,-6.77,0,0
38.4,-6.77,0,0
38.56,-6.77,0,0
38.73,-6.77,0,0
38.9,-6.77,0,0
39.06,-6.77,0,0
39.23,-6.77,0,0
39.4,-6.77,0,0
39.56,-6.77,0,0
39.73,-6.77,0,0
39.89,-6.77,0,0
40.06,-6.77,0,0
40.23,-6.77,0,0
40.39,-6.77,0,0
40.56,-6.77,0,0
40.72,-6.77,0,0
40.89,-6.77,0,0
41.05,-6.77,0,0
41.22,-6.77,0,0
41.39,-6.77,0,0
41.55,-6.77,0,0
41.72,-6.77,0,0
41.88,-6.77,0,0
42.05,-6.77,0,0
42.22,-6.77,0,0
42.38,-6.77,0.149,1
42.55,-6.77,0.299,1
42.72,-6.77,0,0
42.88,-6.77,0,0
43.05,-6.77,0.549,1
43.21,-6.77,0.499,1
43.38,-6.77,0.506,1
43.55,-6.77,0.798,1
43.71,-6.77,0.749,1
52.34,-6.77,0.749,1
52.51,-6.77,0.948,1
52.67,-6.77,0.948,1
52.84,-6.77,0.898,1
53.01,-6.77,0.948,1
53.17,-6.77,0.898,1
53.34,-6.77,0.947,1
53.51,-6.77,0.948,1
53.67,-6.77,0.947,1
53.84,-6.77,0.998,1
54,-6.77,0.947,1
54.17,-6.77,0.997,1
54.34,-6.77,0.995,1
54.5,-6.77,0.997,1
54.67,-6.77,0.945,1
54.83,-6.77,0.435,1
55,-6.77,0.809,1
55.16,-6.77,0.829,1
57.82,-6.77,0.1,0
57.99,-6.77,0.029,0
58.15,-6.77,0.047,0
58.32,-6.77,0.125,1
61.64,-6.77,0,0
61.97,-6.77,0,0
62.14,-6.77,0,0
62.3,-6.77,0,0
34.25,-6.6,0.05,0
37.24,-6.6,0,0
37.4,-6.6,0,0
37.57,-6.6,0,0
37.73,-6.6,0,0
37.9,-6.6,0,0
38.07,-6.6,0,0
38.23,-6.6,0,0
38.4,-6.6,0,0
38.56,-6.6,0,0
38.73,-6.6,0,0
38.9,-6.6,0,0
39.06,-6.6,0,0
39.23,-6.6,0,0
39.4,-6.6,0,0
39.56,-6.6,0,0
39.73,-6.6,0,0
39.89,-6.6,0,0
40.06,-6.6,0,0
40.23,-6.6,0,0
40.39,-6.6,0,0
40.56,-6.6,0,0
40.72,-6.6,0,0
40.89,-6.6,0,0
41.05,-6.6,0,0
41.22,-6.6,0,0
41.39,-6.6,0,0
41.55,-6.6,0,0
41.72,-6.6,0,0
41.88,-6.6,0,0
42.05,-6.6,0,0
42.22,-6.6,0,0
42.38,-6.6,0.05,0
42.55,-6.6,0.249,1
42.72,-6.6,0,0
42.88,-6.6,0,0
43.05,-6.6,0.249,1
43.21,-6.6,0.698,1
43.38,-6.6,0.748,1
43.55,-6.6,0.848,1
43.71,-6.6,0.749,1
