Lat	Lon	MeanFitness
54.5000	-7.9300	 0.357
54.6700	-7.9300	 0.095
54.8300	-7.9300	 0.054
55.0000	-7.9300	 0.079
55.1600	-7.9300	 0.143
71.1000	-7.9300	 0.001
37.2400	-7.7600	 0.334
37.4000	-7.7600	 0.000
37.5700	-7.7600	 0.000
37.7300	-7.7600	 0.000
37.9000	-7.7600	 0.000
38.0700	-7.7600	 0.000
38.2300	-7.7600	 0.000
38.4000	-7.7600	 0.000
38.5600	-7.7600	 0.000
38.7300	-7.7600	 0.000
38.9000	-7.7600	 0.000
39.0600	-7.7600	 0.000
39.2300	-7.7600	 0.000
39.4000	-7.7600	 0.000
39.5600	-7.7600	 0.000
39.7300	-7.7600	 0.000
39.8900	-7.7600	 0.050
40.0600	-7.7600	 0.445
40.2300	-7.7600	 0.494
40.3900	-7.7600	 0.497
40.5600	-7.7600	 0.449
40.7200	-7.7600	 0.449
40.8900	-7.7600	 0.497
41.0500	-7.7600	 0.474
41.2200	-7.7600	 0.682
41.3900	-7.7600	 0.626
41.5500	-7.7600	 0.798
41.7200	-7.7600	 0.570
41.8800	-7.7600	 0.619
42.0500	-7.7600	 0.702
42.2200	-7.7600	 0.915
42.3800	-7.7600	 0.848
42.5500	-7.7600	 0.798
42.7200	-7.7600	 0.753
42.8800	-7.7600	 0.877
43.0500	-7.7600	 0.887
43.2100	-7.7600	 0.883
43.3800	-7.7600	 0.886
43.5500	-7.7600	 0.895
43.7100	-7.7600	 0.898
43.8800	-7.7600	 0.898
52.0100	-7.7600	 0.997
52.1800	-7.7600	 0.988
52.3400	-7.7600	 0.955
52.5100	-7.7600	 0.997
52.6700	-7.7600	 0.995
52.8400	-7.7600	 0.995
53.0100	-7.7600	 0.797
53.1700	-7.7600	 0.994
53.3400	-7.7600	 0.994
53.5100	-7.7600	 0.847
53.6700	-7.7600	 0.897
53.8400	-7.7600	 0.946
54.0000	-7.7600	 0.796
54.1700	-7.7600	 0.257
54.3400	-7.7600	 0.230
54.5000	-7.7600	 0.267
54.6700	-7.7600	 0.174
54.8300	-7.7600	 0.021
55.0000	-7.7600	 0.133
55.1600	-7.7600	 0.324
37.2400	-7.6000	 0.005
37.4000	-7.6000	 0.000
37.5700	-7.6000	 0.000
37.7300	-7.6000	 0.000
37.9000	-7.6000	 0.000
38.0700	-7.6000	 0.000
38.2300	-7.6000	 0.000
38.4000	-7.6000	 0.000
38.5600	-7.6000	 0.000
38.7300	-7.6000	 0.000
38.9000	-7.6000	 0.000
39.0600	-7.6000	 0.000
39.2300	-7.6000	 0.000
39.4000	-7.6000	 0.000
39.5600	-7.6000	 0.000
39.7300	-7.6000	 0.000
39.8900	-7.6000	 0.000
40.0600	-7.6000	 0.249
40.2300	-7.6000	 0.498
