"","lon","lat","minforce","minchill","minphoto","maxforce","maxchill","maxphoto","species"
"64",2.55,45.5,4.86999992467463,1404,14,6.51111645990241,1404,15,"Quercus_pubescens"
"65",-89.551,30.833,20,-1304.5,14,20,-468.5,14,"Vaccinium_ashei"
"66",-78.318,44.303,24.6666666666667,356,16,24.6666666666667,4724,16,"Fraxinus_americana"
"67",-78.318,44.303,24.6666666666667,356,16,24.6666666666667,4724,16,"Acer_saccharinum"
"68",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Betula_lenta"
"69",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Betula_nana"
"70",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Betula_populifolia"
"71",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Buddleja_albiflora"
"72",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Buddleja_alternifolia"
"73",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Buddleja_davidii"
"74",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Cephalanthus_occidentalis"
"75",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Caragana_pygmaea"
"76",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Carpinus_laxiflora"
"77",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Carpinus_monbeigiana"
"78",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Carya_cordiformis"
"79",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Carya_laciniosa"
"80",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Carya_ovata"
"81",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Castanea_sativa"
"82",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Cedrus_libani"
"83",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Celtis_caucasica"
"84",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Celtis_laevigata"
"85",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Celtis_occidentalis"
"86",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Cercidiphyllum_japonicum"
"87",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Cercidiphyllum_magnificum"
"88",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Cercis_canadensis"
"89",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Cercis_chinensis"
"90",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Cladrastis_lutea"
"91",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Cornus_kousa"
"92",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Corylopsis_sinensis"
"93",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Corylopsis_spicata"
