"datasetID","genus","species","study","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp","wein","gen.spa"
"heide05","Pyrus","communis L.","exp1",1,1,"0","4","2","0","0","2",0,"Pyrus_communis L."
"heide05","Pyrus","communis L.","exp2",2,2,"0","4","2","0","0","1",0,"Pyrus_communis L."
"heide08","Prunus","insititia","exp1",1,1,"1","4","2","0","0","2",0,"Prunus_insititia"
"heide08","Prunus","cerasus","exp1",2,2,"1","4","2","0","0","2",0,"Prunus_cerasus"
"heide08","Prunus","avium","exp3",1,1,"1","4","2","0","0","1",0,"Prunus_avium"
"heide08","Prunus","cerasus","exp2",1,1,"1","1","2","0","0","2",0,"Prunus_cerasus"
"heide08","Prunus","insititia","exp2",1,1,"1","1","2","0","0","2",0,"Prunus_insititia"
"heide11","Sorbus","aucuparia","exp1",1,1,"0","3","2","0","0","2",0,"Sorbus_aucuparia"
"heide11","Sorbus","intermedia","exp2",1,1,"0","3","2","0","0","1",0,"Sorbus_intermedia"
"heide11","Sorbus","commixta","exp1",1,1,"0","3","2","0","0","2",0,"Sorbus_commixta"
"heide11","Sorbus","intermedia","exp3",1,1,"0","3","2","0","0","1",0,"Sorbus_intermedia"
"heide12","Ribes","nigrum","exp2",1,1,"1","2","1","0","0","1",1,"Ribes_nigrum"
"heide12","Ribes","nigrum","exp3",3,3,"1","3","1","0","0","1",1,"Ribes_nigrum"
"heide12","Ribes","nigrum","exp2",1,1,"1","2","1","2","0","1",1,"Ribes_nigrum"
"heide12","Ribes","nigrum","exp1",1,1,"1","1","2","1","1","1",1,"Ribes_nigrum"
"heide15","Ribes","nigrum","exp2",1,1,"1","1","6","1","1","1",0,"Ribes_nigrum"
"heide93","Corylus","avellana","exp3",1,1,"4","1","2","0","0","3",1,"Corylus_avellana"
"heide93","Rubus","idaeus","exp3",1,1,"4","1","2","0","0","3",1,"Rubus_idaeus"
"heide93","Sorbus","aucuparia","exp3",1,1,"4","1","2","0","0","3",1,"Sorbus_aucuparia"
"heide93a","Fagus","sylvatica","exp1",1,1,"6","1","2","0","0","1",1,"Fagus_sylvatica"
"heide93a","Fagus","sylvatica","exp2",1,1,"1","3","2","0","0","1",1,"Fagus_sylvatica"
"heide93a","Fagus","sylvatica","exp3",4,4,"1","1","6","0","0","2",1,"Fagus_sylvatica"
"heide93a","Carpinus","betulus","exp3",1,1,"1","1","6","0","0","2",0,"Carpinus_betulus"
"howe95","Populus","trichocarpa","exp1",2,2,"0","1","8","0","0","1",0,"Populus_trichocarpa"
"karlsson03","Betula","occidentalis","exp1",2,2,"5","3","1","0","5","1",1,"Betula_occidentalis"
"lamb37","Rubus","idaeus","exp1",1,1,"2","0","1","3","27","1",0,"Rubus_idaeus"
"laube14a","Acer","pseudoplatanus","exp1",1,1,"3","1","3","0","3","35",1,"Acer_pseudoplatanus"
"laube14a","Acer","saccharum","exp1",1,1,"3","1","3","0","3","35",1,"Acer_saccharum"
"laube14a","Acer","tataricum","exp1",1,1,"3","1","3","0","3","35",1,"Acer_tataricum"
"laube14a","Aesculus","hippocastanum","exp1",1,1,"3","1","3","0","3","35",1,"Aesculus_hippocastanum"
"laube14a","Amorpha","fruticosa","exp1",1,1,"3","1","3","0","3","35",1,"Amorpha_fruticosa"
"laube14a","Betula","pendula","exp1",1,1,"3","1","3","0","3","35",1,"Betula_pendula"
"laube14a","Carpinus","betulus","exp1",1,1,"3","1","3","0","3","35",1,"Carpinus_betulus"
"laube14a","Cornus","alba","exp1",1,1,"3","1","3","0","3","35",1,"Cornus_alba"
"laube14a","Cornus","mas","exp1",1,1,"3","1","3","0","3","35",1,"Cornus_mas"
"laube14a","Corylus","avellana","exp1",1,1,"3","1","3","0","3","35",1,"Corylus_avellana"
"laube14a","Fagus","sylvatica","exp1",1,1,"3","1","3","0","3","35",1,"Fagus_sylvatica"
"laube14a","Fraxinus","chinensis","exp1",1,1,"3","1","3","0","3","35",1,"Fraxinus_chinensis"
"laube14a","Fraxinus","excelsior","exp1",1,1,"3","1","3","0","3","35",1,"Fraxinus_excelsior"
"laube14a","Fraxinus","pennsylvanica","exp1",1,1,"3","1","3","0","3","35",1,"Fraxinus_pennsylvanica"
"laube14a","Juglans","ailantifolia","exp1",1,1,"3","1","3","0","3","35",1,"Juglans_ailantifolia"
