"","uniqueid","trayloc","substrate","germdate","doy","daysfromstart","sp","strat","temp","individual","location","origin","germinated","treatment","uniqind"
"2372","4e6Soil","4e6","Soil",2015-12-05,339,12,"PLALAN",60,25.3,"US27","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US27"
"2396","4f4Soil","4f4","Soil",NA,NA,NA,"PLALAN",60,25.3,"US03","USA--Walden","USA",0,"25.3_60","PLALAN_US03"
"2397","4f5Soil","4f5","Soil",2015-12-01,335,8,"PLALAN",60,25.3,"US25","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US25"
"2399","4f6Soil","4f6","Soil",2015-12-07,341,14,"PLALAN",60,25.3,"US27","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US27"
"2451","5a10Soil","5a10","Soil",NA,NA,NA,"CAPBUR",60,11.3,"EU13","Europe--Copenhagen, Denmark","Europe",0,"11.3_60","CAPBUR_EU13"
"2453","5a11Soil","5a11","Soil",NA,NA,NA,"PLACOR",60,11.3,"EU04","Europe--Vlieland, The Netherlands","Europe",0,"11.3_60","PLACOR_EU04"
"2455","5a12Soil","5a12","Soil",2015-12-01,335,8,"DACGLO",60,11.3,"EU06","Europe--Bois de Boulogne, Paris, France","Europe",1,"11.3_60","DACGLO_EU06"
"2480","5a3Soil","5a3","Soil",NA,NA,NA,"PLALAN",30,11.3,"US01","USA--Walden","USA",0,"11.3_30","PLALAN_US01"
"2482","5a4Soil","5a4","Soil",2015-12-07,341,14,"PLALAN",30,11.3,"US21","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US21"
"2484","5a5Soil","5a5","Soil",2015-12-05,339,12,"PLALAN",30,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US25"
"2485","5a6Soil","5a6","Soil",2015-12-09,343,16,"PLALAN",30,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US27"
"2487","5a8Soil","5a8","Soil",2015-12-03,337,10,"DACGLO",60,11.3,"US22","USA--Arnold Arboretum ","USA",1,"11.3_60","DACGLO_US22"
"2488","5a9Soil","5a9","Soil",2015-12-01,335,8,"CAPBUR",60,11.3,"EU07","Europe--Leer, Germany","Europe",1,"11.3_60","CAPBUR_EU07"
"2489","5b10Soil","5b10","Soil",2015-11-29,333,6,"PLACOR",60,11.3,"EU01","Europe--Vlieland, The Netherlands","Europe",1,"11.3_60","PLACOR_EU01"
"2491","5b11Soil","5b11","Soil",NA,NA,NA,"PLACOR",60,11.3,"EU04","Europe--Vlieland, The Netherlands","Europe",0,"11.3_60","PLACOR_EU04"
"2493","5b12Soil","5b12","Soil",2015-11-27,331,4,"DACGLO",60,11.3,"EU06","Europe--Bois de Boulogne, Paris, France","Europe",1,"11.3_60","DACGLO_EU06"
"2516","5b3Soil","5b3","Soil",2015-12-03,337,10,"PLALAN",30,11.3,"US02","USA--Walden","USA",1,"11.3_30","PLALAN_US02"
"2518","5b4Soil","5b4","Soil",2015-12-07,341,14,"PLALAN",30,11.3,"US24","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US24"
"2520","5b5Soil","5b5","Soil",2015-12-05,339,12,"PLALAN",30,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US25"
"2521","5b6Soil","5b6","Soil",2015-12-03,337,10,"PLALAN",30,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US27"
"2523","5b8Soil","5b8","Soil",2015-12-03,337,10,"DACGLO",60,11.3,"US22","USA--Arnold Arboretum ","USA",1,"11.3_60","DACGLO_US22"
"2524","5b9Soil","5b9","Soil",2015-12-01,335,8,"CAPBUR",60,11.3,"EU07","Europe--Leer, Germany","Europe",1,"11.3_60","CAPBUR_EU07"
"2525","5c10Soil","5c10","Soil",2015-11-29,333,6,"PLACOR",60,11.3,"EU01","Europe--Vlieland, The Netherlands","Europe",1,"11.3_60","PLACOR_EU01"
"2527","5c11Soil","5c11","Soil",2015-11-29,333,6,"PLACOR",60,11.3,"EU04","Europe--Vlieland, The Netherlands","Europe",1,"11.3_60","PLACOR_EU04"
