daysfromstart,sp,strat,temp,individual,location,origin,germinated,uniqind
8,PLALAN,30,25.3,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
NA,PLALAN,30,25.3,EU44,"Europe--Podhom, Slovenia",Europe,0,PLALAN_EU44
20,CHEMAJ,30,25.3,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
39,RUMCRI,30,25.3,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,RUMCRI,30,25.3,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
10,TAROFF,30,25.3,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
10,TAROFF,30,25.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
8,PLAMAJ,30,25.3,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
8,PLAMAJ,30,25.3,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,25.3,EU21,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU21
NA,PLALAN,30,25.3,EU37,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU37
10,PLALAN,30,25.3,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
8,PLALAN,30,25.3,EU45,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU45
20,CHEMAJ,30,25.3,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
14,RUMCRI,30,25.3,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,RUMCRI,30,25.3,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
10,TAROFF,30,25.3,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
NA,PLAMAJ,30,25.3,US25,USA--Walden,USA,0,PLAMAJ_US25
6,PLAMAJ,30,25.3,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
6,PLAMAJ,30,25.3,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
12,PLALAN,30,25.3,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
10,PLALAN,30,25.3,EU38,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU38
NA,PLALAN,30,25.3,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
10,PLALAN,30,25.3,EU46,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU46
20,CHEMAJ,30,25.3,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
16,RUMCRI,30,25.3,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
24,RUMCRI,30,25.3,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
NA,TAROFF,30,25.3,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
8,PLAMAJ,30,25.3,US25,USA--Walden,USA,1,PLAMAJ_US25
6,PLAMAJ,30,25.3,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
