"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Wright","Ian",340,"Global leaf size dataset","Acer saccharum",863,"Acer saccharum",2389147,19696810,NA,"",59,"Latitude","Latitude","41.63","","",NA,"",NA,41.63,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer saccharum",863,"Acer saccharum",2389147,19696811,NA,"",60,"Longitude","Longitude","-71.751","","",NA,"",NA,-71.751,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer saccharum",863,"Acer saccharum",2389147,19696812,NA,"",61,"Altitude","Elevation (m)","590","","",NA,"",NA,590,"m",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696844,NA,"",469,"Identifier within contributed dataset (ID)","ID","49","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696845,NA,"",112,"Location Site ID","SiteNum","530","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696846,NA,"",114,"Location","Site","Royer_ANF","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696847,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696848,NA,"",846,"Family","Family","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696850,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696855,NA,"",59,"Latitude","Latitude","41.63","","",NA,"",NA,41.63,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696856,NA,"",60,"Longitude","Longitude","-71.751","","",NA,"",NA,-71.751,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Betula lenta",7341,"Betula lenta",2389150,19696857,NA,"",61,"Altitude","Elevation (m)","590","","",NA,"",NA,590,"m",NA,NA,NA
