"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Crown depth","Dataset reference (citation)","Latitude","Longitude","Mean annual temperature (MAT)","Plant height vegetative","Reference DOI (digital object identifier)","Stem diameter at base (basal diameter)","Stem diameter at breast height (1.3 m"
"79","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008249,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.03","10.1007/s00442-007-0722-2","0.00155",NA
"80","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008250,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.05","10.1007/s00442-007-0722-2","0.00188",NA
"81","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008251,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.031","10.1007/s00442-007-0722-2","0.00177",NA
"82","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008252,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.047","10.1007/s00442-007-0722-2","0.00145",NA
"83","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008253,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.042","10.1007/s00442-007-0722-2","0.00192",NA
"84","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008254,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.031","10.1007/s00442-007-0722-2","0.00132",NA
"85","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008255,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.085","10.1007/s00442-007-0722-2","0.00299",NA
"86","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008256,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.038","10.1007/s00442-007-0722-2","0.00146",NA
"87","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008257,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.045","10.1007/s00442-007-0722-2","0.00174",NA
"88","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008258,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.042","10.1007/s00442-007-0722-2","0.00086",NA
