Tray location,Substrate,Germ Date (NA=did not germinate)
26e8,Soil,12/5/2015
26e9,Soil,11/29/2015
26f1,Soil,11/29/2015
26f10,Soil,12/1/2015
26f11,Soil,12/5/2015
26f2,Soil,12/1/2015
26f3,Soil,12/1/2015
26f4,Soil,12/3/2015
26f5,Soil,NA
26f6,Soil,12/11/2015
26f7,Soil,12/7/2015
26f8,Soil,11/29/2015
26f9,Soil,11/29/2015
27a10,Soil,12/1/2015
27a11,Soil,12/3/2015
27a12,Soil,11/27/2015
27a2,Soil,NA
27a3,Soil,NA
27a4,Soil,11/29/2015
27a5,Soil,11/27/2015
27a6,Soil,NA
27a7,Soil,NA
27a8,Soil,12/1/2015
27a9,Soil,11/29/2015
27b10,Soil,12/3/2015
27b11,Soil,12/3/2015
27b12,Soil,11/27/2015
27b2,Soil,11/29/2015
27b3,Soil,NA
27b4,Soil,12/5/2015
27b5,Soil,NA
27b6,Soil,12/3/2015
27b7,Soil,1/11/2006
27b8,Soil,1/11/2016
27b9,Soil,1/11/2016
27c10,Soil,12/1/2015
27c11,Soil,12/1/2015
27c2,Soil,11/29/2015
27c3,Soil,NA
27c4,Soil,NA
27c5,Soil,NA
27c6,Soil,NA
27c7,Soil,12/5/2015
27c8,Soil,1/11/2016
27c9,Soil,12/1/2015
27d1,Soil,NA
27d10,Soil,11/27/2015
27d11,Soil,11/27/2015
27d2,Soil,12/1/2015
27d3,Soil,12/5/2015
27d4,Soil,NA
27d5,Soil,NA
27d6,Soil,12/1/2015
27d7,Soil,NA
27d8,Soil,NA
27d9,Soil,12/3/2015
27e1,Soil,NA
27e10,Soil,11/27/2015
27e11,Soil,11/29/2015
27e2,Soil,NA
27e3,Soil,NA
27e4,Soil,NA
27e5,Soil,NA
27e6,Soil,12/1/2015
27e7,Soil,12/1/2015
27e8,Soil,1/11/2016
27e9,Soil,11/29/2015
27f1,Soil,11/29/2015
27f10,Soil,12/5/2015
27f11,Soil,11/29/2015
27f2,Soil,12/1/2015
27f3,Soil,NA
27f4,Soil,NA
27f5,Soil,NA
27f6,Soil,12/1/2015
27f7,Soil,1/29/2016
27f8,Soil,12/5/2015
27f9,Soil,11/29/2015
28a10,Soil,12/3/2015
28a11,Soil,11/29/2015
28a12,Soil,NA
28a2,Soil,NA
28a3,Soil,NA
28a4,Soil,NA
28a5,Soil,12/5/2015
28a6,Soil,NA
28a7,Soil,NA
28a8,Soil,12/5/2015
28a9,Soil,12/3/2015
28b10,Soil,12/3/2015
28b11,Soil,12/1/2015
28b12,Soil,11/29/2015
28b2,Soil,12/1/2015
28b3,Soil,NA
28b4,Soil,12/3/2015
28b5,Soil,NA
28b6,Soil,NA
28b7,Soil,12/3/2015
28b8,Soil,11/27/2015
28b9,Soil,12/3/2015
28c10,Soil,12/5/2015
28c11,Soil,11/29/2015
28c2,Soil,12/1/2015
28c3,Soil,NA
28c4,Soil,NA
28c5,Soil,12/3/2015
28c6,Soil,NA
28c7,Soil,12/3/2015
28c8,Soil,11/27/2015
28c9,Soil,11/27/2015
28d1,Soil,NA
28d10,Soil,12/5/2015
28d11,Soil,12/1/2015
28d2,Soil,12/1/2015
28d3,Soil,12/5/2015
28d4,Soil,NA
28d5,Soil,12/5/2015
28d6,Soil,12/3/2015
28d7,Soil,11/29/2015
28d8,Soil,11/29/2015
28d9,Soil,11/27/2015
28e1,Soil,NA
28e10,Soil,11/29/2015
28e11,Soil,11/29/2015
28e2,Soil,NA
28e3,Soil,NA
28e4,Soil,12/3/2015
28e5,Soil,12/1/2015
28e6,Soil,11/29/2015
28e7,Soil,12/1/2015
28e8,Soil,11/29/2015
28e9,Soil,11/27/2015
28f1,Soil,12/9/2015
28f10,Soil,NA
28f11,Soil,12/5/2015
28f2,Soil,12/7/2015
28f3,Soil,NA
28f4,Soil,NA
28f5,Soil,NA
28f6,Soil,12/9/2015
28f7,Soil,12/7/2015
28f8,Soil,11/27/2015
28f9,Soil,11/27/2015
29a10,Soil,12/9/2015
29a11,Soil,12/7/2015
29a12,Soil,12/3/2015
29a2,Soil,12/5/2015
29a3,Soil,12/13/2015
29a4,Soil,11/29/2015
29a5,Soil,NA
29a6,Soil,NA
29a7,Soil,NA
29a8,Soil,12/3/2015
29a9,Soil,1/29/2016
29b10,Soil,12/9/2015
29b11,Soil,12/7/2015
29b12,Soil,NA
29b2,Soil,12/3/2015
29b3,Soil,12/11/2015
29b4,Soil,11/29/2015
29b5,Soil,12/13/2015
29b6,Soil,NA
29b7,Soil,12/21/2015
29b8,Soil,1/11/2016
29b9,Soil,12/17/2015
29c10,Soil,12/7/2015
29c11,Soil,12/7/2015
29c2,Soil,12/5/2015
29c3,Soil,12/7/2015
29c4,Soil,12/1/2015
29c5,Soil,NA
29c6,Soil,NA
29c7,Soil,12/3/2015
29c8,Soil,12/26/2015
29c9,Soil,12/26/2015
29d10,Soil,12/7/2015
29d11,Soil,11/29/2015
29d2,Soil,12/9/2015
29d3,Soil,12/7/2015
29d4,Soil,11/29/2015
29d5,Soil,NA
29d6,Soil,12/15/2015
29d7,Soil,NA
29d8,Soil,1/1/2016
29d9,Soil,1/11/2016
29e1,Soil,12/5/2015
29e10,Soil,12/3/2015
29e11,Soil,11/27/2015
29e2,Soil,12/9/2015
29e3,Soil,12/5/2015
29e4,Soil,12/1/2015
29e5,Soil,NA
29e6,Soil,12/26/2015
29e7,Soil,11/29/2015
29e8,Soil,1/1/2016
29e9,Soil,1/11/2016
29f1,Soil,12/7/2015
29f10,Soil,NA
29f11,Soil,11/29/2015
29f2,Soil,12/15/2015
29f3,Soil,12/5/2015
29f4,Soil,11/29/2015
29f5,Soil,NA
29f6,Soil,NA
29f7,Soil,11/29/2015
29f8,Soil,NA
29f9,Soil,12/7/2015
2a5,Soil,12/7/2015
2a6,Soil,12/5/2015
2a7,Soil,11/29/2015
2b5,Soil,NA
2b6,Soil,NA
2b7,Soil,12/5/2015
2c4,Soil,12/9/2015
2c5,Soil,12/3/2015
2c6,Soil,12/1/2015
2c7,Soil,12/3/2015
2d4,Soil,NA
2d5,Soil,12/9/2015
2d6,Soil,12/5/2015
2d7,Soil,12/3/2015
2e4,Soil,12/5/2015
2e5,Soil,11/29/2015
2e6,Soil,12/1/2015
2f4,Soil,12/5/2015
2f5,Soil,12/5/2015
2f6,Soil,12/3/2015
30a10,Soil,12/11/2015
30a11,Soil,12/5/2015
30a12,Soil,12/3/2015
30a2,Soil,12/3/2015
30a3,Soil,12/5/2015
30a4,Soil,12/7/2015
30a5,Soil,NA
30a6,Soil,NA
30a7,Soil,NA
30a8,Soil,11/29/2015
30a9,Soil,NA
30b10,Soil,12/5/2015
30b11,Soil,12/3/2015
30b12,Soil,11/29/2015
30b2,Soil,12/3/2015
30b3,Soil,12/5/2015
30b4,Soil,12/7/2015
30b5,Soil,NA
30b6,Soil,NA
30b7,Soil,NA
30b8,Soil,12/11/2015
30b9,Soil,12/13/2015
30c10,Soil,12/3/2015
30c11,Soil,12/3/2015
30c2,Soil,12/1/2015
30c3,Soil,11/29/2015
30c4,Soil,12/1/2015
30c5,Soil,NA
30c6,Soil,12/5/2015
30c7,Soil,NA
30c8,Soil,NA
30c9,Soil,12/11/2015
30d10,Soil,12/3/2015
30d11,Soil,11/27/2015
30d2,Soil,12/9/2015
30d3,Soil,12/3/2015
30d4,Soil,11/29/2015
30d5,Soil,NA
30d6,Soil,NA
30d7,Soil,11/27/2015
30d8,Soil,12/15/2015
30d9,Soil,NA
30e1,Soil,12/5/2015
30e10,Soil,12/3/2015
30e11,Soil,11/27/2015
30e2,Soil,12/5/2015
30e3,Soil,12/1/2015
30e4,Soil,11/29/2015
30e5,Soil,NA
30e6,Soil,NA
30e7,Soil,11/27/2015
30e8,Soil,12/11/2015
30e9,Soil,12/9/2015
30f1,Soil,12/5/2015
30f10,Soil,12/5/2015
30f11,Soil,11/27/2015
30f2,Soil,12/5/2015
30f3,Soil,12/3/2015
30f4,Soil,11/29/2015
30f5,Soil,NA
30f6,Soil,12/5/2015
30f7,Soil,12/3/2015
30f8,Soil,12/21/2015
30f9,Soil,12/15/2015
31a10,Soil,12/7/2015
31a11,Soil,12/7/2015
31a12,Soil,11/27/2015
31a2,Soil,11/29/2015
31a3,Soil,12/7/2015
31a4,Soil,12/7/2015
31a5,Soil,12/3/2015
31a6,Soil,12/23/2015
31a7,Soil,NA
31a8,Soil,11/27/2015
31a9,Soil,1/11/2016
31b10,Soil,12/3/2015
31b11,Soil,12/7/2015
31b12,Soil,11/27/2015
31b2,Soil,12/1/2015
31b3,Soil,12/3/2015
31b4,Soil,11/29/2015
31b5,Soil,NA
31b6,Soil,12/3/2015
31b7,Soil,NA
31b8,Soil,12/7/2015
31b9,Soil,12/9/2015
31c10,Soil,12/1/2015
31c11,Soil,12/1/2015
31c2,Soil,11/29/2015
31c3,Soil,11/29/2015
31c4,Soil,11/29/2015
31c5,Soil,NA
31c6,Soil,NA
31c7,Soil,NA
31c8,Soil,NA
31c9,Soil,1/11/2016
31d10,Soil,12/1/2015
31d11,Soil,11/27/2015
31d2,Soil,11/29/2015
31d3,Soil,11/29/2015
31d4,Soil,11/27/2015
31d5,Soil,NA
31d6,Soil,NA
31d7,Soil,11/29/2015
31d8,Soil,1/11/2016
31d9,Soil,12/9/2015
31e1,Soil,11/29/2015
31e10,Soil,11/29/2015
31e11,Soil,11/27/2015
31e2,Soil,12/1/2015
31e3,Soil,11/29/2015
31e4,Soil,11/29/2015
31e5,Soil,NA
31e6,Soil,NA
31e7,Soil,11/29/2015
31e8,Soil,1/11/2016
31e9,Soil,12/7/2015
31f1,Soil,11/29/2015
31f10,Soil,11/29/2015
31f11,Soil,11/27/2015
31f2,Soil,11/29/2015
31f3,Soil,11/29/2015
31f4,Soil,11/29/2015
31f5,Soil,1/11/2015
31f6,Soil,12/6/2015
31f7,Soil,12/1/2015
31f8,Soil,1/11/2016
31f9,Soil,12/1/2015
32a10,Soil,NA
32a11,Soil,12/5/2015
32a12,Soil,11/29/2015
32a2,Soil,11/29/2015
32a3,Soil,12/13/2015
32a4,Soil,11/29/2015
32a5,Soil,NA
32a6,Soil,NA
32a7,Soil,NA
32a8,Soil,12/3/2015
32a9,Soil,12/9/2015
32b10,Soil,12/5/2015
32b11,Soil,12/1/2015
32b12,Soil,11/29/2015
32b2,Soil,11/29/2015
32b3,Soil,12/1/2015
32b4,Soil,12/3/2015
32b5,Soil,12/26/2015
32b6,Soil,NA
32b7,Soil,NA
32b8,Soil,12/9/2015
32b9,Soil,12/15/2015
32c10,Soil,12/1/2015
32c11,Soil,12/1/2015
32c2,Soil,12/1/2015
32c3,Soil,12/3/2015
32c4,Soil,11/29/2015
32c5,Soil,NA
32c6,Soil,11/29/2015
32c7,Soil,NA
32c8,Soil,12/9/2015
32c9,Soil,12/26/2015
32d10,Soil,NA
32d11,Soil,NA
32d2,Soil,11/29/2015
32d3,Soil,11/29/2015
32d4,Soil,11/29/2015
32d5,Soil,NA
32d6,Soil,NA
32d7,Soil,11/29/2015
32d8,Soil,12/9/2015
32d9,Soil,NA
32e1,Soil,12/3/2015
32e10,Soil,NA
32e11,Soil,11/29/2015
32e2,Soil,12/5/2015
32e3,Soil,11/29/2015
32e4,Soil,11/29/2015
32e5,Soil,NA
32e6,Soil,NA
32e7,Soil,11/29/2015
32e8,Soil,12/9/2015
32e9,Soil,NA
32f1,Soil,12/5/2015
32f10,Soil,12/1/2015
32f11,Soil,11/29/2015
32f2,Soil,12/7/2015
32f3,Soil,11/29/2015
32f4,Soil,11/29/2015
32f5,Soil,11/29/2015
32f6,Soil,NA
32f7,Soil,11/29/2015
32f8,Soil,12/23/2015
32f9,Soil,12/23/2015
3a5,Soil,12/13/2015
3a6,Soil,11/27/2015
3a7,Soil,NA
3b5,Soil,NA
3b6,Soil,12/1/2015
3b7,Soil,NA
3c4,Soil,12/1/2015
3c5,Soil,12/1/2015
3c6,Soil,11/27/2015
3c7,Soil,NA
3d4,Soil,NA
3d5,Soil,NA
3d6,Soil,11/27/2015
3d7,Soil,12/1/2015
3e4,Soil,11/29/2015
3e5,Soil,NA
3e6,Soil,12/1/2015
3f4,Soil,12/3/2015
3f5,Soil,12/1/2015
3f6,Soil,NA
4a5,Soil,12/9/2015
4a6,Soil,1/11/2016
4a7,Soil,NA
4b5,Soil,NA
4b6,Soil,11/29/2015
4b7,Soil,NA
4c4,Soil,NA
4c5,Soil,12/9/2015
4c6,Soil,12/3/2015
4c7,Soil,12/5/2015
4d4,Soil,NA
4d5,Soil,12/1/2015
4d6,Soil,NA
4d7,Soil,NA
4e4,Soil,11/29/2015
4e5,Soil,11/29/2015
4e6,Soil,12/5/2015
4f4,Soil,NA
4f5,Soil,12/1/2015
4f6,Soil,12/7/2015
5a10,Soil,NA
5a11,Soil,NA
5a12,Soil,12/1/2015
5a3,Soil,NA
5a4,Soil,12/7/2015
5a5,Soil,12/5/2015
5a6,Soil,12/9/2015
5a8,Soil,12/3/2015
5a9,Soil,12/1/2015
5b10,Soil,11/29/2015
5b11,Soil,NA
5b12,Soil,11/27/2015
5b3,Soil,12/3/2015
5b4,Soil,12/7/2015
5b5,Soil,12/5/2015
5b6,Soil,12/3/2015
5b8,Soil,12/3/2015
5b9,Soil,12/1/2015
5c10,Soil,11/29/2015
5c11,Soil,11/29/2015
5c12,Soil,12/1/2015
5c3,Soil,12/3/2015
5c4,Soil,12/1/2015
5c5,Soil,12/1/2015
5c8,Soil,12/3/2015
5c9,Soil,NA
5d10,Soil,11/29/2015
5d11,Soil,11/29/2015
5d3,Soil,12/5/2015
5d4,Soil,NA
5d5,Soil,12/3/2015
5d8,Soil,11/29/2015
5d9,Soil,NA
5e10,Soil,11/29/2015
5e11,Soil,11/29/2015
5e3,Soil,12/9/2015
5e4,Soil,12/5/2015
5e5,Soil,NA
5e7,Soil,12/5/2015
5e8,Soil,NA
5e9,Soil,NA
5f10,Soil,11/29/2015
5f11,Soil,12/5/2015
5f3,Soil,NA
5f4,Soil,NA
5f5,Soil,12/9/2015
5f7,Soil,12/5/2015
5f8,Soil,12/1/2015
5f9,Soil,NA
6a10,Soil,NA
6a11,Soil,NA
6a12,Soil,12/7/2015
6a3,Soil,12/3/2015
6a4,Soil,NA
6a5,Soil,12/13/2015
6a6,Soil,NA
6a8,Soil,12/11/2015
6a9,Soil,NA
6b10,Soil,12/1/2015
6b11,Soil,11/29/2015
6b12,Soil,11/29/2015
6b3,Soil,11/29/2015
6b4,Soil,12/3/2015
6b5,Soil,12/3/2015
6b6,Soil,NA
6b8,Soil,11/29/2015
6b9,Soil,11/29/2015
6c10,Soil,12/1/2015
6c11,Soil,NA
6c12,Soil,12/3/2015
6c3,Soil,NA
6c4,Soil,NA
6c5,Soil,11/29/2015
6c8,Soil,11/29/2015
6c9,Soil,NA
6d10,Soil,11/29/2015
6d11,Soil,NA
6d3,Soil,11/29/2015
6d4,Soil,12/1/2015
6d5,Soil,12/5/2015
6d8,Soil,NA
6d9,Soil,NA
6e10,Soil,11/27/2015
6e11,Soil,NA
6e3,Soil,11/29/2015
6e4,Soil,NA
6e5,Soil,NA
6e7,Soil,NA
6e8,Soil,12/1/2015
6e9,Soil,NA
6f10,Soil,12/1/2015
6f11,Soil,11/29/2015
6f3,Soil,NA
6f4,Soil,11/27/2015
6f5,Soil,11/29/2015
6f7,Soil,12/11/2015
6f8,Soil,12/9/2015
6f9,Soil,NA
7a10,Soil,NA
7a11,Soil,11/27/2015
7a12,Soil,11/29/2015
7a3,Soil,12/1/2015
7a4,Soil,NA
7a5,Soil,11/27/2015
7a6,Soil,NA
7a8,Soil,11/29/2015
7a9,Soil,11/27/2015
7b10,Soil,11/27/2015
7b11,Soil,NA
7b12,Soil,11/29/2015
7b3,Soil,11/29/2015
7b4,Soil,12/3/2015
7b5,Soil,11/29/2015
7b6,Soil,1/11/2016
7b8,Soil,NA
7b9,Soil,11/27/2015
7c10,Soil,11/27/2015
7c11,Soil,11/29/2015
7c12,Soil,NA
7c3,Soil,NA
7c4,Soil,11/29/2015
7c5,Soil,11/27/2015
7c8,Soil,11/29/2015
7c9,Soil,NA
7d10,Soil,11/27/2015
7d11,Soil,11/27/2015
7d3,Soil,NA
7d4,Soil,11/29/2015
7d5,Soil,NA
7d8,Soil,11/27/2015
7d9,Soil,NA
7e10,Soil,11/27/2015
7e11,Soil,NA
7e3,Soil,NA
7e4,Soil,11/29/2015
7e5,Soil,NA
7e7,Soil,12/1/2015
7e8,Soil,11/27/2015
7e9,Soil,NA
7f10,Soil,11/29/2015
7f11,Soil,11/27/2015
7f3,Soil,12/3/2015
7f4,Soil,12/1/2015
7f5,Soil,NA
7f7,Soil,11/27/2015
7f8,Soil,12/1/2015
7f9,Soil,NA
8a10,Soil,11/27/2015
8a11,Soil,11/29/2015
8a12,Soil,11/27/2015
8a3,Soil,12/1/2015
8a4,Soil,11/27/2015
8a5,Soil,12/3/2015
8a6,Soil,NA
8a8,Soil,1/11/2016
8a9,Soil,11/27/2015
8b10,Soil,11/29/2015
8b11,Soil,NA
8b12,Soil,11/27/2015
8b3,Soil,12/1/2015
8b4,Soil,11/29/2015
8b5,Soil,11/29/2015
8b6,Soil,11/27/2015
8b8,Soil,11/27/2015
8b9,Soil,11/27/2015
8c10,Soil,11/27/2015
8c11,Soil,11/29/2015
8c12,Soil,11/29/2015
8c3,Soil,12/3/2015
8c4,Soil,11/27/2015
8c5,Soil,11/29/2015
8c8,Soil,11/29/2015
8c9,Soil,NA
8d10,Soil,11/29/2015
8d11,Soil,11/29/2015
8d3,Soil,12/1/2015
8d4,Soil,11/27/2015
8d5,Soil,11/27/2015
8d8,Soil,1/1/2016
8d9,Soil,11/27/2015
8e10,Soil,11/27/2015
8e11,Soil,11/27/2015
8e3,Soil,11/29/2015
8e4,Soil,12/3/2015
8e5,Soil,12/1/2015
8e7,Soil,11/27/2015
8e8,Soil,11/27/2015
8e9,Soil,11/27/2015
8f10,Soil,NA
8f11,Soil,11/27/2015
8f3,Soil,12/1/2015
8f4,Soil,11/27/2015
8f5,Soil,11/27/2015
8f7,Soil,11/27/2015
8f8,Soil,11/27/2015
8f9,Soil,NA
9a1,Soil,12/1/2015
9a10,Soil,12/7/2015
9a11,Soil,12/7/2015
9a12,Soil,12/7/2015
9a2,Soil,11/29/2015
9a3,Soil,12/7/2015
9a4,Soil,11/29/2015
9a5,Soil,1/11/2016
9a6,Soil,12/13/2015
9a7,Soil,12/7/2015
9a8,Soil,12/1/2015
9a9,Soil,12/1/2015
9b1,Soil,12/1/2015
9b10,Soil,12/7/2015
9b11,Soil,12/7/2015
9b2,Soil,12/1/2015
9b3,Soil,12/3/2015
9b4,Soil,12/3/2015
9b5,Soil,NA
9b6,Soil,12/11/2015
9b7,Soil,12/11/2015
9b8,Soil,12/5/2015
9b9,Soil,NA
9c1,Soil,12/7/2015
9c10,Soil,12/7/2015
9c11,Soil,12/7/2015
9c2,Soil,12/1/2015
9c3,Soil,NA
9c4,Soil,11/29/2015
9c5,Soil,1/11/2016
9c6,Soil,12/11/2015
9c7,Soil,12/13/2015
9c8,Soil,12/3/2015
9c9,Soil,NA
9d1,Soil,12/11/2015
9d10,Soil,12/9/2015
9d11,Soil,12/7/2015
9d2,Soil,12/7/2015
9d3,Soil,NA
9d4,Soil,NA
9d5,Soil,NA
9d6,Soil,12/17/2015
9d7,Soil,12/11/2015
9d8,Soil,NA
9d9,Soil,NA
9e1,Soil,12/3/2015
9e10,Soil,12/3/2015
9e11,Soil,12/5/2015
9e2,Soil,NA
9e3,Soil,NA
9e4,Soil,12/3/2015
9e5,Soil,1/11/2016
9e6,Soil,12/13/2015
9e7,Soil,12/13/2015
9e8,Soil,12/7/2015
9e9,Soil,NA
9f1,Soil,NA
9f10,Soil,12/9/2015
9f11,Soil,12/7/2015
9f2,Soil,12/13/2015
9f3,Soil,12/26/2015
9f4,Soil,12/1/2015
9f5,Soil,12/15/2015
9f6,Soil,12/17/2015
9f7,Soil,12/3/2015
9f8,Soil,12/3/2015
9f9,Soil,NA
1d12,Filter,NA
2d12,Filter,12/1/2015
3d12,Filter,NA
4d12,Filter,11/27/2015
5b23,Filter,NA
6b23,Filter,12/3/2015
7b23,Filter,NA
8b23,Filter,11/27/2015
1e12,Filter,NA
2e12,Filter,NA
3e12,Filter,NA
4e12,Filter,NA
5c23,Filter,NA
6c23,Filter,12/3/2015
7c23,Filter,NA
8c23,Filter,11/29/2015
1f12,Filter,NA
2f12,Filter,NA
3f12,Filter,NA
4f12,Filter,NA
5d23,Filter,NA
6d23,Filter,12/3/2015
7d23,Filter,NA
8d23,Filter,11/27/2015
1g12,Filter,NA
2g12,Filter,12/7/2015
3g12,Filter,11/29/2015
4g12,Filter,NA
5e23,Filter,NA
6e23,Filter,12/3/2015
7e23,Filter,NA
8e23,Filter,NA
1h12,Filter,NA
2h12,Filter,NA
3h12,Filter,11/29/2015
4h12,Filter,NA
5f23,Filter,NA
6f23,Filter,12/3/2015
7f23,Filter,NA
8f23,Filter,NA
1a13,Filter,NA
1b13,Filter,NA
1c13,Filter,NA
2a13,Filter,11/29/2015
2b13,Filter,11/29/2015
2c13,Filter,11/29/2015
3a13,Filter,11/29/2015
3b13,Filter,11/29/2015
3c13,Filter,11/29/2015
4a13,Filter,12/1/2015
4b13,Filter,12/3/2015
4c13,Filter,11/27/2015
5a24,Filter,NA
5g23,Filter,NA
5h23,Filter,NA
6a24,Filter,NA
6g23,Filter,12/1/2015
6h23,Filter,12/1/2015
7a24,Filter,11/27/2015
7g23,Filter,11/27/2015
7h23,Filter,11/27/2015
8a24,Filter,11/27/2015
8g23,Filter,11/27/2015
8h23,Filter,11/27/2015
1d13,Filter,NA
1d13,Filter,NA
2d13,Filter,NA
2e13,Filter,NA
3d13,Filter,11/29/2015
3e13,Filter,11/29/2015
4d13,Filter,11/27/2015
4e13,Filter,11/27/2015
5b24,Filter,NA
5c24,Filter,NA
6b24,Filter,12/1/2015
6c24,Filter,11/29/2015
7b24,Filter,11/27/2015
7c24,Filter,11/27/2015
8b24,Filter,11/29/2015
8c24,Filter,11/27/2015
11f7,Filter,NA
12f7,Filter,12/7/2015
1a14,Filter,NA
1e13,Filter,NA
1f13,Filter,NA
1g13,Filter,NA
1h13,Filter,NA
2a14,Filter,NA
2b14,Filter,NA
2f13,Filter,NA
2g13,Filter,NA
2h13,Filter,NA
3a14,Filter,NA
3b14,Filter,12/1/2015
3f13,Filter,11/29/2015
3g13,Filter,NA
3h13,Filter,NA
4a14,Filter,NA
4b14,Filter,12/1/2015
4f13,Filter,NA
4g13,Filter,NA
4h13,Filter,12/1/2015
5d24,Filter,NA
5e24,Filter,NA
5f24,Filter,NA
5g24,Filter,NA
5h24,Filter,NA
6d24,Filter,11/29/2015
6e24,Filter,12/1/2015
6f24,Filter,12/3/2015
6g24,Filter,NA
6h24,Filter,NA
7b5,Filter,NA
7d24,Filter,11/27]/2015
7e24,Filter,11/27/2015
7f24,Filter,11/27/2015
7g24,Filter,NA
7h24,Filter,NA
8b5,Filter,NA
8d24,Filter,11/27/2015
8e24,Filter,12/1/2015
8f24,Filter,11/29/2015
8g24,Filter,11/27/2015
8h24,Filter,11/27/2015
1b14,Filter,NA
1c14,Filter,NA
1d14,Filter,NA
1e14,Filter,NA
1f14,Filter,NA
2c14,Filter,NA
2d14,Filter,NA
2e14,Filter,NA
2f14,Filter,NA
2g14,Filter,NA
3c14,Filter,NA
3d14,Filter,NA
3e14,Filter,NA
3f14,Filter,NA
3g14,Filter,NA
4c14,Filter,11/29/2015
4d14,Filter,11/29/2015
4e14,Filter,11/29/2015
4f14,Filter,NA
4g14,Filter,12/1/2015
5a25A,Filter,NA
5a25B,Filter,NA
5a25C,Filter,NA
5a25D,Filter,NA
5a25E,Filter,NA
6a25A,Filter,12/5/2015
6a25B,Filter,NA
6a25C,Filter,NA
6a25D,Filter,NA
6a25E,Filter,NA
7a25A,Filter,12/5/2015
7a25B,Filter,NA
7a25C,Filter,NA
7a25D,Filter,NA
7a25E,Filter,NA
8a25A,Filter,11/27/2015
8a25B,Filter,NA
8a25C,Filter,NA
8a25D,Filter,NA
8a25E,Filter,NA
1a15,Filter,12/7/2015
1b15,Filter,12/7/2015
1c15,Filter,NA
1d15,Filter,NA
1h14,Filter,NA
2a15,Filter,NA
2b15,Filter,NA
2c15,Filter,NA
2d15,Filter,NA
2h14,Filter,NA
3a15,Filter,NA
3b15,Filter,NA
3c15,Filter,NA
3d15,Filter,12/1/2015
3h14,Filter,NA
4a15,Filter,NA
4b15,Filter,11/29/2015
4c15,Filter,NA
4d15,Filter,NA
4h14,Filter,11/29/2015
5b25A,Filter,NA
5b25B,Filter,NA
5b25C,Filter,NA
6b25A,Filter,11/29/2015
6b25B,Filter,12/3/2015
6b25C,Filter,NA
7b25A,Filter,NA
7b25B,Filter,NA
7b25C,Filter,NA
8b25A,Filter,NA
8b25B,Filter,NA
8b25C,Filter,NA
10g7,Filter,12/9/2015
11g7,Filter,12/3/2015
12g7,Filter,12/5/2015
1e15,Filter,NA
1f15,Filter,NA
1g15,Filter,NA
2e15,Filter,NA
2f15,Filter,NA
2g15,Filter,NA
3e15,Filter,NA
3f15,Filter,NA
3g15,Filter,NA
4e15,Filter,NA
4f15,Filter,11/29/2015
4g15,Filter,NA
5c25A,Filter,NA
5c25B,Filter,NA
5c25C,Filter,NA
5c5,Filter,12/9/2015
6c25A,Filter,NA
6c25B,Filter,NA
6c25C,Filter,NA
6c5,Filter,12/1/2015
7c25A,Filter,12/3/2015
7c25B,Filter,NA
7c25C,Filter,NA
7c5,Filter,NA
8c25A,Filter,NA
8c25B,Filter,NA
8c25C,Filter,NA
8c5,Filter,NA
9g7,Filter,NA
1a16,Filter,NA
1h15,Filter,NA
2a16,Filter,NA
2h15,Filter,NA
3a16,Filter,12/1/2015
3h15,Filter,NA
4a16,Filter,11/29/2015
4h15,Filter,NA
5d25,Filter,NA
6d25,Filter,NA
7d25,Filter,NA
8d25,Filter,NA
1c6,Filter,NA
1d6,Filter,NA
2c6,Filter,NA
2d6,Filter,NA
3c6,Filter,NA
3d6,Filter,NA
4c6,Filter,NA
4d6,Filter,NA
5b17,Filter,NA
5c17,Filter,NA
6b17,Filter,NA
6c17,Filter,NA
7b17,Filter,NA
7c17,Filter,NA
8b17,Filter,NA
8c17,Filter,NA
1e6,Filter,NA
2e6,Filter,NA
3e6,Filter,NA
4e6,Filter,NA
5d17,Filter,NA
6d17,Filter,12/1/2015
7d17,Filter,11/29/2015
8d17,Filter,NA
1f6,Filter,NA
2f6,Filter,NA
3f6,Filter,NA
4f6,Filter,NA
5e17,Filter,NA
6e17,Filter,NA
7e17,Filter,NA
8e17,Filter,12/3/2015
1g6,Filter,NA
2g6,Filter,12/9/2015
3g6,Filter,NA
4g6,Filter,12/11/2015
5f17,Filter,NA
6f17,Filter,NA
7f17,Filter,NA
8f17,Filter,NA
10c1,Filter,NA
11c1,Filter,NA
12c1,Filter,NA
1g25,Filter,NA
2g25,Filter,NA
3g25,Filter,NA
4g25,Filter,NA
9c1,Filter,NA
10d1,Filter,NA
11d1,Filter,NA
12d1,Filter,12/13/2015
1h25,Filter,NA
2h25,Filter,NA
3h25,Filter,NA
4h25,Filter,NA
9d1,Filter,NA
10e1,Filter,NA
11e1,Filter,11/29/2015
12e1,Filter,12/7/2015
1a26,Filter,12/3/2015
2a26,Filter,12/9/2015
3a26,Filter,NA
4a26,Filter,NA
9e1,Filter,NA
10f1,Filter,NA
11f1,Filter,12/13/2015
12f1,Filter,12/7/2015
1b26,Filter,NA
2b26,Filter,12/7/2015
3b26,Filter,NA
4b26,Filter,NA
9f1,Filter,NA
10g1,Filter,NA
11g1,Filter,NA
12g1,Filter,12/9/2015
1c26,Filter,NA
2c26,Filter,NA
