Tray location,Species,Strat length (days),"Temp (from lowest to highest temperature treatments: LL, LM, HM, HH) ",individual,Collection location,Substrate
25f1,PLALAN,60,LL,EU03,"Bois de Boulogne, Paris, France",Soil
25f10,PLALAN,60,LL,EU73,"Le Tretien, Switzerland",Soil
25f11,PLALAN,60,LL,EU78,"Grenoble, France",Soil
25f2,PLALAN,60,LL,EU09,"Vlieland, The Netherlands",Soil
25f3,PLALAN,60,LL,EU17,"Leer, Germany",Soil
25f4,PLALAN,60,LL,EU22,"Copenhagen, Denmark",Soil
25f5,PLALAN,60,LL,EU29,"Zell Am See, Austria",Soil
25f6,PLALAN,60,LL,EU40,"Just below Enzianhutte, above Zell Am See, Austria",Soil
25f7,PLALAN,60,LL,EU49,"Podhom, Slovenia",Soil
25f8,PLALAN,60,LL,EU60,"Divaca Kras, Slovenia",Soil
25f9,PLALAN,60,LL,EU61,"Schaan, Liechtenstein",Soil
26a10,PLALAN,60,LM,EU61,"Schaan, Liechtenstein",Soil
26a11,PLALAN,60,LM,EU74,"Le Tretien, Switzerland",Soil
26a12,PLALAN,60,LM,EU79,"Grenoble, France",Soil
26a2,PLALAN,60,LM,EU04,"Bois de Boulogne, Paris, France",Soil
26a3,PLALAN,60,LM,EU11,"Vlieland, The Netherlands",Soil
26a4,PLALAN,60,LM,EU18,"Copenhagen, Denmark",Soil
26a5,PLALAN,60,LM,EU22,"Copenhagen, Denmark",Soil
26a6,PLALAN,60,LM,EU34,"Zell Am See, Austria",Soil
26a7,PLALAN,60,LM,EU41,"Just below Enzianhutte, above Zell Am See, Austria",Soil
26a8,PLALAN,60,LM,EU49,"Podhom, Slovenia",Soil
26a9,PLALAN,60,LM,EU60,"Divaca Kras, Slovenia",Soil
26b10,PLALAN,60,LM,EU62,"Schaan, Liechtenstein",Soil
26b11,PLALAN,60,LM,EU74,"Le Tretien, Switzerland",Soil
26b12,PLALAN,60,LM,EU80,"Grenoble, France",Soil
26b2,PLALAN,60,LM,EU05,"Bois de Boulogne, Paris, France",Soil
26b3,PLALAN,60,LM,EU13,"Leer, Germany",Soil
26b4,PLALAN,60,LM,EU19,"Copenhagen, Denmark",Soil
26b5,PLALAN,60,LM,EU22,"Copenhagen, Denmark",Soil
26b6,PLALAN,60,LM,EU35,"Zell Am See, Austria",Soil
26b7,PLALAN,60,LM,EU42,"Just below Enzianhutte, above Zell Am See, Austria",Soil
26b8,PLALAN,60,LM,EU52,"Divaca Kras, Slovenia",Soil
26b9,PLALAN,60,LM,EU60,"Divaca Kras, Slovenia",Soil
26c10,PLALAN,60,LM,EU63,"Schaan, Liechtenstein",Soil
26c11,PLALAN,60,LM,EU75,"Le Tretien, Switzerland",Soil
26c2,PLALAN,60,LM,EU06,"Vlieland, The Netherlands",Soil
26c3,PLALAN,60,LM,EU14,"Leer, Germany",Soil
26c4,PLALAN,60,LM,EU20,"Copenhagen, Denmark",Soil
26c5,PLALAN,60,LM,EU22,"Copenhagen, Denmark",Soil
26c6,PLALAN,60,LM,EU37,"Zell Am See, Austria",Soil
26c7,PLALAN,60,LM,EU44,"Podhom, Slovenia",Soil
26c8,PLALAN,60,LM,EU53,"Divaca Kras, Slovenia",Soil
26c9,PLALAN,60,LM,EU60,"Divaca Kras, Slovenia",Soil
26d1,PLALAN,60,LM,EU01,"Bois de Boulogne, Paris, France",Soil
26d10,PLALAN,60,LM,EU64,"Schaan, Liechtenstein",Soil
26d11,PLALAN,60,LM,EU76,"Grenoble, France",Soil
26d2,PLALAN,60,LM,EU07,"Vlieland, The Netherlands",Soil
26d3,PLALAN,60,LM,EU15,"Leer, Germany",Soil
26d4,PLALAN,60,LM,EU21,"Copenhagen, Denmark",Soil
26d5,PLALAN,60,LM,EU22,"Copenhagen, Denmark",Soil
26d6,PLALAN,60,LM,EU38,"Just below Enzianhutte, above Zell Am See, Austria",Soil
26d7,PLALAN,60,LM,EU45,"Podhom, Slovenia",Soil
26d8,PLALAN,60,LM,EU54,"Divaca Kras, Slovenia",Soil
26d9,PLALAN,60,LM,EU60,"Divaca Kras, Slovenia",Soil
26e1,PLALAN,60,LM,EU02,"Bois de Boulogne, Paris, France",Soil
26e10,PLALAN,60,LM,EU70,"Le Tretien, Switzerland",Soil
26e11,PLALAN,60,LM,EU77,"Grenoble, France",Soil
26e2,PLALAN,60,LM,EU08,"Vlieland, The Netherlands",Soil
26e3,PLALAN,60,LM,EU15,"Leer, Germany",Soil
26e4,PLALAN,60,LM,EU22,"Copenhagen, Denmark",Soil
26e5,PLALAN,60,LM,EU28,"Zell Am See, Austria",Soil
26e6,PLALAN,60,LM,EU39,"Just below Enzianhutte, above Zell Am See, Austria",Soil
26e7,PLALAN,60,LM,EU46,"Podhom, Slovenia",Soil
26e8,PLALAN,60,LM,EU57,"Divaca Kras, Slovenia",Soil
26e9,PLALAN,60,LM,EU60,"Divaca Kras, Slovenia",Soil
26f1,PLALAN,60,LM,EU03,"Bois de Boulogne, Paris, France",Soil
26f10,PLALAN,60,LM,EU73,"Le Tretien, Switzerland",Soil
26f11,PLALAN,60,LM,EU78,"Grenoble, France",Soil
26f2,PLALAN,60,LM,EU09,"Vlieland, The Netherlands",Soil
26f3,PLALAN,60,LM,EU17,"Leer, Germany",Soil
26f4,PLALAN,60,LM,EU22,"Copenhagen, Denmark",Soil
26f5,PLALAN,60,LM,EU29,"Zell Am See, Austria",Soil
26f6,PLALAN,60,LM,EU40,"Just below Enzianhutte, above Zell Am See, Austria",Soil
26f7,PLALAN,60,LM,EU49,"Podhom, Slovenia",Soil
26f8,PLALAN,60,LM,EU60,"Divaca Kras, Slovenia",Soil
26f9,PLALAN,60,LM,EU61,"Schaan, Liechtenstein",Soil
27a10,PLALAN,60,HM,EU61,"Schaan, Liechtenstein",Soil
27a11,PLALAN,60,HM,EU74,"Le Tretien, Switzerland",Soil
27a12,PLALAN,60,HM,EU79,"Grenoble, France",Soil
27a2,PLALAN,60,HM,EU04,"Bois de Boulogne, Paris, France",Soil
27a3,PLALAN,60,HM,EU11,"Vlieland, The Netherlands",Soil
27a4,PLALAN,60,HM,EU18,"Copenhagen, Denmark",Soil
27a5,PLALAN,60,HM,EU22,"Copenhagen, Denmark",Soil
27a6,PLALAN,60,HM,EU34,"Zell Am See, Austria",Soil
27a7,PLALAN,60,HM,EU41,"Just below Enzianhutte, above Zell Am See, Austria",Soil
27a8,PLALAN,60,HM,EU49,"Podhom, Slovenia",Soil
27a9,PLALAN,60,HM,EU60,"Divaca Kras, Slovenia",Soil
27b10,PLALAN,60,HM,EU62,"Schaan, Liechtenstein",Soil
27b11,PLALAN,60,HM,EU74,"Le Tretien, Switzerland",Soil
27b12,PLALAN,60,HM,EU80,"Grenoble, France",Soil
27b2,PLALAN,60,HM,EU05,"Bois de Boulogne, Paris, France",Soil
27b3,PLALAN,60,HM,EU13,"Leer, Germany",Soil
27b4,PLALAN,60,HM,EU19,"Copenhagen, Denmark",Soil
27b5,PLALAN,60,HM,EU22,"Copenhagen, Denmark",Soil
27b6,PLALAN,60,HM,EU35,"Zell Am See, Austria",Soil
27b7,PLALAN,60,HM,EU42,"Just below Enzianhutte, above Zell Am See, Austria",Soil
27b8,PLALAN,60,HM,EU52,"Divaca Kras, Slovenia",Soil
27b9,PLALAN,60,HM,EU60,"Divaca Kras, Slovenia",Soil
27c10,PLALAN,60,HM,EU63,"Schaan, Liechtenstein",Soil
27c11,PLALAN,60,HM,EU75,"Le Tretien, Switzerland",Soil
27c2,PLALAN,60,HM,EU06,"Vlieland, The Netherlands",Soil
27c3,PLALAN,60,HM,EU14,"Leer, Germany",Soil
27c4,PLALAN,60,HM,EU20,"Copenhagen, Denmark",Soil
27c5,PLALAN,60,HM,EU22,"Copenhagen, Denmark",Soil
27c6,PLALAN,60,HM,EU37,"Zell Am See, Austria",Soil
27c7,PLALAN,60,HM,EU44,"Podhom, Slovenia",Soil
27c8,PLALAN,60,HM,EU53,"Divaca Kras, Slovenia",Soil
27c9,PLALAN,60,HM,EU60,"Divaca Kras, Slovenia",Soil
27d1,PLALAN,60,HM,EU01,"Bois de Boulogne, Paris, France",Soil
27d10,PLALAN,60,HM,EU64,"Schaan, Liechtenstein",Soil
27d11,PLALAN,60,HM,EU76,"Grenoble, France",Soil
27d2,PLALAN,60,HM,EU07,"Vlieland, The Netherlands",Soil
27d3,PLALAN,60,HM,EU15,"Leer, Germany",Soil
27d4,PLALAN,60,HM,EU21,"Copenhagen, Denmark",Soil
27d5,PLALAN,60,HM,EU22,"Copenhagen, Denmark",Soil
27d6,PLALAN,60,HM,EU38,"Just below Enzianhutte, above Zell Am See, Austria",Soil
27d7,PLALAN,60,HM,EU45,"Podhom, Slovenia",Soil
27d8,PLALAN,60,HM,EU54,"Divaca Kras, Slovenia",Soil
27d9,PLALAN,60,HM,EU60,"Divaca Kras, Slovenia",Soil
27e1,PLALAN,60,HM,EU02,"Bois de Boulogne, Paris, France",Soil
27e10,PLALAN,60,HM,EU70,"Le Tretien, Switzerland",Soil
27e11,PLALAN,60,HM,EU77,"Grenoble, France",Soil
27e2,PLALAN,60,HM,EU08,"Vlieland, The Netherlands",Soil
27e3,PLALAN,60,HM,EU15,"Leer, Germany",Soil
27e4,PLALAN,60,HM,EU22,"Copenhagen, Denmark",Soil
27e5,PLALAN,60,HM,EU28,"Zell Am See, Austria",Soil
27e6,PLALAN,60,HM,EU39,"Just below Enzianhutte, above Zell Am See, Austria",Soil
27e7,PLALAN,60,HM,EU46,"Podhom, Slovenia",Soil
27e8,PLALAN,60,HM,EU57,"Divaca Kras, Slovenia",Soil
27e9,PLALAN,60,HM,EU60,"Divaca Kras, Slovenia",Soil
27f1,PLALAN,60,HM,EU03,"Bois de Boulogne, Paris, France",Soil
27f10,PLALAN,60,HM,EU73,"Le Tretien, Switzerland",Soil
27f11,PLALAN,60,HM,EU78,"Grenoble, France",Soil
27f2,PLALAN,60,HM,EU09,"Vlieland, The Netherlands",Soil
27f3,PLALAN,60,HM,EU17,"Leer, Germany",Soil
27f4,PLALAN,60,HM,EU22,"Copenhagen, Denmark",Soil
27f5,PLALAN,60,HM,EU29,"Zell Am See, Austria",Soil
27f6,PLALAN,60,HM,EU40,"Just below Enzianhutte, above Zell Am See, Austria",Soil
27f7,PLALAN,60,HM,EU49,"Podhom, Slovenia",Soil
27f8,PLALAN,60,HM,EU60,"Divaca Kras, Slovenia",Soil
27f9,PLALAN,60,HM,EU61,"Schaan, Liechtenstein",Soil
28a10,PLALAN,60,HH,EU61,"Schaan, Liechtenstein",Soil
28a11,PLALAN,60,HH,EU74,"Le Tretien, Switzerland",Soil
28a12,PLALAN,60,HH,EU79,"Grenoble, France",Soil
28a2,PLALAN,60,HH,EU04,"Bois de Boulogne, Paris, France",Soil
28a3,PLALAN,60,HH,EU11,"Vlieland, The Netherlands",Soil
28a4,PLALAN,60,HH,EU18,"Copenhagen, Denmark",Soil
28a5,PLALAN,60,HH,EU22,"Copenhagen, Denmark",Soil
28a6,PLALAN,60,HH,EU34,"Zell Am See, Austria",Soil
28a7,PLALAN,60,HH,EU41,"Just below Enzianhutte, above Zell Am See, Austria",Soil
28a8,PLALAN,60,HH,EU49,"Podhom, Slovenia",Soil
28a9,PLALAN,60,HH,EU60,"Divaca Kras, Slovenia",Soil
28b10,PLALAN,60,HH,EU62,"Schaan, Liechtenstein",Soil
28b11,PLALAN,60,HH,EU74,"Le Tretien, Switzerland",Soil
28b12,PLALAN,60,HH,EU80,"Grenoble, France",Soil
28b2,PLALAN,60,HH,EU05,"Bois de Boulogne, Paris, France",Soil
28b3,PLALAN,60,HH,EU13,"Leer, Germany",Soil
28b4,PLALAN,60,HH,EU19,"Copenhagen, Denmark",Soil
28b5,PLALAN,60,HH,EU22,"Copenhagen, Denmark",Soil
28b6,PLALAN,60,HH,EU35,"Zell Am See, Austria",Soil
28b7,PLALAN,60,HH,EU42,"Just below Enzianhutte, above Zell Am See, Austria",Soil
28b8,PLALAN,60,HH,EU52,"Divaca Kras, Slovenia",Soil
28b9,PLALAN,60,HH,EU60,"Divaca Kras, Slovenia",Soil
28c10,PLALAN,60,HH,EU63,"Schaan, Liechtenstein",Soil
28c11,PLALAN,60,HH,EU75,"Le Tretien, Switzerland",Soil
28c2,PLALAN,60,HH,EU06,"Vlieland, The Netherlands",Soil
28c3,PLALAN,60,HH,EU14,"Leer, Germany",Soil
28c4,PLALAN,60,HH,EU20,"Copenhagen, Denmark",Soil
28c5,PLALAN,60,HH,EU22,"Copenhagen, Denmark",Soil
28c6,PLALAN,60,HH,EU37,"Zell Am See, Austria",Soil
28c7,PLALAN,60,HH,EU44,"Podhom, Slovenia",Soil
28c8,PLALAN,60,HH,EU53,"Divaca Kras, Slovenia",Soil
28c9,PLALAN,60,HH,EU60,"Divaca Kras, Slovenia",Soil
28d1,PLALAN,60,HH,EU01,"Bois de Boulogne, Paris, France",Soil
28d10,PLALAN,60,HH,EU64,"Schaan, Liechtenstein",Soil
28d11,PLALAN,60,HH,EU76,"Grenoble, France",Soil
28d2,PLALAN,60,HH,EU07,"Vlieland, The Netherlands",Soil
28d3,PLALAN,60,HH,EU15,"Leer, Germany",Soil
28d4,PLALAN,60,HH,EU21,"Copenhagen, Denmark",Soil
28d5,PLALAN,60,HH,EU22,"Copenhagen, Denmark",Soil
28d6,PLALAN,60,HH,EU38,"Just below Enzianhutte, above Zell Am See, Austria",Soil
28d7,PLALAN,60,HH,EU45,"Podhom, Slovenia",Soil
28d8,PLALAN,60,HH,EU54,"Divaca Kras, Slovenia",Soil
28d9,PLALAN,60,HH,EU60,"Divaca Kras, Slovenia",Soil
28e1,PLALAN,60,HH,EU02,"Bois de Boulogne, Paris, France",Soil
28e10,PLALAN,60,HH,EU70,"Le Tretien, Switzerland",Soil
28e11,PLALAN,60,HH,EU77,"Grenoble, France",Soil
28e2,PLALAN,60,HH,EU08,"Vlieland, The Netherlands",Soil
28e3,PLALAN,60,HH,EU15,"Leer, Germany",Soil
28e4,PLALAN,60,HH,EU22,"Copenhagen, Denmark",Soil
28e5,PLALAN,60,HH,EU28,"Zell Am See, Austria",Soil
28e6,PLALAN,60,HH,EU39,"Just below Enzianhutte, above Zell Am See, Austria",Soil
28e7,PLALAN,60,HH,EU46,"Podhom, Slovenia",Soil
28e8,PLALAN,60,HH,EU57,"Divaca Kras, Slovenia",Soil
28e9,PLALAN,60,HH,EU60,"Divaca Kras, Slovenia",Soil
28f1,PLALAN,60,HH,EU03,"Bois de Boulogne, Paris, France",Soil
28f10,PLALAN,60,HH,EU73,"Le Tretien, Switzerland",Soil
28f11,PLALAN,60,HH,EU78,"Grenoble, France",Soil
28f2,PLALAN,60,HH,EU09,"Vlieland, The Netherlands",Soil
28f3,PLALAN,60,HH,EU17,"Leer, Germany",Soil
28f4,PLALAN,60,HH,EU22,"Copenhagen, Denmark",Soil
28f5,PLALAN,60,HH,EU29,"Zell Am See, Austria",Soil
28f6,PLALAN,60,HH,EU40,"Just below Enzianhutte, above Zell Am See, Austria",Soil
28f7,PLALAN,60,HH,EU49,"Podhom, Slovenia",Soil
28f8,PLALAN,60,HH,EU60,"Divaca Kras, Slovenia",Soil
28f9,PLALAN,60,HH,EU61,"Schaan, Liechtenstein",Soil
29a10,RUMCRI,60,LL,EU03,"Grenoble, France",Soil
29a11,RUMCRI,60,LL,EU05,"Grenoble, France",Soil
29a12,TAROFF,60,LL,EU01,"Grenoble, France",Soil
29a2,PLAMAJ,60,LL,US25,Walden,Soil
29a3,PLAMAJ,60,LL,US205,Arnold Arboretum ,Soil
29a4,PLAMAJ,60,LL,EU01,"Schaan, Liechtenstein",Soil
29a5,PLAMED,60,LL,EU05,"Le Tretien, Switzerland",Soil
29a6,CAPBUR,30,LL,US02,Harvard Forest,Soil
29a7,CAPBUR,30,LL,US01,Harvard Forest,Soil
29a8,DACGLO,60,LL,EU40,"Tacconaz, France",Soil
29a9,CHEMAJ,60,LL,EU29,"Grenoble, France",Soil
29b10,RUMCRI,60,LL,EU03,"Grenoble, France",Soil
29b11,RUMCRI,60,LL,EU05,"Grenoble, France",Soil
29b12,TAROFF,60,LL,EU01,"Grenoble, France",Soil
29b2,PLAMAJ,60,LL,US25,Walden,Soil
29b3,PLAMAJ,60,LL,US205,Arnold Arboretum ,Soil
29b4,PLAMAJ,60,LL,EU08,"Grenoble, France",Soil
29b5,PLAMED,60,LL,EU05,"Le Tretien, Switzerland",Soil
29b6,CAPBUR,30,LL,US02,Harvard Forest,Soil
29b7,CAPBUR,30,LL,US01,Harvard Forest,Soil
29b8,CHEMAJ,60,LL,EU08,"Bois de Boulogne, Paris, France",Soil
29b9,CHEMAJ,60,LL,EU29,"Grenoble, France",Soil
29c10,RUMCRI,60,LL,EU03,"Grenoble, France",Soil
29c11,RUMCRI,60,LL,EU05,"Grenoble, France",Soil
29c2,PLAMAJ,60,LL,US25,Walden,Soil
29c3,PLAMAJ,60,LL,EU01,"Schaan, Liechtenstein",Soil
29c4,PLAMAJ,60,LL,EU08,"Grenoble, France",Soil
29c5,PLAMED,60,LL,EU05,"Le Tretien, Switzerland",Soil
29c6,CAPBUR,30,LL,US02,Harvard Forest,Soil
29c7,CAPBUR,30,LL,US01,Harvard Forest,Soil
29c8,CHEMAJ,60,LL,EU08,"Bois de Boulogne, Paris, France",Soil
29c9,CHEMAJ,60,LL,EU29,"Grenoble, France",Soil
29d10,RUMCRI,60,LL,EU03,"Grenoble, France",Soil
29d11,TAROFF,60,LL,EU01,"Grenoble, France",Soil
29d2,PLAMAJ,60,LL,US205,Arnold Arboretum ,Soil
29d3,PLAMAJ,60,LL,EU01,"Schaan, Liechtenstein",Soil
29d4,PLAMAJ,60,LL,EU08,"Grenoble, France",Soil
29d5,PLAMED,60,LL,EU05,"Le Tretien, Switzerland",Soil
29d6,CAPBUR,30,LL,US02,Harvard Forest,Soil
29d7,DACGLO,60,LL,EU40,"Tacconaz, France",Soil
29d8,CHEMAJ,60,LL,EU08,"Bois de Boulogne, Paris, France",Soil
29d9,CHEMAJ,60,LL,EU29,"Grenoble, France",Soil
29e1,PLAMAJ,60,LL,US25,Walden,Soil
29e10,RUMCRI,60,LL,EU05,"Grenoble, France",Soil
29e11,TAROFF,60,LL,EU01,"Grenoble, France",Soil
29e2,PLAMAJ,60,LL,US205,Arnold Arboretum ,Soil
29e3,PLAMAJ,60,LL,EU01,"Schaan, Liechtenstein",Soil
29e4,PLAMAJ,60,LL,EU08,"Grenoble, France",Soil
29e5,PLAMED,60,LL,EU05,"Le Tretien, Switzerland",Soil
29e6,CAPBUR,30,LL,US01,Harvard Forest,Soil
29e7,DACGLO,60,LL,EU40,"Tacconaz, France",Soil
29e8,CHEMAJ,60,LL,EU08,"Bois de Boulogne, Paris, France",Soil
29e9,CHEMAJ,60,LL,EU29,"Grenoble, France",Soil
29f1,PLAMAJ,60,LL,US25,Walden,Soil
29f10,RUMCRI,60,LL,EU05,"Grenoble, France",Soil
29f11,TAROFF,60,LL,EU01,"Grenoble, France",Soil
29f2,PLAMAJ,60,LL,US205,Arnold Arboretum ,Soil
29f3,PLAMAJ,60,LL,EU01,"Schaan, Liechtenstein",Soil
29f4,PLAMAJ,60,LL,EU08,"Grenoble, France",Soil
29f5,CAPBUR,30,LL,US02,Harvard Forest,Soil
29f6,CAPBUR,30,LL,US01,Harvard Forest,Soil
29f7,DACGLO,60,LL,EU40,"Tacconaz, France",Soil
29f8,CHEMAJ,60,LL,EU08,"Bois de Boulogne, Paris, France",Soil
29f9,RUMCRI,60,LL,EU03,"Grenoble, France",Soil
2a5,PLALAN,60,LM,US05,Walden,Soil
2a6,PLALAN,60,LM,US25,Arnold Arboretum ,Soil
2a7,PLALAN,60,LM,US27,Arnold Arboretum ,Soil
2b5,PLALAN,60,LM,US20,Arnold Arboretum ,Soil
2b6,PLALAN,60,LM,US25,Arnold Arboretum ,Soil
2b7,PLALAN,60,LM,US27,Arnold Arboretum ,Soil
2c4,PLALAN,60,LM,US01,Walden,Soil
2c5,PLALAN,60,LM,US21,Arnold Arboretum ,Soil
2c6,PLALAN,60,LM,US25,Arnold Arboretum ,Soil
2c7,PLALAN,60,LM,US27,Arnold Arboretum ,Soil
2d4,PLALAN,60,LM,US02,Walden,Soil
2d5,PLALAN,60,LM,US24,Arnold Arboretum ,Soil
2d6,PLALAN,60,LM,US25,Arnold Arboretum ,Soil
2d7,PLALAN,60,LM,US27,Arnold Arboretum ,Soil
2e4,PLALAN,60,LM,US03,Walden,Soil
2e5,PLALAN,60,LM,US25,Arnold Arboretum ,Soil
2e6,PLALAN,60,LM,US27,Arnold Arboretum ,Soil
2f4,PLALAN,60,LM,US03,Walden,Soil
2f5,PLALAN,60,LM,US25,Arnold Arboretum ,Soil
2f6,PLALAN,60,LM,US27,Arnold Arboretum ,Soil
30a10,RUMCRI,60,LM,EU03,"Grenoble, France",Soil
30a11,RUMCRI,60,LM,EU05,"Grenoble, France",Soil
30a12,TAROFF,60,LM,EU01,"Grenoble, France",Soil
30a2,PLAMAJ,60,LM,US25,Walden,Soil
30a3,PLAMAJ,60,LM,US205,Arnold Arboretum ,Soil
30a4,PLAMAJ,60,LM,EU01,"Schaan, Liechtenstein",Soil
30a5,PLAMED,60,LM,EU05,"Le Tretien, Switzerland",Soil
30a6,CAPBUR,30,LM,US02,Harvard Forest,Soil
30a7,CAPBUR,30,LM,US01,Harvard Forest,Soil
30a8,DACGLO,60,LM,EU40,"Tacconaz, France",Soil
30a9,CHEMAJ,60,LM,EU29,"Grenoble, France",Soil
30b10,RUMCRI,60,LM,EU03,"Grenoble, France",Soil
30b11,RUMCRI,60,LM,EU05,"Grenoble, France",Soil
30b12,TAROFF,60,LM,EU01,"Grenoble, France",Soil
30b2,PLAMAJ,60,LM,US25,Walden,Soil
30b3,PLAMAJ,60,LM,US205,Arnold Arboretum ,Soil
30b4,PLAMAJ,60,LM,EU08,"Grenoble, France",Soil
30b5,PLAMED,60,LM,EU05,"Le Tretien, Switzerland",Soil
30b6,CAPBUR,30,LM,US02,Harvard Forest,Soil
30b7,CAPBUR,30,LM,US01,Harvard Forest,Soil
30b8,CHEMAJ,60,LM,EU08,"Bois de Boulogne, Paris, France",Soil
30b9,CHEMAJ,60,LM,EU29,"Grenoble, France",Soil
30c10,RUMCRI,60,LM,EU03,"Grenoble, France",Soil
30c11,RUMCRI,60,LM,EU05,"Grenoble, France",Soil
30c2,PLAMAJ,60,LM,US25,Walden,Soil
30c3,PLAMAJ,60,LM,EU01,"Schaan, Liechtenstein",Soil
30c4,PLAMAJ,60,LM,EU08,"Grenoble, France",Soil
30c5,PLAMED,60,LM,EU05,"Le Tretien, Switzerland",Soil
30c6,CAPBUR,30,LM,US02,Harvard Forest,Soil
30c7,CAPBUR,30,LM,US01,Harvard Forest,Soil
30c8,CHEMAJ,60,LM,EU08,"Bois de Boulogne, Paris, France",Soil
30c9,CHEMAJ,60,LM,EU29,"Grenoble, France",Soil
30d10,RUMCRI,60,LM,EU03,"Grenoble, France",Soil
30d11,TAROFF,60,LM,EU01,"Grenoble, France",Soil
30d2,PLAMAJ,60,LM,US205,Arnold Arboretum ,Soil
30d3,PLAMAJ,60,LM,EU01,"Schaan, Liechtenstein",Soil
30d4,PLAMAJ,60,LM,EU08,"Grenoble, France",Soil
30d5,PLAMED,60,LM,EU05,"Le Tretien, Switzerland",Soil
30d6,CAPBUR,30,LM,US02,Harvard Forest,Soil
30d7,DACGLO,60,LM,EU40,"Tacconaz, France",Soil
30d8,CHEMAJ,60,LM,EU08,"Bois de Boulogne, Paris, France",Soil
30d9,CHEMAJ,60,LM,EU29,"Grenoble, France",Soil
30e1,PLAMAJ,60,LM,US25,Walden,Soil
30e10,RUMCRI,60,LM,EU05,"Grenoble, France",Soil
30e11,TAROFF,60,LM,EU01,"Grenoble, France",Soil
30e2,PLAMAJ,60,LM,US205,Arnold Arboretum ,Soil
30e3,PLAMAJ,60,LM,EU01,"Schaan, Liechtenstein",Soil
30e4,PLAMAJ,60,LM,EU08,"Grenoble, France",Soil
30e5,PLAMED,60,LM,EU05,"Le Tretien, Switzerland",Soil
30e6,CAPBUR,30,LM,US01,Harvard Forest,Soil
30e7,DACGLO,60,LM,EU40,"Tacconaz, France",Soil
30e8,CHEMAJ,60,LM,EU08,"Bois de Boulogne, Paris, France",Soil
30e9,CHEMAJ,60,LM,EU29,"Grenoble, France",Soil
30f1,PLAMAJ,60,LM,US25,Walden,Soil
30f10,RUMCRI,60,LM,EU05,"Grenoble, France",Soil
30f11,TAROFF,60,LM,EU01,"Grenoble, France",Soil
30f2,PLAMAJ,60,LM,US205,Arnold Arboretum ,Soil
30f3,PLAMAJ,60,LM,EU01,"Schaan, Liechtenstein",Soil
30f4,PLAMAJ,60,LM,EU08,"Grenoble, France",Soil
30f5,CAPBUR,30,LM,US02,Harvard Forest,Soil
30f6,CAPBUR,30,LM,US01,Harvard Forest,Soil
30f7,DACGLO,60,LM,EU40,"Tacconaz, France",Soil
30f8,CHEMAJ,60,LM,EU08,"Bois de Boulogne, Paris, France",Soil
30f9,RUMCRI,60,LM,EU03,"Grenoble, France",Soil
31a10,RUMCRI,60,HM,EU03,"Grenoble, France",Soil
31a11,RUMCRI,60,HM,EU05,"Grenoble, France",Soil
31a12,TAROFF,60,HM,EU01,"Grenoble, France",Soil
31a2,PLAMAJ,60,HM,US25,Walden,Soil
31a3,PLAMAJ,60,HM,US205,Arnold Arboretum ,Soil
31a4,PLAMAJ,60,HM,EU01,"Schaan, Liechtenstein",Soil
31a5,PLAMED,60,HM,EU05,"Le Tretien, Switzerland",Soil
31a6,CAPBUR,30,HM,US02,Harvard Forest,Soil
31a7,CAPBUR,30,HM,US01,Harvard Forest,Soil
31a8,DACGLO,60,HM,EU40,"Tacconaz, France",Soil
31a9,CHEMAJ,60,HM,EU29,"Grenoble, France",Soil
31b10,RUMCRI,60,HM,EU03,"Grenoble, France",Soil
31b11,RUMCRI,60,HM,EU05,"Grenoble, France",Soil
31b12,TAROFF,60,HM,EU01,"Grenoble, France",Soil
31b2,PLAMAJ,60,HM,US25,Walden,Soil
31b3,PLAMAJ,60,HM,US205,Arnold Arboretum ,Soil
31b4,PLAMAJ,60,HM,EU08,"Grenoble, France",Soil
31b5,PLAMED,60,HM,EU05,"Le Tretien, Switzerland",Soil
31b6,CAPBUR,30,HM,US02,Harvard Forest,Soil
31b7,CAPBUR,30,HM,US01,Harvard Forest,Soil
31b8,CHEMAJ,60,HM,EU08,"Bois de Boulogne, Paris, France",Soil
31b9,CHEMAJ,60,HM,EU29,"Grenoble, France",Soil
31c10,RUMCRI,60,HM,EU03,"Grenoble, France",Soil
31c11,RUMCRI,60,HM,EU05,"Grenoble, France",Soil
31c2,PLAMAJ,60,HM,US25,Walden,Soil
31c3,PLAMAJ,60,HM,EU01,"Schaan, Liechtenstein",Soil
31c4,PLAMAJ,60,HM,EU08,"Grenoble, France",Soil
31c5,PLAMED,60,HM,EU05,"Le Tretien, Switzerland",Soil
31c6,CAPBUR,30,HM,US02,Harvard Forest,Soil
31c7,CAPBUR,30,HM,US01,Harvard Forest,Soil
31c8,CHEMAJ,60,HM,EU08,"Bois de Boulogne, Paris, France",Soil
31c9,CHEMAJ,60,HM,EU29,"Grenoble, France",Soil
31d10,RUMCRI,60,HM,EU03,"Grenoble, France",Soil
31d11,TAROFF,60,HM,EU01,"Grenoble, France",Soil
31d2,PLAMAJ,60,HM,US205,Arnold Arboretum ,Soil
31d3,PLAMAJ,60,HM,EU01,"Schaan, Liechtenstein",Soil
31d4,PLAMAJ,60,HM,EU08,"Grenoble, France",Soil
31d5,PLAMED,60,HM,EU05,"Le Tretien, Switzerland",Soil
31d6,CAPBUR,30,HM,US02,Harvard Forest,Soil
31d7,DACGLO,60,HM,EU40,"Tacconaz, France",Soil
