Tray location,Substrate,Date of measurement,Height (cm)
15e4,soil,12/15/2015,3.5
15e5,soil,12/15/2015,1.5
15e6,soil,12/15/2015,3.5
15e7,soil,12/15/2015,3.5
15e8,soil,12/15/2015,3.0
15e9,soil,12/15/2015,11.0
15f1,soil,12/15/2015,4.5
15f2,soil,12/15/2015,NA
15f3,soil,12/15/2015,1.0
15f4,soil,12/15/2015,1.5
15f5,soil,12/15/2015,1.5
15f6,soil,12/15/2015,3.0
15f7,soil,12/15/2015,4.0
15f8,soil,12/15/2015,3.0
15f9,soil,12/15/2015,15.0
16a1,soil,12/15/2015,NA
16a10,soil,12/15/2015,8.0
16a11,soil,12/15/2015,8.0
16a12,soil,12/15/2015,2.0
16a2,soil,12/15/2015,4.5
16a3,soil,12/15/2015,4.5
16a4,soil,12/15/2015,8.0
16a5,soil,12/15/2015,NA
16a6,soil,12/15/2015,0.5
16a7,soil,12/15/2015,2.5
16a8,soil,12/15/2015,4.0
16a9,soil,12/15/2015,3.0
16b1,soil,12/15/2015,4.5
16b10,soil,12/15/2015,14.0
16b11,soil,12/15/2015,11.0
16b12,soil,12/15/2015,2.0
16b2,soil,12/15/2015,5.0
16b3,soil,12/15/2015,NA
16b4,soil,12/15/2015,8.0
16b5,soil,12/15/2015,NA
16b6,soil,12/15/2015,NA
16b7,soil,12/15/2015,3.5
16b8,soil,12/15/2015,NA
16b9,soil,12/15/2015,3.0
16c1,soil,12/15/2015,NA
16c10,soil,12/15/2015,14.0
16c11,soil,12/15/2015,8.0
16c12,soil,12/15/2015,2.0
16c2,soil,12/15/2015,6.5
16c3,soil,12/15/2015,NA
16c4,soil,12/15/2015,7.0
16c5,soil,12/15/2015,0.5
16c6,soil,12/15/2015,1.5
16c7,soil,12/15/2015,3.5
16c8,soil,12/15/2015,3.0
16c9,soil,12/15/2015,2.0
16d1,soil,12/15/2015,0.5
16d10,soil,12/15/2015,11.5
16d12,soil,12/15/2015,3.0
16d2,soil,12/15/2015,4.0
16d3,soil,12/15/2015,6.0
16d4,soil,12/15/2015,6.0
16d5,soil,12/15/2015,2.5
16d6,soil,12/15/2015,3.0
16d7,soil,12/15/2015,NA
16d8,soil,12/15/2015,2.5
16d9,soil,12/15/2015,3.0
16e1,soil,12/15/2015,NA
16e10,soil,12/15/2015,4.0
16e12,soil,12/15/2015,2.0
16e2,soil,12/15/2015,3.5
16e3,soil,12/15/2015,4.0
16e4,soil,12/15/2015,6.0
16e5,soil,12/15/2015,0.5
16e6,soil,12/15/2015,3.5
16e7,soil,12/15/2015,2.0
16e8,soil,12/15/2015,2.0
16e9.1,soil,12/15/2015,3.0
16e9.2,soil,12/15/2015,11.0
16f1,soil,12/15/2015,NA
16f2,soil,12/15/2015,NA
16f3,soil,12/15/2015,4.5
16f4,soil,12/15/2015,2.0
16f5,soil,12/15/2015,0.5
16f6,soil,12/15/2015,3.0
16f7,soil,12/15/2015,2.5
16f8,soil,12/15/2015,3.0
16f9,soil,12/15/2015,14.5
17a10,soil,12/15/2015,0.5
17a11,soil,12/15/2015,1.0
17a12,soil,12/15/2015,3.0
17a5,soil,12/15/2015,NA
17a6,soil,12/15/2015,NA
17a7,soil,12/15/2015,NA
17a8,soil,12/15/2015,NA
17a9,soil,12/15/2015,1.5
17b10,soil,12/15/2015,1.0
17b11,soil,12/15/2015,1.0
17b12,soil,12/15/2015,7.0
17b5,soil,12/15/2015,NA
17b6,soil,12/15/2015,NA
17b7,soil,12/15/2015,NA
17b8,soil,12/15/2015,1.5
17b9,soil,12/15/2015,2.0
17c10,soil,12/15/2015,1.5
17c11,soil,12/15/2015,0.5
17c5,soil,12/15/2015,NA
17c6,soil,12/15/2015,NA
17c7,soil,12/15/2015,NA
17c8,soil,12/15/2015,NA
17c9,soil,12/15/2015,2.0
17d10,soil,12/15/2015,1.5
17d11,soil,12/15/2015,NA
17d5,soil,12/15/2015,NA
17d6,soil,12/15/2015,NA
17d7,soil,12/15/2015,NA
17d8,soil,12/15/2015,2.0
17d9,soil,12/15/2015,2.0
17e10,soil,12/15/2015,1.0
17e11,soil,12/15/2015,NA
17e5,soil,12/15/2015,NA
17e6,soil,12/15/2015,NA
17e7,soil,12/15/2015,NA
17e8,soil,12/15/2015,2.5
17e9,soil,12/15/2015,2.0
17f10,soil,12/15/2015,1.0
17f11,soil,12/15/2015,6.0
17f5,soil,12/15/2015,NA
17f6,soil,12/15/2015,NA
17f7,soil,12/15/2015,NA
17f8,soil,12/15/2015,0.5
17f9,soil,12/15/2015,1.0
18a10,soil,12/15/2015,0.5
18a11,soil,12/15/2015,NA
18a12,soil,12/15/2015,14.0
18a5,soil,12/15/2015,NA
18a6,soil,12/15/2015,NA
18a7,soil,12/15/2015,0.5
18a8,soil,12/15/2015,NA
18a9,soil,12/15/2015,NA
18b10,soil,12/15/2015,2.5
18b11,soil,12/15/2015,1.5
18b12,soil,12/15/2015,11.5
18b5,soil,12/15/2015,2.0
18b6,soil,12/15/2015,0.5
18b7,soil,12/15/2015,0.5
18b8,soil,12/15/2015,2.0
18b9,soil,12/15/2015,NA
18c10,soil,12/15/2015,1.5
18c11,soil,12/15/2015,2.0
18c5,soil,12/15/2015,NA
18c6,soil,12/15/2015,NA
18c7,soil,12/15/2015,1.0
18c8,soil,12/15/2015,0.5
18c9,soil,12/15/2015,2.5
18d10,soil,12/15/2015,2.0
18d11,soil,12/15/2015,12.5
18d5,soil,12/15/2015,NA
18d6,soil,12/15/2015,NA
18d7,soil,12/15/2015,1.5
18d8,soil,12/15/2015,3.0
18d9,soil,12/15/2015,2.5
18e10,soil,12/15/2015,NA
18e11,soil,12/15/2015,10.5
18e5,soil,12/15/2015,NA
18e6,soil,12/15/2015,1.0
18e7,soil,12/15/2015,NA
18e8,soil,12/15/2015,4.0
18e9,soil,12/15/2015,NA
18f10,soil,12/15/2015,2.0
18f11,soil,12/15/2015,8.0
18f5,soil,12/15/2015,NA
18f6,soil,12/15/2015,1.0
18f7,soil,12/15/2015,1.0
18f8,soil,12/15/2015,3.5
18f9,soil,12/15/2015,2.0
19a10,soil,12/15/2015,1.5
19a11,soil,12/15/2015,2.5
19a12,soil,12/15/2015,11.0
19a5,soil,12/15/2015,2.0
19a6,soil,12/15/2015,NA
19a7,soil,12/15/2015,1.0
19a8,soil,12/15/2015,1.5
19a9,soil,12/15/2015,2.5
19b10,soil,12/15/2015,2.5
19b11,soil,12/15/2015,2.5
19b12,soil,12/15/2015,4.0
19b5,soil,12/15/2015,NA
19b6,soil,12/15/2015,1.0
19b7,soil,12/15/2015,1.5
19b8,soil,12/15/2015,3.0
19b9,soil,12/15/2015,3.0
19c10,soil,12/15/2015,1.5
19c11,soil,12/15/2015,NA
19c5,soil,12/15/2015,NA
19c6,soil,12/15/2015,NA
19c7,soil,12/15/2015,1.5
19c8,soil,12/15/2015,4.0
19c9,soil,12/15/2015,4.0
19d10,soil,12/15/2015,3.0
19d11,soil,12/15/2015,13.0
19d5,soil,12/15/2015,NA
19d6,soil,12/15/2015,NA
19d7,soil,12/15/2015,1.5
19d8,soil,12/15/2015,3.5
19d9,soil,12/15/2015,3.5
19e10,soil,12/15/2015,3.0
19e11,soil,12/15/2015,15.0
19e5,soil,12/15/2015,NA
19e6,soil,12/15/2015,1.0
19e7,soil,12/15/2015,1.5
19e8,soil,12/15/2015,4.0
19e9,soil,12/15/2015,4.0
19f10,soil,12/15/2015,1.0
19f11,soil,12/15/2015,10.0
19f5,soil,12/15/2015,NA
19f6,soil,12/15/2015,NA
19f7,soil,12/15/2015,1.5
19f8,soil,12/15/2015,3.0
19f9,soil,12/15/2015,3.5
1a5,soil,12/15/2015,NA
1a6,soil,12/15/2015,3.5
1a7,soil,12/15/2015,NA
1b5,soil,12/15/2015,NA
1b6,soil,12/15/2015,5.0
1b7,soil,12/15/2015,NA
1c4,soil,12/15/2015,2.5
1c5,soil,12/15/2015,2.0
1c6,soil,12/15/2015,3.5
1c7,soil,12/15/2015,2.5
1d4,soil,12/15/2015,2.5
1d5,soil,12/15/2015,NA
1d6,soil,12/15/2015,5.0
1d7,soil,12/15/2015,0.0
1e4,soil,12/15/2015,1.5
1e5,soil,12/15/2015,4.0
1e6,soil,12/15/2015,4.0
1f4,soil,12/15/2015,0.5
1f5,soil,12/15/2015,NA
1f6,soil,12/15/2015,3.0
20a10,soil,12/15/2015,2.0
20a11,soil,12/15/2015,NA
20a12,soil,12/15/2015,8.0
20a5,soil,12/15/2015,NA
20a6,soil,12/15/2015,NA
20a7,soil,12/15/2015,NA
20a8,soil,12/15/2015,1.5
20a9,soil,12/15/2015,3.0
20b10,soil,12/15/2015,3.0
20b11,soil,12/15/2015,2.0
20b12,soil,12/15/2015,9.5
20b5,soil,12/15/2015,NA
20b6,soil,12/15/2015,NA
20b7,soil,12/15/2015,0.5
20b8,soil,12/15/2015,2.0
20b9,soil,12/15/2015,3.5
20c10,soil,12/15/2015,3.0
20c11,soil,12/15/2015,3.0
20c5,soil,12/15/2015,NA
20c6,soil,12/15/2015,NA
20c7,soil,12/15/2015,NA
20c8,soil,12/15/2015,NA
20c9,soil,12/15/2015,4.0
20d10,soil,12/15/2015,2.5
20d11,soil,12/15/2015,9.0
20d5,soil,12/15/2015,NA
20d6,soil,12/15/2015,NA
20d7,soil,12/15/2015,NA
20d8,soil,12/15/2015,NA
20d9,soil,12/15/2015,2.0
20e10,soil,12/15/2015,3.0
20e11,soil,12/15/2015,8.5
20e5,soil,12/15/2015,2.0
20e6,soil,12/15/2015,NA
20e7,soil,12/15/2015,1.5
20e8,soil,12/15/2015,3.0
20e9,soil,12/15/2015,3.5
20f10,soil,12/15/2015,1.0
20f11,soil,12/15/2015,11.5
20f5,soil,12/15/2015,NA
20f6,soil,12/15/2015,NA
20f7,soil,12/15/2015,NA
20f8,soil,12/15/2015,NA
20f9,soil,12/15/2015,2.0
21a10,soil,12/15/2015,6.5
21a2,soil,12/15/2015,NA
21a3,soil,12/15/2015,2.0
21a4,soil,12/15/2015,NA
21a5,soil,12/15/2015,0.0
21a6,soil,12/15/2015,NA
21a7,soil,12/15/2015,1.0
21a8,soil,12/15/2015,NA
21a9,soil,12/15/2015,1.0
21b10,soil,12/15/2015,5.0
21b2,soil,12/15/2015,2.0
21b3,soil,12/15/2015,NA
21b4,soil,12/15/2015,1.0
21b5,soil,12/15/2015,NA
21b6,soil,12/15/2015,NA
21b7,soil,12/15/2015,NA
21b8,soil,12/15/2015,NA
21b9,soil,12/15/2015,0.5
21c10,soil,12/15/2015,NA
21c2,soil,12/15/2015,1.0
21c3,soil,12/15/2015,NA
21c4,soil,12/15/2015,1.0
21c5,soil,12/15/2015,NA
21c6,soil,12/15/2015,NA
21c7,soil,12/15/2015,NA
21c8,soil,12/15/2015,1.0
21c9,soil,12/15/2015,0.5
21d1,soil,12/15/2015,NA
21d10,soil,12/15/2015,NA
21d2,soil,12/15/2015,NA
21d3,soil,12/15/2015,NA
21d4,soil,12/15/2015,1.0
21d5,soil,12/15/2015,NA
21d6,soil,12/15/2015,NA
21d7,soil,12/15/2015,NA
21d8,soil,12/15/2015,1.0
21d9,soil,12/15/2015,0.5
21e1,soil,12/15/2015,0.5
21e10,soil,12/15/2015,6.0
21e2,soil,12/15/2015,2.0
21e3,soil,12/15/2015,2.0
21e4,soil,12/15/2015,1.0
21e5,soil,12/15/2015,NA
21e6,soil,12/15/2015,0.0
21e7,soil,12/15/2015,NA
21e8,soil,12/15/2015,1.0
21e9,soil,12/15/2015,NA
21f1,soil,12/15/2015,1.5
21f2,soil,12/15/2015,NA
21f3,soil,12/15/2015,NA
21f4,soil,12/15/2015,1.0
21f5,soil,12/15/2015,NA
21f6,soil,12/15/2015,2.0
21f7,soil,12/15/2015,NA
21f8,soil,12/15/2015,1.0
21f9,soil,12/15/2015,0.5
22a10,soil,12/15/2015,11.5
22a2,soil,12/15/2015,NA
22a3,soil,12/15/2015,3.0
22a4,soil,12/15/2015,2.5
22a5,soil,12/15/2015,NA
22a6,soil,12/15/2015,NA
22a7,soil,12/15/2015,3.0
22a8,soil,12/15/2015,NA
22a9,soil,12/15/2015,1.0
22b10,soil,12/15/2015,7.0
22b2,soil,12/15/2015,5.0
22b3,soil,12/15/2015,NA
22b4,soil,12/15/2015,1.5
22b5,soil,12/15/2015,NA
22b6,soil,12/15/2015,NA
22b7,soil,12/15/2015,1.0
22b8,soil,12/15/2015,NA
22b9,soil,12/15/2015,1.0
22c10,soil,12/15/2015,6.0
22c2,soil,12/15/2015,5.0
22c3,soil,12/15/2015,NA
22c4,soil,12/15/2015,1.5
22c5,soil,12/15/2015,NA
22c6,soil,12/15/2015,NA
22c7,soil,12/15/2015,NA
22c8,soil,12/15/2015,1.5
22c9,soil,12/15/2015,1.0
22d1,soil,12/15/2015,NA
22d10,soil,12/15/2015,7.5
22d2,soil,12/15/2015,6.0
22d3,soil,12/15/2015,1.0
22d4,soil,12/15/2015,1.5
22d5,soil,12/15/2015,NA
22d6,soil,12/15/2015,NA
22d7,soil,12/15/2015,NA
22d8,soil,12/15/2015,1.5
22d9,soil,12/15/2015,1.0
22e1,soil,12/15/2015,2.0
22e10,soil,12/15/2015,8.0
22e2,soil,12/15/2015,4.5
22e3,soil,12/15/2015,NA
22e4,soil,12/15/2015,1.5
22e5,soil,12/15/2015,NA
22e6,soil,12/15/2015,NA
22e7,soil,12/15/2015,NA
22e8,soil,12/15/2015,2.0
22e9,soil,12/15/2015,1.0
22f1,soil,12/15/2015,3.0
22f2,soil,12/15/2015,2.5
22f3,soil,12/15/2015,NA
22f4,soil,12/15/2015,1.5
22f5,soil,12/15/2015,NA
22f6,soil,12/15/2015,0.5
22f7,soil,12/15/2015,2.0
22f8,soil,12/15/2015,1.5
22f9,soil,12/15/2015,1.0
23a10,soil,12/15/2015,NA
23a2,soil,12/15/2015,NA
23a3,soil,12/15/2015,NA
23a4,soil,12/15/2015,NA
23a5,soil,12/15/2015,NA
23a6,soil,12/15/2015,NA
23a7,soil,12/15/2015,1.5
23a8,soil,12/15/2015,NA
23a9,soil,12/15/2015,NA
23b10,soil,12/15/2015,7.0
23b2,soil,12/15/2015,4.0
23b3,soil,12/15/2015,NA
23b4,soil,12/15/2015,1.5
23b5,soil,12/15/2015,NA
23b6,soil,12/15/2015,NA
23b7,soil,12/15/2015,2.0
23b8,soil,12/15/2015,3.0
23b9,soil,12/15/2015,NA
23c10,soil,12/15/2015,7.0
23c2,soil,12/15/2015,5.5
23c3,soil,12/15/2015,NA
23c4,soil,12/15/2015,1.5
23c5,soil,12/15/2015,NA
23c6,soil,12/15/2015,NA
23c7,soil,12/15/2015,5.0
23c8,soil,12/15/2015,1.5
23c9,soil,12/15/2015,NA
23d1,soil,12/15/2015,NA
23d10,soil,12/15/2015,10.5
23d2,soil,12/15/2015,5.0
23d3,soil,12/15/2015,NA
23d4,soil,12/15/2015,1.5
23d5,soil,12/15/2015,NA
23d6,soil,12/15/2015,NA
23d7,soil,12/15/2015,NA
23d8,soil,12/15/2015,1.0
23d9,soil,12/15/2015,1.5
23e1,soil,12/15/2015,1.0
23e10,soil,12/15/2015,NA
23e2,soil,12/15/2015,NA
23e3,soil,12/15/2015,2.5
23e4,soil,12/15/2015,1.5
23e5,soil,12/15/2015,NA
23e6,soil,12/15/2015,NA
23e7,soil,12/15/2015,NA
23e8,soil,12/15/2015,2.0
23e9,soil,12/15/2015,1.0
23f1,soil,12/15/2015,NA
23f2,soil,12/15/2015,3.0
23f3,soil,12/15/2015,3.5
23f4,soil,12/15/2015,1.5
23f5,soil,12/15/2015,NA
23f6,soil,12/15/2015,4.5
23f7,soil,12/15/2015,3.0
23f8,soil,12/15/2015,1.5
23f9,soil,12/15/2015,0.5
24a10,soil,12/15/2015,NA
24a2,soil,12/15/2015,NA
24a3,soil,12/15/2015,3.5
24a4,soil,12/15/2015,3.5
24a5,soil,12/15/2015,NA
24a6,soil,12/15/2015,NA
24a7,soil,12/15/2015,3.0
24a8,soil,12/15/2015,3.0
24a9,soil,12/15/2015,2.0
24b10,soil,12/15/2015,8.0
24b2,soil,12/15/2015,5.5
24b3,soil,12/15/2015,NA
24b4,soil,12/15/2015,2.5
24b5,soil,12/15/2015,NA
24b6,soil,12/15/2015,NA
24b7,soil,12/15/2015,3.0
24b8,soil,12/15/2015,NA
24b9,soil,12/15/2015,2.0
24c10,soil,12/15/2015,NA
24c2,soil,12/15/2015,5.5
24c3,soil,12/15/2015,NA
24c4,soil,12/15/2015,1.5
24c5,soil,12/15/2015,NA
24c6,soil,12/15/2015,NA
24c7,soil,12/15/2015,8.0
24c8,soil,12/15/2015,2.0
24c9,soil,12/15/2015,2.0
24d1,soil,12/15/2015,NA
24d10,soil,12/15/2015,9.0
24d2,soil,12/15/2015,NA
24d3,soil,12/15/2015,4.5
24d4,soil,12/15/2015,2.0
24d5,soil,12/15/2015,NA
24d6,soil,12/15/2015,NA
24d7,soil,12/15/2015,NA
24d8,soil,12/15/2015,NA
24d9,soil,12/15/2015,1.5
24e1,soil,12/15/2015,NA
24e10,soil,12/15/2015,7.5
24e2,soil,12/15/2015,4.0
24e3,soil,12/15/2015,NA
24e4,soil,12/15/2015,1.5
24e5,soil,12/15/2015,NA
24e6,soil,12/15/2015,NA
24e7,soil,12/15/2015,NA
24e8,soil,12/15/2015,3.5
24e9,soil,12/15/2015,0.5
24f1,soil,12/15/2015,NA
24f2,soil,12/15/2015,NA
24f3,soil,12/15/2015,3.0
24f4,soil,12/15/2015,1.0
24f5,soil,12/15/2015,NA
24f6,soil,12/15/2015,6.0
24f7,soil,12/15/2015,NA
24f8,soil,12/15/2015,1.5
24f9,soil,12/15/2015,0.5
25a10,soil,12/15/2015,6.0
25a11,soil,12/15/2015,NA
25a12,soil,12/15/2015,NA
25a2,soil,12/15/2015,NA
25a3,soil,12/15/2015,NA
25a4,soil,12/15/2015,NA
25a5,soil,12/15/2015,NA
25a6,soil,12/15/2015,NA
25a7,soil,12/15/2015,2.5
25a8,soil,12/15/2015,4.0
25a9,soil,12/15/2015,3.0
25b10,soil,12/15/2015,3.5
25b11,soil,12/15/2015,2.5
25b12,soil,12/15/2015,NA
25b2,soil,12/15/2015,3.0
25b3,soil,12/15/2015,NA
25b4,soil,12/15/2015,NA
25b5,soil,12/15/2015,NA
25b6,soil,12/15/2015,NA
25b7,soil,12/15/2015,NA
25b8,soil,12/15/2015,1.0
25b9,soil,12/15/2015,3.5
25c10,soil,12/15/2015,NA
25c11,soil,12/15/2015,2.0
25c2,soil,12/15/2015,1.5
25c3,soil,12/15/2015,NA
25c4,soil,12/15/2015,1.0
25c5,soil,12/15/2015,NA
25c6,soil,12/15/2015,0.5
25c7,soil,12/15/2015,2.5
25c8,soil,12/15/2015,NA
25c9,soil,12/15/2015,4.0
25d1,soil,12/15/2015,NA
25d10,soil,12/15/2015,5.0
25d11,soil,12/15/2015,3.5
25d2,soil,12/15/2015,NA
25d3,soil,12/15/2015,NA
25d4,soil,12/15/2015,NA
25d5,soil,12/15/2015,NA
25d6,soil,12/15/2015,NA
25d7,soil,12/15/2015,3.0
25d8,soil,12/15/2015,0.0
25d9,soil,12/15/2015,4.0
25e1,soil,12/15/2015,NA
25e10,soil,12/15/2015,2.5
25e11,soil,12/15/2015,5.0
25e2,soil,12/15/2015,2.0
25e3,soil,12/15/2015,1.5
25e4,soil,12/15/2015,NA
25e5,soil,12/15/2015,NA
25e6,soil,12/15/2015,NA
25e7,soil,12/15/2015,4.0
25e8,soil,12/15/2015,NA
25e9,soil,12/15/2015,2.5
25f1,soil,12/15/2015,NA
25f10,soil,12/15/2015,NA
25f11,soil,12/15/2015,NA
25f2,soil,12/15/2015,2.0
25f3,soil,12/15/2015,1.5
25f4,soil,12/15/2015,NA
25f5,soil,12/15/2015,NA
25f6,soil,12/15/2015,NA
25f7,soil,12/15/2015,NA
25f8,soil,12/15/2015,2.0
25f9,soil,12/15/2015,NA
26a10,soil,12/15/2015,6.5
26a11,soil,12/15/2015,6.0
26a12,soil,12/15/2015,6.0
26a2,soil,12/15/2015,NA
26a3,soil,12/15/2015,3.0
26a4,soil,12/15/2015,NA
26a5,soil,12/15/2015,NA
26a6,soil,12/15/2015,NA
26a7,soil,12/15/2015,7.0
26a8,soil,12/15/2015,7.5
26a9,soil,12/15/2015,4.5
26b10,soil,12/15/2015,5.5
26b11,soil,12/15/2015,4.5
26b12,soil,12/15/2015,6.0
26b2,soil,12/15/2015,4.0
26b3,soil,12/15/2015,NA
26b4,soil,12/15/2015,4.5
26b5,soil,12/15/2015,4.5
26b6,soil,12/15/2015,1.0
26b7,soil,12/15/2015,5.0
26b8,soil,12/15/2015,6.0
26b9,soil,12/15/2015,5.5
26c10,soil,12/15/2015,4.5
26c11,soil,12/15/2015,3.5
26c2,soil,12/15/2015,6.5
26c3,soil,12/15/2015,NA
26c4,soil,12/15/2015,NA
26c5,soil,12/15/2015,NA
26c6,soil,12/15/2015,NA
26c7,soil,12/15/2015,5.0
26c8,soil,12/15/2015,4.0
26c9,soil,12/15/2015,4.0
26d1,soil,12/15/2015,NA
26d10,soil,12/15/2015,6.5
26d11,soil,12/15/2015,4.5
26d2,soil,12/15/2015,7.0
26d3,soil,12/15/2015,3.0
26d4,soil,12/15/2015,NA
26d5,soil,12/15/2015,3.0
26d6,soil,12/15/2015,NA
26d7,soil,12/15/2015,6.5
26d8,soil,12/15/2015,4.0
26d9,soil,12/15/2015,5.5
26e1,soil,12/15/2015,NA
26e10,soil,12/15/2015,2.0
26e11,soil,12/15/2015,5.5
26e2,soil,12/15/2015,4.5
26e3,soil,12/15/2015,3.5
26e4,soil,12/15/2015,4.0
26e5,soil,12/15/2015,NA
26e6,soil,12/15/2015,5.5
26e7,soil,12/15/2015,7.0
26e8,soil,12/15/2015,5.0
26e9,soil,12/15/2015,5.0
26f1,soil,12/15/2015,3.5
26f10,soil,12/15/2015,3.0
26f11,soil,12/15/2015,7.0
26f2,soil,12/15/2015,5.0
26f3,soil,12/15/2015,NA
26f4,soil,12/15/2015,4.0
26f5,soil,12/15/2015,NA
26f6,soil,12/15/2015,3.0
26f7,soil,12/15/2015,5.0
26f8,soil,12/15/2015,4.0
26f9,soil,12/15/2015,9.0
27a10,soil,12/15/2015,6.5
27a11,soil,12/15/2015,4.0
27a12,soil,12/15/2015,6.0
27a2,soil,12/15/2015,NA
27a3,soil,12/15/2015,NA
27a4,soil,12/15/2015,3.5
27a5,soil,12/15/2015,3.0
27a6,soil,12/15/2015,NA
27a7,soil,12/15/2015,NA
27a8,soil,12/15/2015,4.5
27a9,soil,12/15/2015,4.0
27b10,soil,12/15/2015,5.5
27b11,soil,12/15/2015,4.0
27b12,soil,12/15/2015,5.5
27b2,soil,12/15/2015,5.0
27b3,soil,12/15/2015,3.0
27b4,soil,12/15/2015,3.0
27b5,soil,12/15/2015,NA
27b6,soil,12/15/2015,NA
27b7,soil,12/15/2015,NA
27b8,soil,12/15/2015,NA
27b9,soil,12/15/2015,NA
27c10,soil,12/15/2015,5.0
27c11,soil,12/15/2015,4.0
27c2,soil,12/15/2015,6.0
27c3,soil,12/15/2015,NA
27c4,soil,12/15/2015,NA
27c5,soil,12/15/2015,NA
27c6,soil,12/15/2015,NA
27c7,soil,12/15/2015,5.0
27c8,soil,12/15/2015,NA
27c9,soil,12/15/2015,4.5
27d1,soil,12/15/2015,NA
27d10,soil,12/15/2015,5.5
27d11,soil,12/15/2015,5.5
27d2,soil,12/15/2015,5.0
27d3,soil,12/15/2015,3.0
27d4,soil,12/15/2015,NA
27d5,soil,12/15/2015,NA
27d6,soil,12/15/2015,4.0
27d7,soil,12/15/2015,NA
27d8,soil,12/15/2015,NA
27d9,soil,12/15/2015,3.0
27e1,soil,12/15/2015,NA
27e10,soil,12/15/2015,3.0
27e11,soil,12/15/2015,5.0
27e2,soil,12/15/2015,NA
27e3,soil,12/15/2015,NA
27e4,soil,12/15/2015,NA
27e5,soil,12/15/2015,NA
27e6,soil,12/15/2015,6.0
27e7,soil,12/15/2015,5.5
27e8,soil,12/15/2015,NA
27e9,soil,12/15/2015,6.0
27f1,soil,12/15/2015,2.0
27f10,soil,12/15/2015,1.5
27f11,soil,12/15/2015,5.0
27f2,soil,12/15/2015,3.5
27f3,soil,12/15/2015,NA
27f4,soil,12/15/2015,NA
27f5,soil,12/15/2015,NA
27f6,soil,12/15/2015,5.5
27f7,soil,12/15/2015,NA
27f8,soil,12/15/2015,5.0
27f9,soil,12/15/2015,6.0
28a10,soil,12/15/2015,7.0
28a11,soil,12/15/2015,4.5
28a12,soil,12/15/2015,NA
28a2,soil,12/15/2015,NA
28a3,soil,12/15/2015,NA
28a4,soil,12/15/2015,NA
28a5,soil,12/15/2015,4.0
28a6,soil,12/15/2015,NA
28a7,soil,12/15/2015,NA
28a8,soil,12/15/2015,6.0
28a9,soil,12/15/2015,4.0
28b10,soil,12/15/2015,5.5
28b11,soil,12/15/2015,4.0
28b12,soil,12/15/2015,6.5
28b2,soil,12/15/2015,4.5
28b3,soil,12/15/2015,NA
28b4,soil,12/15/2015,1.5
28b5,soil,12/15/2015,NA
28b6,soil,12/15/2015,NA
28b7,soil,12/15/2015,3.5
28b8,soil,12/15/2015,5.0
28b9,soil,12/15/2015,5.0
28c10,soil,12/15/2015,4.0
28c11,soil,12/15/2015,4.0
28c2,soil,12/15/2015,3.0
28c3,soil,12/15/2015,NA
28c4,soil,12/15/2015,NA
28c5,soil,12/15/2015,4.0
28c6,soil,12/15/2015,NA
28c7,soil,12/15/2015,6.0
28c8,soil,12/15/2015,7.0
28c9,soil,12/15/2015,5.0
28d1,soil,12/15/2015,NA
28d10,soil,12/15/2015,4.5
28d11,soil,12/15/2015,4.5
28d2,soil,12/15/2015,4.5
28d3,soil,12/15/2015,3.5
28d4,soil,12/15/2015,NA
28d5,soil,12/15/2015,4.0
28d6,soil,12/15/2015,6.0
28d7,soil,12/15/2015,NA
28d8,soil,12/15/2015,5.0
28d9,soil,12/15/2015,4.0
28e1,soil,12/15/2015,NA
28e10,soil,12/15/2015,2.0
28e11,soil,12/15/2015,6.0
28e2,soil,12/15/2015,NA
28e3,soil,12/15/2015,NA
28e4,soil,12/15/2015,5.0
28e5,soil,12/15/2015,3.0
28e6,soil,12/15/2015,7.0
28e7,soil,12/15/2015,NA
28e8,soil,12/15/2015,6.0
28e9,soil,12/15/2015,4.0
28f1,soil,12/15/2015,3.0
28f10,soil,12/15/2015,NA
28f11,soil,12/15/2015,7.0
28f2,soil,12/15/2015,2.5
28f3,soil,12/15/2015,NA
28f4,soil,12/15/2015,NA
28f5,soil,12/15/2015,NA
28f6,soil,12/15/2015,3.0
28f7,soil,12/15/2015,NA
28f8,soil,12/15/2015,NA
28f9,soil,12/15/2015,5.0
29a10,soil,12/15/2015,1.5
29a11,soil,12/15/2015,1.5
29a12,soil,12/15/2015,1.5
29a2,soil,12/15/2015,1.0
29a3,soil,12/15/2015,0.5
29a4,soil,12/15/2015,1.0
29a5,soil,12/15/2015,NA
29a6,soil,12/15/2015,NA
29a7,soil,12/15/2015,NA
29a8,soil,12/15/2015,6.5
29a9,soil,12/15/2015,NA
29b10,soil,12/15/2015,1.5
29b11,soil,12/15/2015,1.5
29b12,soil,12/15/2015,NA
29b2,soil,12/15/2015,1.0
29b3,soil,12/15/2015,0.5
29b4,soil,12/15/2015,1.5
29b5,soil,12/15/2015,0.5
29b6,soil,12/15/2015,NA
29b7,soil,12/15/2015,NA
29b8,soil,12/15/2015,NA
29b9,soil,12/15/2015,NA
29c10,soil,12/15/2015,1.5
29c11,soil,12/15/2015,1.5
29c2,soil,12/15/2015,1.0
29c3,soil,12/15/2015,1.0
29c4,soil,12/15/2015,1.0
29c5,soil,12/15/2015,NA
29c6,soil,12/15/2015,NA
29c7,soil,12/15/2015,1.5
