"year","gdd","gdd.sd","utah","utah.sd","ports","ports.sd","gen","spp","species","complex_name","continent"
1985,430.341458253604,206.106193969277,800.08850017319,214.849440940442,68.4559221097056,10.0727587180467,"Bet","all","betall","Betula_alleghaniensis","north america"
1986,467.276943680695,170.030411715581,623.002078281954,129.128486281476,57.0963053844153,8.31789515492295,"Bet","all","betall","Betula_alleghaniensis","north america"
1987,461.303475023326,162.619359514214,689.814166955317,207.985237853873,62.3761635842531,13.1150330349564,"Bet","all","betall","Betula_alleghaniensis","north america"
1988,403.614730230431,144.372801330093,803.478697609976,254.33536210514,67.4740202716456,15.2399591184987,"Bet","all","betall","Betula_alleghaniensis","north america"
1989,366.746026965686,142.088350417544,818.013682022861,249.770806381707,67.8967371731446,14.7178969456892,"Bet","all","betall","Betula_alleghaniensis","north america"
1990,395.952094187045,181.691339652887,630.525285763769,164.773498071489,59.7105353078665,11.622179511629,"Bet","all","betall","Betula_alleghaniensis","north america"
1991,473.897767980702,198.74989739015,750.81745756841,216.034407711742,68.5723342100033,12.9064290676234,"Bet","all","betall","Betula_alleghaniensis","north america"
1992,356.101221758829,141.62223060521,696.140110841704,194.223944459058,64.1111011794749,11.5523623445048,"Bet","all","betall","Betula_alleghaniensis","north america"
1993,353.623058850426,151.32343771087,739.642189123658,302.735114143028,61.4626826648381,18.1122338495935,"Bet","all","betall","Betula_alleghaniensis","north america"
1994,342.818096485038,170.735575514007,768.702286110149,268.245095015031,63.399730296439,15.4379359320395,"Bet","all","betall","Betula_alleghaniensis","north america"
1995,334.811736435363,183.453024248603,812.794076896432,153.252678094978,66.3000175445436,7.67000757164184,"Bet","all","betall","Betula_alleghaniensis","north america"
1996,310.388786556246,162.399779290201,597.910460685833,146.946927078165,57.993784031884,11.8685581862495,"Bet","all","betall","Betula_alleghaniensis","north america"
1997,255.184127401937,148.185622176073,791.630412192587,253.744067964083,67.6100922001255,12.3145888471519,"Bet","all","betall","Betula_alleghaniensis","north america"
1998,499.582409369499,148.04865192556,644.30013855213,290.172898240276,60.1285102936097,17.931880083256,"Bet","all","betall","Betula_alleghaniensis","north america"
1999,413.058489661032,123.44669169461,1029.08122618635,243.971591496919,75.6142370214422,10.831777018634,"Bet","all","betall","Betula_alleghaniensis","north america"
2000,384.854058878717,192.497601826006,927.651714582612,170.830122393311,73.8135251463421,8.65759329222429,"Bet","all","betall","Betula_alleghaniensis","north america"
2001,420.031523133737,149.622517816894,680.840665050225,209.765970481665,60.4772988003482,11.190813941499,"Bet","all","betall","Betula_alleghaniensis","north america"
2002,327.014966042687,189.003052252062,812.590058884655,125.36348203563,63.4005680469862,10.6529737851111,"Bet","all","betall","Betula_alleghaniensis","north america"
2003,348.718289040383,178.355750531756,732.167821267752,319.237676921304,65.3529117836408,18.2302111750103,"Bet","all","betall","Betula_alleghaniensis","north america"
2004,384.809882634923,215.714795686037,730.959300311742,188.354138120508,60.4864961923217,11.6986021179476,"Bet","all","betall","Betula_alleghaniensis","north america"
2005,335.087994723673,156.018899403876,772.921025285764,200.727938512044,61.995514161431,12.363998973294,"Bet","all","betall","Betula_alleghaniensis","north america"
2006,425.08199170233,156.851913627142,692.361794250087,167.595302224605,61.9776503264726,10.0918330405095,"Bet","all","betall","Betula_alleghaniensis","north america"
2007,417.208713833311,194.15262533888,981.208347765847,319.261995445054,72.6007337952322,14.641471318271,"Bet","all","betall","Betula_alleghaniensis","north america"
2008,335.300831472648,162.845810167459,574.271735365431,133.507944709765,55.9631589997809,13.3610918078046,"Bet","all","betall","Betula_alleghaniensis","north america"
2009,372.599788517422,185.196097440218,725.643401454797,228.77697602266,61.5737974772322,15.5794778707836,"Bet","all","betall","Betula_alleghaniensis","north america"
2010,495.861486154949,176.26692306671,925.181156910288,179.818735013521,66.853455075432,12.9859327296673,"Bet","all","betall","Betula_alleghaniensis","north america"
2011,386.927024055991,186.075324009661,762.354000692761,199.450835800075,61.9719618589156,11.9400928716183,"Bet","all","betall","Betula_alleghaniensis","north america"
2012,532.903232783373,217.368956462677,805.203844821614,182.882374357864,63.84597626743,11.9365243625952,"Bet","all","betall","Betula_alleghaniensis","north america"
2013,370.574010455778,154.152844832676,887.032559750606,258.194286304008,68.8094454212295,16.5772396083258,"Bet","all","betall","Betula_alleghaniensis","north america"
2014,359.284886327993,168.588272321325,645.673363352962,188.302237556067,58.5811775009862,15.4378189684872,"Bet","all","betall","Betula_alleghaniensis","north america"
2015,438.51927516367,174.766090091105,736.173536543124,188.379159994866,60.8487221032554,14.103202659438,"Bet","all","betall","Betula_alleghaniensis","north america"
2016,383.388839791368,190.826574923625,893.889158295809,153.848028522753,61.1793442416978,8.86206788855338,"Bet","all","betall","Betula_alleghaniensis","north america"
1980,213.180709321805,106.864258453735,792.210857188044,310.142129435387,45.4844728467372,14.6628581334586,"Bet","pen","Betpen","Betula_pendula","europe"
1981,322.353923697869,143.055516290604,715.656808476989,285.182362978701,40.85906942571,13.1901774906979,"Bet","pen","Betpen","Betula_pendula","europe"
1982,271.25623748163,146.286610794997,943.647714692393,346.5759833337,51.6968435366641,11.6523400108945,"Bet","pen","Betpen","Betula_pendula","europe"
1983,363.040264746017,214.260266418999,807.197058358374,270.34875699676,45.907921609712,11.48348486192,"Bet","pen","Betpen","Betula_pendula","europe"
1984,344.868453844889,138.398632324476,812.136169539775,330.389432079865,43.0937711481475,13.3623110581587,"Bet","pen","Betpen","Betula_pendula","europe"
1985,301.686784424447,174.622791181282,729.581527755812,257.870066678245,41.7184289593614,11.869749137037,"Bet","pen","Betpen","Betula_pendula","europe"
1986,346.573845593992,195.04349218253,890.099557172228,326.786418926645,47.3210114009773,10.7724336974382,"Bet","pen","Betpen","Betula_pendula","europe"
1987,248.970654699626,127.323028516115,831.585560651589,350.80952327872,44.6088084584707,15.0035562523334,"Bet","pen","Betpen","Betula_pendula","europe"
1988,317.111459667049,142.384940290647,676.504309663135,367.826844461003,41.8239319478154,15.6892448024048,"Bet","pen","Betpen","Betula_pendula","europe"
1989,372.392722602054,173.469529757931,834.023208919817,260.87218728168,46.7250934478181,9.84348375614745,"Bet","pen","Betpen","Betula_pendula","europe"
1990,361.003874783829,195.147532848989,775.70381938953,310.056136437625,44.5607988423426,12.7076830286026,"Bet","pen","Betpen","Betula_pendula","europe"
1991,251.900635312812,150.086852272761,797.303534714534,341.208369380168,45.5676047655903,12.5775556545783,"Bet","pen","Betpen","Betula_pendula","europe"
1992,316.36668740429,150.100222814043,774.105448363119,458.335286581375,43.1629267126199,16.169189093017,"Bet","pen","Betpen","Betula_pendula","europe"
1993,382.604209105303,168.372944390274,635.766012968528,389.337059827587,38.30387752583,16.8580061031947,"Bet","pen","Betpen","Betula_pendula","europe"
1994,294.23539226287,181.559974484004,831.678633560019,388.916990807516,47.4334587522548,14.2387092881038,"Bet","pen","Betpen","Betula_pendula","europe"
1995,334.759547843263,170.63829201546,593.468883441404,187.087342345563,37.3921627136614,9.98775652238972,"Bet","pen","Betpen","Betula_pendula","europe"
1996,315.741271493483,191.936510313082,911.862288470663,229.941033654534,47.3188578867045,8.71561461293809,"Bet","pen","Betpen","Betula_pendula","europe"
1997,278.500326632939,192.798603937906,720.334809425905,348.648958292403,42.3006392853643,14.0490232335964,"Bet","pen","Betpen","Betula_pendula","europe"
1998,331.261835548076,174.419679930711,751.355685592282,299.759505043749,42.1059449841989,11.7169805141437,"Bet","pen","Betpen","Betula_pendula","europe"
1999,330.561778394861,181.334344633712,805.589593547367,305.963164330748,45.68255851859,11.516091423108,"Bet","pen","Betpen","Betula_pendula","europe"
2000,402.174291832593,195.953570869892,1055.70045864305,284.115077061442,51.5462564525468,9.77044505871278,"Bet","pen","Betpen","Betula_pendula","europe"
2001,338.516104797913,182.774918774373,613.088012019611,217.814954065421,37.505744416136,10.7763179199257,"Bet","pen","Betpen","Betula_pendula","europe"
2002,387.080952920145,179.879393851151,708.369800727503,471.519963007068,38.8077263349389,18.4816154495995,"Bet","pen","Betpen","Betula_pendula","europe"
2003,387.617211390924,199.496557173812,882.355922821446,364.341410416815,48.9914598180284,13.1650941638297,"Bet","pen","Betpen","Betula_pendula","europe"
2004,301.098770364449,149.977527544008,892.433733987031,291.981683394095,48.3764271731695,11.9044359831879,"Bet","pen","Betpen","Betula_pendula","europe"
2005,347.287621005601,192.595343972862,781.35718804365,170.559888977692,45.2690231307879,7.65115256694042,"Bet","pen","Betpen","Betula_pendula","europe"
2006,312.892229531193,159.563248552507,974.805393009647,319.072565263284,51.2616927530005,10.856481493676,"Bet","pen","Betpen","Betula_pendula","europe"
2007,427.584699183067,212.396582812491,820.739640993199,289.922812094109,45.2584372671881,11.6619144870524,"Bet","pen","Betpen","Betula_pendula","europe"
2008,337.567691523704,172.759768415964,961.23853392377,234.712103200671,49.4980553784448,9.20296053267908,"Bet","pen","Betpen","Betula_pendula","europe"
2009,384.483355042581,183.958608330569,902.456112604776,371.287924375504,46.7068800272132,13.5060311049604,"Bet","pen","Betpen","Betula_pendula","europe"
2010,371.243472295972,170.076087816626,814.941325320259,248.741667912202,42.6452794302834,12.0913963606832,"Bet","pen","Betpen","Betula_pendula","europe"
2011,412.650132786119,212.386869629511,967.310098054721,287.034171200868,52.2905729082002,9.45656090993196,"Bet","pen","Betpen","Betula_pendula","europe"
2012,420.229092138322,220.435045901597,874.653487268702,303.606441465631,46.3562434436306,11.9798403037779,"Bet","pen","Betpen","Betula_pendula","europe"
2013,375.674603890215,181.543199510742,967.986715166851,308.618960553014,52.5528524291564,9.30115185779536,"Bet","pen","Betpen","Betula_pendula","europe"
2014,426.583725894754,194.378971430117,789.710215873525,319.071096236266,44.0259873827401,11.9212885148209,"Bet","pen","Betpen","Betula_pendula","europe"
2015,351.029634405655,190.028771899506,1024.88836705202,338.204190853558,53.3518079321905,11.072333188441,"Bet","pen","Betpen","Betula_pendula","europe"
2016,386.975544413778,153.628235601353,820.447235374368,403.12830048244,45.7625085764202,15.9404752482624,"Bet","pen","Betpen","Betula_pendula","europe"
2017,338.634008836336,222.026908633496,909.188654247631,307.184413590616,49.033410374648,12.5680965045426,"Bet","pen","Betpen","Betula_pendula","europe"
1980,179.932253734595,112.735274878642,726.460265629586,339.494966961507,41.8183064656582,16.4055204374295,"Bet","pub","Betpub","Betula_pubescens","europe"
1981,269.189835541001,148.305125161637,657.060463751101,318.050838877225,37.6168095603101,14.6231001682695,"Bet","pub","Betpub","Betula_pubescens","europe"
1982,222.444624173234,151.232892410935,847.294393894922,405.153779908338,47.8925290493301,14.6482080802325,"Bet","pub","Betpub","Betula_pubescens","europe"
1983,295.646491227479,214.810291527616,737.492992368653,321.740030879777,42.8957745817685,13.5511068931286,"Bet","pub","Betpub","Betula_pubescens","europe"
1984,303.593256391973,155.413283269897,748.833504549457,368.87122884314,40.5037456039889,14.6552033290672,"Bet","pub","Betpub","Betula_pubescens","europe"
1985,246.41872522221,177.367108665102,669.428602876431,270.277482448946,38.7423796516369,12.5375405724738,"Bet","pub","Betpub","Betula_pubescens","europe"
1986,281.954857160342,196.456080788199,815.713787789844,371.525621999485,44.3191774554783,12.5844530382136,"Bet","pub","Betpub","Betula_pubescens","europe"
1987,206.98689581094,131.505426307529,784.273669635506,354.91760409197,41.8322883857949,15.5741313746738,"Bet","pub","Betpub","Betula_pubescens","europe"
1988,266.723543941304,157.095688944635,642.046044907543,372.682737986919,39.9290106787228,15.9155192282935,"Bet","pub","Betpub","Betula_pubescens","europe"
1989,310.800874098656,185.231076676952,772.429997064866,317.206060581349,44.384889835984,11.733986498545,"Bet","pub","Betpub","Betula_pubescens","europe"
1990,292.530344346834,200.930502368772,719.40413120047,346.950626847019,42.0723389283655,14.3102912868581,"Bet","pub","Betpub","Betula_pubescens","europe"
1991,208.090281060767,157.612484188967,749.810683886117,361.05844038085,43.6351747824901,13.7256026155021,"Bet","pub","Betpub","Betula_pubescens","europe"
1992,262.029885078932,151.124673823223,686.888318168477,477.787106057013,39.3320186358443,18.1923532518124,"Bet","pub","Betpub","Betula_pubescens","europe"
1993,316.735412797411,189.225231794557,578.076240093924,405.741471627416,35.2217890525951,17.900460048867,"Bet","pub","Betpub","Betula_pubescens","europe"
1994,232.229833819038,171.22462395093,745.760713237452,423.549938312826,44.0199215434228,15.76977745409,"Bet","pub","Betpub","Betula_pubescens","europe"
1995,279.947447976755,186.143961583558,558.715475491635,209.32367057059,35.4616369563129,10.9669135296011,"Bet","pub","Betpub","Betula_pubescens","europe"
1996,256.549889034949,197.527792254559,838.53423099501,281.023535574644,44.4311042588562,10.9949534920159,"Bet","pub","Betpub","Betula_pubescens","europe"
1997,224.528595340611,189.364538799026,649.760676548283,375.284697946568,39.1602590201491,15.1823007371455,"Bet","pub","Betpub","Betula_pubescens","europe"
1998,271.414067274618,185.435349512286,695.47945406516,336.236475032421,40.0101166664468,12.9696485991237,"Bet","pub","Betpub","Betula_pubescens","europe"
1999,267.14060592,185.953349420462,756.438215438802,327.879651544473,43.3288537567164,12.5869294537601,"Bet","pub","Betpub","Betula_pubescens","europe"
2000,328.569645397624,203.006335719051,1002.7163560317,320.135563804102,48.935355612273,11.9638435493248,"Bet","pub","Betpub","Betula_pubescens","europe"
2001,271.157681655215,184.937985503588,598.48191091216,252.149007448699,36.3870947914361,12.238910325842,"Bet","pub","Betpub","Betula_pubescens","europe"
2002,320.703611040061,188.517246726246,624.254470632248,489.217731502677,34.9290832145412,19.5626418987691,"Bet","pub","Betpub","Betula_pubescens","europe"
2003,316.903203608362,203.946194672932,806.778637998092,393.325755960299,45.8797232310774,14.5662539228659,"Bet","pub","Betpub","Betula_pubescens","europe"
2004,247.927607664633,154.829565097447,826.982129751945,344.226270196618,45.5989099940599,13.9531750904339,"Bet","pub","Betpub","Betula_pubescens","europe"
2005,284.493141247949,201.35062700286,749.488663046669,188.68523583223,43.3449014944375,8.75251531415092,"Bet","pub","Betpub","Betula_pubescens","europe"
2006,255.876252595816,156.687673667378,914.910581932927,368.390964575698,48.6333183574477,13.5633383987765,"Bet","pub","Betpub","Betula_pubescens","europe"
2007,349.77114685613,226.743079117383,784.81372045221,301.184274347831,43.7704234170425,12.2688963024276,"Bet","pub","Betpub","Betula_pubescens","europe"
2008,276.017215206376,177.837595404179,897.07227279401,298.078181112709,47.233928675304,11.279398158984,"Bet","pub","Betpub","Betula_pubescens","europe"
2009,315.433859166712,190.615721204879,814.13358526563,428.882157527822,43.2357478523203,15.7971271713557,"Bet","pub","Betpub","Betula_pubescens","europe"
2010,313.420227424527,182.547214118037,751.278103903728,288.827094754938,39.6683796004847,13.606362996423,"Bet","pub","Betpub","Betula_pubescens","europe"
2011,344.773952911692,221.847468226678,931.570951402144,307.223635740792,50.2534846414421,10.9034715773671,"Bet","pub","Betpub","Betula_pubescens","europe"
2012,352.05530388542,231.478715186801,818.63779180737,342.100546945346,43.5917671872226,14.1484191914579,"Bet","pub","Betpub","Betula_pubescens","europe"
2013,321.967234101618,184.587859401767,901.927323447365,367.47988203363,49.4314085332043,13.5614318844642,"Bet","pub","Betpub","Betula_pubescens","europe"
2014,361.239984378633,215.331701003012,730.65256141402,349.349074425556,41.6792017817002,13.6756830958098,"Bet","pub","Betpub","Betula_pubescens","europe"
2015,290.190967696321,195.446740828749,957.324823811666,383.382059651734,50.3766890316071,13.7553827338647,"Bet","pub","Betpub","Betula_pubescens","europe"
2016,328.039849902605,163.88017774831,768.306435903199,423.9019906747,43.1987013147755,16.9506347882831,"Bet","pub","Betpub","Betula_pubescens","europe"
2017,276.191142382362,214.59576623848,835.348881740196,347.62078997472,45.5201165721848,15.1207519260139,"Bet","pub","Betpub","Betula_pubescens","europe"
1980,596.632706035463,164.186443874584,838.796465222349,115.717712337733,74.0984523830039,3.34955072199638,"Bet","len","betlen","Betula_lenta","north america"
1981,632.40560843958,145.607656910956,944.877423033067,126.798065886392,77.2502408522577,4.71134657641763,"Bet","len","betlen","Betula_lenta","north america"
1982,632.469745229767,163.161275725135,1002.23888255416,131.398767413341,78.9641345985914,4.23443479316601,"Bet","len","betlen","Betula_lenta","north america"
1983,549.811994925897,169.321387673532,681.031356898518,150.634083642753,71.0239087640221,3.79393961761033,"Bet","len","betlen","Betula_lenta","north america"
1984,519.219206994207,170.521436105181,1007.09806157355,97.5260243146035,80.4917101032903,4.26678419430097,"Bet","len","betlen","Betula_lenta","north america"
1985,704.084798886935,175.908437465073,824.986316989738,227.076275921846,73.7966253402464,6.03815668929626,"Bet","len","betlen","Betula_lenta","north america"
1986,707.591803548891,156.061359760297,587.92417331813,225.446362693021,64.4020204504848,4.93357866738215,"Bet","len","betlen","Betula_lenta","north america"
1987,648.250887948862,144.680355091522,901.061003420753,133.191880530213,76.3721426761945,4.67148907180937,"Bet","len","betlen","Betula_lenta","north america"
1988,607.01424716602,161.387764543514,1114.93044469783,144.397537012755,82.7634781407526,5.44663789237606,"Bet","len","betlen","Betula_lenta","north america"
1989,584.934434317142,177.115431332625,1044.08608893957,129.008584588723,82.0194509886273,4.67278994544618,"Bet","len","betlen","Betula_lenta","north america"
1990,659.136185952394,178.34911073129,779.131698973774,94.6556607297379,71.7389609393665,4.44958778157936,"Bet","len","betlen","Betula_lenta","north america"
1991,744.791369564491,176.902237186549,873.465222348917,172.356444432856,76.5575220218421,6.15217884742214,"Bet","len","betlen","Betula_lenta","north america"
1992,559.013242887036,172.888291293669,872.037628278221,155.547135151147,76.9028950270488,5.4186760407918,"Bet","len","betlen","Betula_lenta","north america"
1993,588.9904906182,133.769252779017,1122.31071835804,171.064822820026,81.9244241816504,6.24411023934226,"Bet","len","betlen","Betula_lenta","north america"
1994,588.266451660353,176.776359308455,1062.87970353478,131.712307383746,79.8663610127149,4.93230147564743,"Bet","len","betlen","Betula_lenta","north america"
1995,618.149836427954,204.974867373313,905.60889395667,106.951034600352,73.2071959569419,3.89754271110313,"Bet","len","betlen","Betula_lenta","north america"
1996,573.235084344364,164.205427015229,708.12314709236,132.423699492745,70.147431639316,5.56471470343276,"Bet","len","betlen","Betula_lenta","north america"
1997,489.671045760739,189.533692281896,956.410490307868,174.773721038453,77.6074737659235,4.9758563053221,"Bet","len","betlen","Betula_lenta","north america"
1998,689.976332240639,121.874410000416,1009.79703534778,191.889872134333,80.7162809988989,6.53556238040853,"Bet","len","betlen","Betula_lenta","north america"
1999,580.366243241733,157.695108299608,1231.63568985177,221.181228129412,84.1185112027338,6.93105566131498,"Bet","len","betlen","Betula_lenta","north america"
2000,656.828439114085,173.650864330847,1018.79190421893,163.13429340738,78.5890032458625,5.94916648435016,"Bet","len","betlen","Betula_lenta","north america"
2001,623.373904485062,165.644489080849,754.645381984036,162.538754471811,69.497527607454,4.97127963322061,"Bet","len","betlen","Betula_lenta","north america"
2002,640.091248211061,210.273958168752,879.328392246294,132.664006032583,74.4553200289896,5.51341994470048,"Bet","len","betlen","Betula_lenta","north america"
2003,606.571893206988,222.595122064988,1099.72690992018,182.188447852045,83.30436618605,5.79453501256672,"Bet","len","betlen","Betula_lenta","north america"
2004,709.110759489164,187.022672830866,855.233181299886,89.2934343898909,71.822315186182,5.43319235429823,"Bet","len","betlen","Betula_lenta","north america"
2005,538.083384209573,169.956901851972,943.088939566705,202.385752096089,75.8459136891469,5.71907867188357,"Bet","len","betlen","Betula_lenta","north america"
2006,646.085795127281,173.072270765361,790.187001140251,105.627675626391,71.8039076712108,4.63283635386591,"Bet","len","betlen","Betula_lenta","north america"
2007,654.649174391615,200.671189854168,1260.40307867731,174.074576148521,85.6221454109342,5.10942951996575,"Bet","len","betlen","Betula_lenta","north america"
2008,589.010554818295,174.11991506429,649.39338654504,102.780064992513,70.0503838812538,6.15574447439165,"Bet","len","betlen","Betula_lenta","north america"
2009,658.47849264588,180.922548456115,958.98574686431,138.887082399145,77.8559757004512,5.10899520831301,"Bet","len","betlen","Betula_lenta","north america"
2010,746.86717672306,143.18018670836,1088.33010262258,101.958031954389,80.2041046732028,4.43811831136918,"Bet","len","betlen","Betula_lenta","north america"
2011,689.943984115881,182.950558102795,832.95496009122,87.4087127912921,71.4172986886726,5.43580862510971,"Bet","len","betlen","Betula_lenta","north america"
2012,847.01870113073,190.815417019518,962.019384264538,100.847369700055,76.1953174721557,4.12924812659176,"Bet","len","betlen","Betula_lenta","north america"
2013,609.897484232863,138.57956563976,1198.40992018244,170.126518807262,85.4061483043943,6.04042256550096,"Bet","len","betlen","Betula_lenta","north america"
2014,619.026803116056,167.833043576452,844.64937286203,124.466619702908,75.9139557002907,5.21927990473223,"Bet","len","betlen","Betula_lenta","north america"
2015,683.754727780686,179.902971172422,923.806727480046,109.361753550411,75.3388569247905,5.1109126730671,"Bet","len","betlen","Betula_lenta","north america"
2016,662.67839589146,207.450741358379,862.7251995439,212.670618512321,67.5192652531009,3.85319541139871,"Bet","len","betlen","Betula_lenta","north america"
1980,299.253473830888,117.691542353683,966.566136162688,150.915224778269,54.763035418356,4.45255118906105,"Car","bet","Carbet","Carpinus_betulus","europe"
1981,457.848496598954,135.846139620228,851.732183908046,194.878779743259,50.1695131057028,5.61057237375764,"Car","bet","Carbet","Carpinus_betulus","europe"
1982,412.348622973969,124.03013443624,1132.71352785146,180.114084093508,58.2061724040895,4.88350432520737,"Car","bet","Carbet","Carpinus_betulus","europe"
1983,500.828737706853,202.997117622287,925.61282051282,136.438373913956,52.9996916051675,4.11776267846033,"Car","bet","Carbet","Carpinus_betulus","europe"
1984,383.489995906166,127.432957697534,905.441290893015,245.013043157705,49.8905376794655,7.74947417209877,"Car","bet","Carbet","Carpinus_betulus","europe"
1985,457.757200071152,140.234607721568,922.935897435897,150.662472375797,50.8744295937537,4.47783756707416,"Car","bet","Carbet","Carpinus_betulus","europe"
1986,502.679929198266,168.514326150749,1041.71724137931,202.891913704792,54.4338655279185,5.43599988190362,"Car","bet","Carbet","Carpinus_betulus","europe"
1987,352.709859483752,123.448223151606,1061.19248452697,190.096879788823,55.7435415092945,4.95627196724983,"Car","bet","Carbet","Carpinus_betulus","europe"
1988,441.875012588799,117.185516311242,857.8,288.984565372789,52.9076157809624,7.08243095129927,"Car","bet","Carbet","Carpinus_betulus","europe"
1989,539.271407620249,147.058302089077,909.258443854996,130.714473296713,51.4399749835477,4.42948262973708,"Car","bet","Carbet","Carpinus_betulus","europe"
1990,542.532878388952,150.77611954536,923.794164456233,150.747721569652,51.760215037557,4.11184758127782,"Car","bet","Carbet","Carpinus_betulus","europe"
1991,350.88788554265,128.594096449685,897.000707338638,230.177329325618,50.8891701457352,7.63940047989266,"Car","bet","Carbet","Carpinus_betulus","europe"
1992,459.140926517537,147.303366701262,1066.3801061008,300.312708797728,53.3670779852257,8.20431589642271,"Car","bet","Carbet","Carpinus_betulus","europe"
1993,534.780702408109,126.56912545552,859.564544650752,271.221529958283,50.3038767589482,6.85167410935095,"Car","bet","Carbet","Carpinus_betulus","europe"
1994,486.933230857329,167.692191226717,1056.8457117595,263.294582819939,56.6261714853259,6.96001287775091,"Car","bet","Carbet","Carpinus_betulus","europe"
1995,434.90719497013,132.35381935931,655.712290008842,161.506823374231,43.2387907368221,6.14408985549712,"Car","bet","Carbet","Carpinus_betulus","europe"
1996,465.382090004039,136.374427154803,1000.22290008842,158.054835035313,51.3522295713324,5.32481720947914,"Car","bet","Carbet","Carpinus_betulus","europe"
1997,450.870419695263,164.275772430696,940.05641025641,191.927750030823,53.0816307702828,5.58827722897427,"Car","bet","Carbet","Carpinus_betulus","europe"
1998,494.952044851559,128.547219841944,859.090627763042,224.939041305357,48.4283546711887,7.61999719205404,"Car","bet","Carbet","Carpinus_betulus","europe"
1999,507.240317556982,144.315505228415,949.917771883289,197.797678466247,52.6864578939666,6.0422816561656,"Car","bet","Carbet","Carpinus_betulus","europe"
2000,595.361967846943,154.017716765792,1106.06189213086,238.004006513941,55.297799012235,6.23757982476493,"Car","bet","Carbet","Carpinus_betulus","europe"
2001,510.632868098406,164.152682912661,627.138638373121,159.112284575548,42.2309586368041,6.35557913113928,"Car","bet","Carbet","Carpinus_betulus","europe"
2002,545.667851338677,156.051670041688,1014.20017683466,259.007133061961,51.638646516781,7.99664559587637,"Car","bet","Carbet","Carpinus_betulus","europe"
2003,577.629827215203,154.504098337607,1108.17975243148,212.811518486108,58.0028907726147,5.40677705880342,"Car","bet","Carbet","Carpinus_betulus","europe"
2004,445.728549506104,136.528315058242,932.09124668435,220.387044741846,53.3152907644273,6.28539310591221,"Car","bet","Carbet","Carpinus_betulus","europe"
2005,509.735607527377,148.152288116376,827.499381078691,146.563147599051,49.6918535058385,4.58734372955233,"Car","bet","Carbet","Carpinus_betulus","europe"
2006,469.135624427672,150.355034795245,1025.83303587364,264.011445730006,54.2889437015365,6.73898399720855,"Car","bet","Carbet","Carpinus_betulus","europe"
2007,630.098106665998,154.588113847945,974.471743380132,194.901620478085,51.4854495251899,6.43884251262528,"Car","bet","Carbet","Carpinus_betulus","europe"
2008,495.027929772845,152.868387913573,1009.53003376577,168.629712654972,53.0492913823001,5.94555072474875,"Car","bet","Carbet","Carpinus_betulus","europe"
2009,564.592454005165,149.721111650906,1108.84218944375,184.766359976387,55.8546946081199,4.3562659230383,"Car","bet","Carbet","Carpinus_betulus","europe"
2010,485.390949140348,153.164194758557,938.071263550738,135.400411718936,50.0676261845988,5.42008289098008,"Car","bet","Carbet","Carpinus_betulus","europe"
2011,600.153238656164,171.487854054189,1057.39523724898,221.301543146444,56.5676153974206,5.18626390601785,"Car","bet","Carbet","Carpinus_betulus","europe"
2012,593.945653273963,156.688593402977,979.840159574468,235.852807769515,52.710873296375,6.42685134654384,"Car","bet","Carbet","Carpinus_betulus","europe"
2013,493.057341627866,172.29978192192,1004.8393810032,253.711213076638,54.4003909860625,6.345702541448,"Car","bet","Carbet","Carpinus_betulus","europe"
2014,579.62467297649,129.531824505232,951.412490580256,208.896527734168,49.9388819279174,5.40649193627861,"Car","bet","Carbet","Carpinus_betulus","europe"
2015,516.906334709145,145.992782957721,1184.81490203466,232.099605043285,58.4920208527528,6.12578227053348,"Car","bet","Carbet","Carpinus_betulus","europe"
2016,515.399682134762,142.731683230725,1072.43746478873,243.268931518251,56.6025044009517,7.10238939281387,"Car","bet","Carbet","Carpinus_betulus","europe"
2017,558.810690466358,166.166798932814,1110.41889600603,160.213911165145,56.6004265810291,4.15220232278725,"Car","bet","Carbet","Carpinus_betulus","europe"
1980,374.839794232328,166.265445011033,908.325945945946,251.980162195225,53.1413920410397,7.43695143162406,"Cor","mas","Cormas","Cornus_mas","europe"
1981,504.018891379942,190.623180730824,815.372432432432,233.475790496284,50.3822623509874,6.12519645351939,"Cor","mas","Cormas","Cornus_mas","europe"
1982,470.954310317144,161.223072227127,1008.83243243243,262.229750655446,54.8607057347771,7.36690850707577,"Cor","mas","Cormas","Cornus_mas","europe"
1983,585.8880788494,245.212337665008,921.429189189189,203.596708494611,52.697522982656,5.78838579198852,"Cor","mas","Cormas","Cornus_mas","europe"
1984,417.54690664652,179.406675920367,814.642702702703,263.913754612449,48.1365301626827,7.76670689117418,"Cor","mas","Cormas","Cornus_mas","europe"
1985,534.783735617355,196.042612758702,943.414054054054,207.633501406122,52.5940906733715,5.76705393558042,"Cor","mas","Cormas","Cornus_mas","europe"
1986,566.871085974095,214.713030445601,910.497297297297,185.469804613644,52.6235901051695,5.36640960550485,"Cor","mas","Cormas","Cornus_mas","europe"
1987,417.444561105677,149.009986211217,1009.13405405405,222.823983145009,54.4590032003409,6.22554750662698,"Cor","mas","Cormas","Cornus_mas","europe"
1988,480.657239172976,170.792477693119,841.26,239.914520131019,52.3704730735545,5.47442584963971,"Cor","mas","Cormas","Cornus_mas","europe"
1989,620.191157872179,209.260753777542,877.043243243243,175.357748957211,51.5232219191945,5.67182460180611,"Cor","mas","Cormas","Cornus_mas","europe"
