"","x","y","GDD","GDD.lastfrost","DayLastFrost","MeanTmins","SDev.Tmins","Mean.Chill.Utah","Mean.Chill.Portions","year","ID","weights"
"109",19.875,40.375,243.839981809258,0,51,7.29404240448345,5.31513902676334,1360.5,84.1732338205056,1992,1,1.78305645529446
"110",21.125,39.875,44.1999932006001,0,81,2.41159570528234,6.00868837331689,1060,78.2417705136239,1992,2,1.79167621309992
"111",21.375,39.875,132.229988103732,0,79,4.493085020519,5.7904475425722,1084,79.6966812439425,1992,3,1.79167621309992
"112",21.125,39.625,49.1499924194068,0,81,2.52585102181802,6.0355094071488,1097,80.8377016842639,1992,4,1.79595226393844
"113",21.375,39.625,61.7599914669991,0,80,2.83617016387747,5.94809810307051,1071,77.4515580219952,1992,5,1.79595226393844
"114",21.625,39.125,96.8699900116771,0,79,3.63180844390646,5.77420336954035,1125.5,79.7739778687718,1992,6,1.80443631368747
"115",21.625,38.875,128.529988633469,0,55,4.35702119359469,5.69372882511788,1136,81.3040164552938,1992,7,1.80864415562071
"116",21.875,38.875,74.659991402179,0,79,3.12978717853176,5.77333403575555,1096.5,77.1756414894037,1992,8,1.80864415562071
"117",22.375,38.625,82.4899903330952,0,79,3.29914887693334,5.65193118502631,1048.5,77.0540366261555,1992,9,1.81282910502335
"118",19.875,40.375,272.66998094134,0,NA,7.19829772577245,5.7534588112101,1911,90.3741129142414,1993,1,1.78305645529446
"119",21.125,39.875,66.769993590191,0,74,2.56670208479416,6.39144710914433,1401.5,88.1853517839014,1993,2,1.79167621309992
"120",21.375,39.875,171.859984312207,0,70,4.61074459235719,6.22940919152763,1669.5,88.8509104626724,1993,3,1.79167621309992
"121",21.125,39.625,68.9999933168292,0,74,2.69808506052148,6.31949715750142,1491,88.5764624520278,1993,4,1.79595226393844
"122",21.375,39.625,86.7699915785342,0,73,3.07180845648288,6.31080415033163,1503.5,88.2955317488972,1993,5,1.79595226393844
"123",21.625,39.125,128.399987518787,0,72,3.9506382240141,6.08582456251345,1773.5,89.7597579449178,1993,6,1.80443631368747
"124",21.625,38.875,166.4699846562,0,70,4.61308501765845,5.97262066991465,1863,89.1803845988645,1993,7,1.80864415562071
"125",21.875,38.875,107.029989561066,0,73,3.57925525359175,6.0959753359791,1739.5,89.1151199746494,1993,8,1.80864415562071
"126",22.375,38.625,124.999987818301,0,72,4.02776588192408,6.03362674471409,1768.5,88.1927667455822,1993,9,1.81282910502335
"127",19.875,40.375,293.889978231862,0,NA,7.97968068703058,5.15655402868405,1771,87.0317114356733,1994,1,1.78305645529446
"128",21.125,39.875,105.059992287308,0,47,3.76212758998922,5.45188887230687,1531,91.7203461315118,1994,2,1.79167621309992
"129",21.375,39.875,204.609984921291,0,46,5.76180839641614,5.30580722755189,1595,94.6716057056193,1994,3,1.79167621309992
"130",21.125,39.625,107.619991559535,0,46,3.80489354642068,5.45362467518412,1575,94.9786142528022,1994,4,1.79595226393844
"131",21.375,39.625,127.64999021776,0,47,4.21659566493745,5.42680178425334,1590,93.6260117262691,1994,5,1.79595226393844
"132",21.625,39.125,175.129986697808,0,34,5.06446798635211,5.4006545080515,1634,94.1571369898853,1994,6,1.80443631368747
"133",21.625,38.875,212.489984074607,0,32,5.73117009905028,5.34397759266295,1678.5,92.8017397787576,1994,7,1.80864415562071
"134",21.875,38.875,157.289987767115,0,34,4.71499990905694,5.43941909961672,1644.5,95.5113780040513,1994,8,1.80864415562071
"135",22.375,38.625,180.169986361638,0,34,5.1484041547482,5.44154376277991,1649.5,94.2606592688261,1994,9,1.81282910502335
"136",19.875,40.375,225.879981763661,2.55999949574471,17,6.75946794834701,5.42689813509485,2007,93.8319322831289,1995,1,1.78305645529446
"137",21.125,39.875,58.9199933186173,0,88,1.85255316458642,5.85168974847281,1597.5,94.3447098841666,1995,2,1.79167621309992
"138",21.375,39.875,146.199988238513,0,19,3.96308503236542,5.64230802277256,1920,98.8438416288579,1995,3,1.79167621309992
"139",21.125,39.625,61.0799930468202,0,84,1.8736169938434,5.77857468979997,1759,96.1551844518833,1995,4,1.79595226393844
"140",21.375,39.625,81.3999919220805,0,84,2.26297868732759,5.74674490669359,1762,98.1288896539273,1995,5,1.79595226393844
"141",21.625,39.125,121.849989676848,0,29,3.18819143254548,5.66015491451603,2069.5,102.035805403831,1995,6,1.80443631368747
"142",21.625,38.875,148.189987746999,1.57999951764941,17,3.84999992833176,5.62937838802093,2181,101.624250103755,1995,7,1.80864415562071
"143",21.875,38.875,108.429990423843,0,29,2.91712760881699,5.75733250816512,2006,102.026918895397,1995,8,1.80864415562071
"144",22.375,38.625,132.579988989979,0.539999764412642,19,3.60042546594397,5.77717735658382,2057,102.829718742072,1995,9,1.81282910502335
"145",19.875,40.375,245.779983777553,0,NA,7.14489347164697,5.92398353362996,1929,94.2500369789652,1996,1,1.78305645529446
"146",21.125,39.875,88.6799919828773,0,107,2.23255315609276,6.86867466675889,2007.5,106.162292430514,1996,2,1.79167621309992
"147",21.375,39.875,182.559987425804,0,67,4.35638289591496,6.63225907191137,2091,104.172202245596,1996,3,1.79167621309992
"148",21.125,39.625,91.9999919086695,0,107,2.40627655640562,6.74917090968589,2081.5,105.736868915832,1996,4,1.79595226393844
"149",21.375,39.625,110.689990596846,0,107,2.75585101673657,6.70676662638319,2063,106.169227741703,1996,5,1.79595226393844
"150",21.625,39.125,149.469988388941,0,67,3.86691482163015,6.35537793283424,2085,104.236448821635,1996,6,1.80443631368747
"151",21.625,38.875,179.249987499788,0,67,4.61308501765845,6.22209570402499,2036,100.626920118478,1996,7,1.80864415562071
"152",21.875,38.875,132.119989223778,0,67,3.4488297245921,6.34561997229898,2031.5,104.913653328158,1996,8,1.80864415562071
"153",22.375,38.625,153.359988301992,0,67,3.79287227015308,6.21362610588182,2095,104.098267066295,1996,9,1.81282910502335
"154",19.875,40.375,244.289983363822,0,NA,6.85946794611184,5.69386366610013,2043,95.4732201509177,1997,1,1.78305645529446
