"","LastName","FirstName","SpeciesName","ObservationID","DatasetID","Dataset","Exposition temperature","Latitude","Leaf mass per area based on fresh weight","Longitude","Maximum plant height","Plant height vegetative","Specific leaf area (SLA) per fresh weight","Stomata density","stomata density: lower surface only","stomata density: upper+lower / one-sided leaf area","LWC","LDMC"
"111","Cornelissen","Johannes","Alnus glutinosa",16544,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.571557971",NA,NA,NA,NA,"2.731398964"
"112","Cornelissen","Johannes","Alnus glutinosa",16545,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.683162304",NA,NA,NA,NA,"3.038636364"
"113","Cornelissen","Johannes","Alnus glutinosa",16546,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.698191057",NA,NA,NA,NA,"3.222253521"
"114","Cornelissen","Johannes","Alnus glutinosa",16547,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.628261328",NA,NA,NA,NA,"2.990418006"
"115","Cornelissen","Johannes","Alnus glutinosa",16548,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.605730028",NA,NA,NA,NA,"2.865"
"116","Cornelissen","Johannes","Alnus glutinosa",16549,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.3448",NA,NA,NA,NA,"3.094855305"
"117","Cornelissen","Johannes","Alnus glutinosa",16550,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.18594132",NA,NA,NA,NA,"3.307565217"
"118","Cornelissen","Johannes","Alnus glutinosa",16551,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.058266667",NA,NA,NA,NA,"2.814893617"
"119","Cornelissen","Johannes","Alnus glutinosa",16552,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.660240642",NA,NA,NA,NA,"2.747461538"
"120","Cornelissen","Johannes","Alnus glutinosa",16553,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"6.394428571",NA,NA,NA,NA,"3.105633803"
"121","Cornelissen","Johannes","Alnus glutinosa",16554,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.24729352",NA,NA,NA,NA,"3.420140187"
"122","Cornelissen","Johannes","Alnus glutinosa",16555,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.7115",NA,NA,NA,NA,"3.053824363"
"123","Cornelissen","Johannes","Alnus glutinosa",16556,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.410791599",NA,NA,NA,NA,"2.775328638"
"124","Cornelissen","Johannes","Alnus glutinosa",16557,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.999167534",NA,NA,NA,NA,"3.057727273"
"125","Cornelissen","Johannes","Alnus glutinosa",16558,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.385885167",NA,NA,NA,NA,"3.118235294"
"126","Cornelissen","Johannes","Alnus glutinosa",16559,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.453765586",NA,NA,NA,NA,"2.988441065"
"127","Cornelissen","Johannes","Alnus glutinosa",16560,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.839960474",NA,NA,NA,NA,"2.911024096"
"128","Cornelissen","Johannes","Alnus glutinosa",16561,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.468691358",NA,NA,NA,NA,"2.966860465"
"129","Cornelissen","Johannes","Alnus glutinosa",16562,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.170746073",NA,NA,NA,NA,"3.274285714"
"130","Cornelissen","Johannes","Alnus glutinosa",16563,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.14575",NA,NA,NA,NA,"2.913513514"
"131","Cornelissen","Johannes","Alnus glutinosa",16564,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.628615385",NA,NA,NA,NA,"2.652777778"
"132","Cornelissen","Johannes","Alnus glutinosa",16565,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.408990228",NA,NA,NA,NA,"3.050630915"
"133","Cornelissen","Johannes","Alnus glutinosa",16566,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.394772277",NA,NA,NA,NA,"3.03"
"134","Cornelissen","Johannes","Alnus glutinosa",16567,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.181517241",NA,NA,NA,NA,"3.009176471"
"135","Cornelissen","Johannes","Alnus glutinosa",16568,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.589212963",NA,NA,NA,NA,"2.865"
"136","Cornelissen","Johannes","Alnus glutinosa",16569,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.995631986",NA,NA,NA,NA,"3.115178571"
"137","Cornelissen","Johannes","Alnus glutinosa",16570,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.259134078",NA,NA,NA,NA,"3.296435644"
"138","Cornelissen","Johannes","Alnus glutinosa",16571,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.811415313",NA,NA,NA,NA,"2.893013699"
"139","Cornelissen","Johannes","Alnus glutinosa",16572,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.1632",NA,NA,NA,NA,"2.932017544"
"140","Cornelissen","Johannes","Alnus glutinosa",16573,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.831504178",NA,NA,NA,NA,"3.102469136"
"141","Cornelissen","Johannes","Alnus glutinosa",16574,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.590673469",NA,NA,NA,NA,"3.452272727"
"142","Cornelissen","Johannes","Alnus glutinosa",16575,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.653278008",NA,NA,NA,NA,"2.756964981"
"143","Cornelissen","Johannes","Alnus glutinosa",16576,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.797710438",NA,NA,NA,NA,"2.879543147"
"144","Cornelissen","Johannes","Alnus glutinosa",16577,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.935736196",NA,NA,NA,NA,"3.199065421"
"145","Cornelissen","Johannes","Alnus glutinosa",16578,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.98858209",NA,NA,NA,NA,"3.077037037"
"146","Cornelissen","Johannes","Alnus glutinosa",16579,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.177368421",NA,NA,NA,NA,"2.968405797"
"147","Cornelissen","Johannes","Alnus glutinosa",16580,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.49943662",NA,NA,NA,NA,"2.929845679"
"148","Cornelissen","Johannes","Alnus glutinosa",16581,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"6.294327273",NA,NA,NA,NA,"3.244382022"
"149","Cornelissen","Johannes","Alnus glutinosa",16582,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.599592391",NA,NA,NA,NA,"3.4224"
