model,m2lni  (nointer_2level.stan),m2l.winsp (winternosp_2level.stan),m2l.wstudy (nointer_2level_studyint_ncp.stan),,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy
,,,,,,,,,,,,,,,
data info,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c"
spcomplex,all spp,all sp,all sp,,sppcomplex,sppcomplex,sppcomplex,,sppcomplex.onecue,sppcomplex.onecue,sppcomplex.onecue,,sppcomplex.nocrops,sppcomplex.nocrops,sppcomplex.nocrops
diganostics,fine,fine,"Increased tree depth to 15, rhats>1.1 for all sp",,fine,fine,fine (!),,fine,fine,fine,,,,
model notes,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,,,,,,
,,,,,,,,,,,,,,,
N,3053,3053,3053,,2256,2256,2256,,2355,2355,2355,,2037,2037,2037
sp_n,203,203,203,,40,40,40,,43,43,43,,37,37,37
study_n,49,49,49,,43,43,43,,47,47,47,,37,37,37
preds centered,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,,
,,,,,,,,,,,,,,,
b_photo[200],0.059167367,-0.304335714,-0.177858516,,,,,,,,,,,,
b_photo[201],0.061102583,-0.341527424,-0.151051286,,,,,,,,,,,,
b_photo[202],-0.157065049,-0.461409406,-0.198263077,,,,,,,,,,,,
b_photo[203],-0.338128729,-0.707196664,-0.246428547,,,,,,,,,,,,
b_force[1],-8.226834563,-8.562127998,-4.920365832,,,,,,,,,,,,
b_force[2],-3.160222739,-3.858708771,-2.881621836,,,,,,,,,,,,
b_force[3],-12.25557341,-13.0309309,-14.83665353,,,,,,,,,,,,
b_force[4],2.495477676,-0.033238278,-4.407717861,,,,,,,,,,,,
b_force[5],-7.792893889,-5.935869166,-7.167277921,,,,,,,,,,,,
b_force[6],-5.748137953,-6.424282014,-5.438729984,,,,,,,,,,,,
b_force[7],-8.49904602,-8.747121703,-8.415217472,,,,,,,,,,,,
b_force[8],-2.578695212,-0.945144746,-3.267498969,,,,,,,,,,,,
b_force[9],-9.959903229,-11.3547314,-8.417914001,,,,,,,,,,,,
b_force[10],10.95711887,9.421220796,1.11027635,,,,,,,,,,,,
b_force[11],-5.917497919,-4.758521759,-6.134158268,,,,,,,,,,,,
b_force[12],-4.905240124,-4.448271908,-3.990607459,,,,,,,,,,,,
b_force[13],-29.57297334,-28.94737782,-13.70360589,,,,,,,,,,,,
b_force[14],-24.19612541,-23.74774472,-9.566499434,,,,,,,,,,,,
b_force[15],-27.74297839,-26.82066326,-8.336344499,,,,,,,,,,,,
b_force[16],-7.26043498,-7.639247168,-4.950015525,,,,,,,,,,,,
b_force[17],-9.313564813,-10.2280474,-9.26963604,,,,,,,,,,,,
b_force[18],0.724311267,-0.547565752,-0.116751967,,,,,,,,,,,,
b_force[19],-2.714975652,-3.503993792,-4.42497399,,,,,,,,,,,,
b_force[20],-7.842914246,-8.736809769,-9.595440232,,,,,,,,,,,,
b_force[21],-4.214382297,-5.257795602,-5.369249036,,,,,,,,,,,,
b_force[22],-15.17610467,-15.32994304,-9.658241273,,,,,,,,,,,,
b_force[23],-14.57613013,-15.46826387,-10.813818,,,,,,,,,,,,
b_force[24],0.681752489,-0.692631847,-1.028773932,,,,,,,,,,,,
b_force[25],-15.19116112,-15.75299231,-14.86466629,,,,,,,,,,,,
b_force[26],-9.92434061,-8.363903959,-7.215579918,,,,,,,,,,,,
b_force[27],-5.749951099,-6.563811835,-7.517306185,,,,,,,,,,,,
b_force[28],-9.686841422,-10.14411534,-10.49045334,,,,,,,,,,,,
b_force[29],-9.243688762,-7.657024801,-1.93313103,,,,,,,,,,,,
b_force[30],-0.472383512,-0.507196468,9.498606117,,,,,,,,,,,,
b_force[31],-3.26090766,-1.333896472,-2.94726312,,,,,,,,,,,,
b_force[32],-5.684969214,-5.767055968,-1.754119154,,,,,,,,,,,,
b_force[33],-2.158229392,-2.346303797,-1.199748083,,,,,,,,,,,,
b_force[34],-11.30497964,-10.62888887,-4.466464531,,,,,,,,,,,,
b_force[35],-1.311795028,-1.392848311,-2.906543323,,,,,,,,,,,,
b_force[36],-9.393356424,-7.5419936,-8.796557853,,,,,,,,,,,,
b_force[37],-7.850513031,-6.048502585,-7.307146436,,,,,,,,,,,,
b_force[38],-9.203154686,-9.765318274,-4.89815215,,,,,,,,,,,,
b_force[39],-11.11314438,-9.230833922,-10.45821556,,,,,,,,,,,,
b_force[40],-8.487169909,-9.106134227,-4.499147098,,,,,,,,,,,,
b_force[41],-9.148378743,-7.304803818,-8.569803272,,,,,,,,,,,,
b_force[42],-10.06990899,-10.11125837,-6.174413051,,,,,,,,,,,,
b_force[43],-3.278716817,-4.764078167,-0.582841496,,,,,,,,,,,,
b_force[44],-4.370968195,-5.514187399,-3.510478242,,,,,,,,,,,,
b_force[45],2.085967429,0.684530556,1.178018787,,,,,,,,,,,,
b_force[46],-9.325033348,-10.35963673,-5.738183073,,,,,,,,,,,,
b_force[47],-5.834094427,-6.381068791,-5.365724516,,,,,,,,,,,,
b_force[48],-2.055031298,-2.988313136,-1.793812263,,,,,,,,,,,,
b_force[49],-3.764301643,-5.07251028,-2.803293832,,,,,,,,,,,,
b_force[50],-1.514848621,-2.450474511,-1.66432134,,,,,,,,,,,,
b_force[51],-2.103016426,-3.049696711,-2.24546602,,,,,,,,,,,,
b_force[52],-1.255968368,-2.703140077,-1.39089008,,,,,,,,,,,,
b_force[53],1.509275375,0.211310894,1.18581941,,,,,,,,,,,,
b_force[54],-2.933070877,-4.346910591,-2.333132462,,,,,,,,,,,,
b_force[55],-0.926436732,-2.167410617,-1.018429119,,,,,,,,,,,,
b_force[56],-5.167818409,-6.119006592,-3.957418305,,,,,,,,,,,,
b_force[57],-0.65262764,-1.700476354,-1.193698787,,,,,,,,,,,,
b_force[58],-0.768405073,-1.333710329,-1.471201978,,,,,,,,,,,,
b_force[59],-4.635639305,-5.778831785,-3.4984265,,,,,,,,,,,,
b_force[60],1.186055268,-0.27630109,0.407178614,,,,,,,,,,,,
b_force[61],-1.922394404,-3.393857557,-1.913115612,,,,,,,,,,,,
b_force[62],-21.85447341,-22.11302566,-9.162129276,,,,,,,,,,,,
b_force[63],-2.804138991,-3.578027334,-3.301615756,,,,,,,,,,,,
b_force[64],-27.46233367,-27.30507322,-10.69957929,,,,,,,,,,,,
b_force[65],-5.00202209,-5.671512506,-4.49038149,,,,,,,,,,,,
b_force[66],-3.573546864,-3.600430662,-2.27002838,,,,,,,,,,,,
b_force[67],-2.245420054,-2.740032317,-3.503395153,,,,,,,,,,,,
b_force[68],-3.090672948,-3.52998474,-3.998237094,,,,,,,,,,,,
b_force[69],-7.942650641,-8.834209994,-5.480165881,,,,,,,,,,,,
b_force[70],-7.709682665,-8.402047181,-5.113247451,,,,,,,,,,,,
b_force[71],-5.985285661,-6.921950084,-4.346768457,,,,,,,,,,,,
b_force[72],-4.490984,-5.425703279,-3.643979729,,,,,,,,,,,,
b_force[73],-4.910767536,-5.636679448,-3.775185822,,,,,,,,,,,,
b_force[74],-4.590837187,-5.410602387,-3.591688865,,,,,,,,,,,,
b_force[75],-7.548069678,-8.323720214,-5.160105684,,,,,,,,,,,,
b_force[76],-4.522369714,-5.369623828,-3.657392411,,,,,,,,,,,,
b_force[77],-6.238571839,-6.91407069,-4.452368361,,,,,,,,,,,,
b_force[78],-6.57966019,-7.400464461,-4.710758975,,,,,,,,,,,,
b_force[79],-12.54240241,-13.02483911,-8.017548116,,,,,,,,,,,,
b_force[80],-10.13911572,-10.75672525,-6.471477817,,,,,,,,,,,,
b_force[81],-12.39214661,-12.83673126,-7.385110889,,,,,,,,,,,,
b_force[82],-7.489104143,-8.420722051,-5.278611507,,,,,,,,,,,,
b_force[83],-6.46667351,-7.287208685,-4.607169404,,,,,,,,,,,,
b_force[84],-7.081852946,-8.14543249,-4.945891808,,,,,,,,,,,,
b_force[85],-8.749449383,-9.34592556,-5.809288842,,,,,,,,,,,,
b_force[86],-8.248864389,-8.879575495,-5.461009225,,,,,,,,,,,,
b_force[87],-6.78752567,-7.488530436,-4.742750115,,,,,,,,,,,,
b_force[88],-6.917429178,-7.807756597,-4.955986769,,,,,,,,,,,,
b_force[89],-7.875755955,-8.746651135,-5.276612292,,,,,,,,,,,,
b_force[90],-8.362211659,-9.192456088,-5.874679314,,,,,,,,,,,,
b_force[91],-9.877187006,-10.41785807,-6.568478479,,,,,,,,,,,,
b_force[92],-6.578114154,-7.447223567,-4.754651196,,,,,,,,,,,,
b_force[93],-6.540425986,-7.250109634,-4.732979003,,,,,,,,,,,,
b_force[94],-7.111124741,-7.823536506,-4.983755322,,,,,,,,,,,,
b_force[95],-7.08717802,-7.794700076,-5.094765356,,,,,,,,,,,,
b_force[96],-6.372194068,-7.062290023,-4.457900765,,,,,,,,,,,,
b_force[97],-6.194604586,-6.857461787,-4.390763625,,,,,,,,,,,,
b_force[98],-6.408981951,-7.282744015,-4.560527744,,,,,,,,,,,,
b_force[99],-5.284938742,-6.207849871,-4.035963207,,,,,,,,,,,,
b_force[100],-6.551828603,-7.371676797,-4.579681002,,,,,,,,,,,,
b_force[101],-5.778723074,-6.671005375,-4.410721229,,,,,,,,,,,,
b_force[102],-7.362227879,-7.951960935,-4.974991492,,,,,,,,,,,,
b_force[103],-7.684391713,-8.724131925,-5.206383349,,,,,,,,,,,,
b_force[104],-6.181177422,-6.945372123,-4.479831365,,,,,,,,,,,,
b_force[105],-6.835405103,-7.395866656,-4.825081169,,,,,,,,,,,,
b_force[106],-5.769511978,-6.625493887,-4.24483731,,,,,,,,,,,,
b_force[107],-9.4433579,-10.30359916,-6.52972331,,,,,,,,,,,,
b_force[108],-4.847199104,-5.725178085,-3.946521902,,,,,,,,,,,,
b_force[109],-4.6168881,-5.538903416,-3.725816586,,,,,,,,,,,,
b_force[110],-5.710207973,-6.664832629,-4.286947435,,,,,,,,,,,,
b_force[111],-4.457943258,-5.170610573,-3.625201932,,,,,,,,,,,,
b_force[112],-5.176309392,-5.978460128,-3.884099869,,,,,,,,,,,,
b_force[113],-5.721139099,-6.559941449,-4.326078176,,,,,,,,,,,,
b_force[114],-5.176099421,-6.297899133,-4.002717787,,,,,,,,,,,,
b_force[115],-10.54513125,-11.23815975,-6.855109332,,,,,,,,,,,,
b_force[116],-5.104248073,-5.92454451,-3.946322049,,,,,,,,,,,,
b_force[117],-5.225562138,-5.998349394,-3.983767755,,,,,,,,,,,,
b_force[118],-9.636848451,-10.42477491,-6.355109047,,,,,,,,,,,,
b_force[119],-9.666546856,-10.30546385,-6.079890405,,,,,,,,,,,,
b_force[120],-6.031522514,-7.063046613,-4.454485954,,,,,,,,,,,,
b_force[121],-6.458182043,-7.266689187,-4.516948357,,,,,,,,,,,,
b_force[122],-6.208268512,-7.229069991,-4.574113177,,,,,,,,,,,,
b_force[123],-5.791395832,-6.661013529,-4.328781279,,,,,,,,,,,,
b_force[124],-5.150751661,-5.821195173,-3.91490735,,,,,,,,,,,,
b_force[125],-4.852231985,-5.641909281,-3.71070961,,,,,,,,,,,,
b_force[126],-4.647836227,-5.328657641,-3.699427124,,,,,,,,,,,,
b_force[127],-4.53111369,-5.284013254,-3.590386592,,,,,,,,,,,,
b_force[128],-6.314695709,-7.097996898,-4.419630351,,,,,,,,,,,,
b_force[129],-6.007799158,-6.805973427,-4.359688237,,,,,,,,,,,,
b_force[130],-4.750136263,-5.804486246,-3.811966743,,,,,,,,,,,,
b_force[131],-8.41730782,-9.117990567,-5.651411152,,,,,,,,,,,,
b_force[132],-7.409965445,-8.239786472,-5.191634773,,,,,,,,,,,,
b_force[133],-7.027921546,-7.706354448,-4.857231661,,,,,,,,,,,,
b_force[134],-6.235745465,-7.130596721,-4.474648351,,,,,,,,,,,,
b_force[135],-5.472649443,-6.152037514,-4.067468606,,,,,,,,,,,,
b_force[136],-4.232306542,-5.222371639,-3.50743265,,,,,,,,,,,,
b_force[137],-5.063288491,-5.880444174,-3.916738205,,,,,,,,,,,,
b_force[138],-6.862466475,-7.566249912,-4.881864379,,,,,,,,,,,,
b_force[139],-4.541714737,-5.359219808,-3.659641014,,,,,,,,,,,,
b_force[140],-4.953904481,-5.635061426,-3.894133404,,,,,,,,,,,,
b_force[141],-4.648728485,-5.822685492,-3.738818016,,,,,,,,,,,,
b_force[142],-5.083000159,-5.967873534,-3.953203407,,,,,,,,,,,,
b_force[143],-5.175613173,-6.068925422,-3.905345186,,,,,,,,,,,,
b_force[144],-5.067960049,-6.135171295,-3.84102675,,,,,,,,,,,,
b_force[145],-5.299010344,-6.199919561,-4.027637654,,,,,,,,,,,,
b_force[146],-5.325448326,-6.070899432,-3.965323498,,,,,,,,,,,,
b_force[147],-7.123380505,-7.859530656,-4.78859569,,,,,,,,,,,,
b_force[148],-5.450188157,-6.260798767,-4.223038143,,,,,,,,,,,,
b_force[149],-4.90642981,-5.753795786,-3.831721625,,,,,,,,,,,,
b_force[150],-4.739569428,-5.409002137,-3.848564945,,,,,,,,,,,,
b_force[151],-7.040543275,-7.674557075,-4.797195041,,,,,,,,,,,,
b_force[152],-5.988171193,-6.767136284,-4.442627034,,,,,,,,,,,,
b_force[153],-6.914321261,-7.648933406,-4.737036593,,,,,,,,,,,,
b_force[154],-5.394801065,-6.206001189,-4.071874121,,,,,,,,,,,,
b_force[155],-5.50525562,-6.295394236,-4.116502124,,,,,,,,,,,,
b_force[156],-7.99725411,-8.717318983,-5.318323968,,,,,,,,,,,,
b_force[157],-5.744470156,-6.718551123,-4.290596827,,,,,,,,,,,,
b_force[158],-7.148507012,-8.152227628,-4.974019025,,,,,,,,,,,,
b_force[159],-4.889008274,-5.859587789,-3.784772295,,,,,,,,,,,,
b_force[160],-6.683158869,-7.158450483,-4.299222528,,,,,,,,,,,,
b_force[161],-5.44185174,-6.40011572,-4.053351644,,,,,,,,,,,,
b_force[162],-5.247118779,-6.025534939,-4.020322795,,,,,,,,,,,,
b_force[163],-6.092910203,-7.045195925,-4.532825164,,,,,,,,,,,,
b_force[164],-9.91871993,-10.51666113,-6.287924486,,,,,,,,,,,,
b_force[165],-5.90484138,-6.682658307,-4.270980324,,,,,,,,,,,,
b_force[166],-6.138263021,-7.043854248,-4.420854436,,,,,,,,,,,,
b_force[167],-7.034050153,-8.023167072,-5.07561563,,,,,,,,,,,,
b_force[168],-6.675119818,-7.32225054,-4.633467197,,,,,,,,,,,,
b_force[169],-7.947340287,-8.637516404,-5.403304378,,,,,,,,,,,,
b_force[170],-7.119802801,-7.861750784,-5.088299457,,,,,,,,,,,,
b_force[171],-5.944780667,-6.816150628,-4.047690522,,,,,,,,,,,,
b_force[172],-5.800778941,-6.497522385,-4.237719148,,,,,,,,,,,,
b_force[173],-7.146249586,-7.976010649,-5.010202645,,,,,,,,,,,,
b_force[174],-5.010456288,-5.798160112,-3.789674158,,,,,,,,,,,,
b_force[175],-6.736865613,-7.605361626,-4.74004006,,,,,,,,,,,,
b_force[176],-6.533088295,-7.400449197,-4.664686866,,,,,,,,,,,,
b_force[177],-6.450815103,-7.195758314,-4.776126487,,,,,,,,,,,,
b_force[178],-6.588719931,-7.235280823,-4.543634582,,,,,,,,,,,,
b_force[179],-6.34361186,-7.333870278,-4.620435308,,,,,,,,,,,,
b_force[180],-4.812242945,-5.431208153,-3.664281162,,,,,,,,,,,,
b_force[181],-5.937441215,-6.879904418,-4.362994124,,,,,,,,,,,,
b_force[182],-8.826514047,-9.454790709,-5.994398464,,,,,,,,,,,,
b_force[183],-7.637250719,-8.122795835,-5.306704964,,,,,,,,,,,,
b_force[184],-6.377540885,-7.264035249,-4.438294448,,,,,,,,,,,,
b_force[185],-4.999899802,-6.02600087,-3.900063347,,,,,,,,,,,,
b_force[186],-7.642655488,-8.544316738,-5.290121171,,,,,,,,,,,,
b_force[187],-7.303243121,-8.138776316,-5.1395444,,,,,,,,,,,,
b_force[188],-8.565920561,-9.385212638,-5.772406669,,,,,,,,,,,,
b_force[189],-6.478805952,-7.223877894,-4.629803103,,,,,,,,,,,,
b_force[190],-7.269803171,-7.884834568,-4.973570465,,,,,,,,,,,,
b_force[191],-5.045588688,-6.00140228,-4.065033048,,,,,,,,,,,,
b_force[192],-6.131448157,-7.060156701,-4.549148951,,,,,,,,,,,,
b_force[193],-5.170981746,-6.104956851,-4.010142409,,,,,,,,,,,,
b_force[194],-5.523853964,-6.469712835,-4.148870981,,,,,,,,,,,,
b_force[195],-7.134814262,-7.884691401,-5.114402626,,,,,,,,,,,,
b_force[196],-5.959927908,-6.868250103,-4.327844988,,,,,,,,,,,,
b_force[197],-5.685307092,-6.395925993,-4.168927363,,,,,,,,,,,,
b_force[198],-5.556212914,-6.244743661,-4.046622525,,,,,,,,,,,,
b_force[199],-5.737782315,-6.748442182,-4.295232616,,,,,,,,,,,,
b_force[200],-4.425116198,-4.958082817,-3.505385053,,,,,,,,,,,,
b_force[201],-4.511656066,-5.211256326,-3.514428162,,,,,,,,,,,,
b_force[202],-4.975324138,-5.806111711,-3.779727938,,,,,,,,,,,,
b_force[203],-5.882956839,-6.779948816,-4.27226821,,,,,,,,,,,,
,,,,,,,,,,,,,,,
a_study[1],,,11.60170189,,,,,,,,,,,,
a_study[2],,,18.95248712,,,,,,,,,,,,
a_study[3],,,-11.64484884,,,,,,,,,,,,
a_study[4],,,-3.240721308,,,,,,,,,,,,
a_study[5],,,6.088242514,,,,,,,,,,,,
a_study[6],,,-2.852871556,,,,,,,,,,,,
a_study[7],,,5.629708744,,,,,,,,,,,,
a_study[8],,,11.48188251,,,,,,,,,,,,
a_study[9],,,13.24621653,,,,,,,,,,,,
a_study[10],,,28.69484709,,,,,,,,,,,,
a_study[11],,,54.5695902,,,,,,,,,,,,
a_study[12],,,28.06196865,,,,,,,,,,,,
a_study[13],,,31.38030128,,,,,,,,,,,,
a_study[14],,,6.350071064,,,,,,,,,,,,
a_study[15],,,6.720706712,,,,,,,,,,,,
a_study[16],,,31.28815672,,,,,,,,,,,,
a_study[17],,,90.81830981,,,,,,,,,,,,
a_study[18],,,-8.260659199,,,,,,,,,,,,
a_study[19],,,1.82135237,,,,,,,,,,,,
a_study[20],,,17.4060649,,,,,,,,,,,,
a_study[21],,,9.031083769,,,,,,,,,,,,
a_study[22],,,35.16079499,,,,,,,,,,,,
a_study[23],,,15.76462713,,,,,,,,,,,,
a_study[24],,,19.02767816,,,,,,,,,,,,
a_study[25],,,27.35316843,,,,,,,,,,,,
a_study[26],,,108.2649504,,,,,,,,,,,,
a_study[27],,,7.128597537,,,,,,,,,,,,
a_study[28],,,70.85649091,,,,,,,,,,,,
a_study[29],,,7.777857728,,,,,,,,,,,,
a_study[30],,,-11.56627478,,,,,,,,,,,,
a_study[31],,,10.60141661,,,,,,,,,,,,
a_study[32],,,33.3021642,,,,,,,,,,,,
a_study[33],,,-8.42238131,,,,,,,,,,,,
a_study[34],,,31.53326759,,,,,,,,,,,,
a_study[35],,,10.7631929,,,,,,,,,,,,
a_study[36],,,26.36759619,,,,,,,,,,,,
a_study[37],,,17.14517685,,,,,,,,,,,,
a_study[38],,,49.6798761,,,,,,,,,,,,
a_study[39],,,79.20295271,,,,,,,,,,,,
a_study[40],,,54.13947501,,,,,,,,,,,,
,,,-3.394236469,,,,,,,,,,,,
,,,1.175170287,,,,,,,,,,,,
,,,13.30111006,,,,,,,,,,,,
,,,26.83723205,,,,,,,,,,,,
,,,26.35427765,,,,,,,,,,,,
,,,11.12440851,,,,,,,,,,,,
,,,24.96927233,,,,,,,,,,,,
,,,14.10295571,,,,,,,,,,,,
,,,22.41435761,,,,,,,,,,,,
