mu_b_force_sp,-0.224,-6.739,-0.221340543,-6.643626082,-0.236453994,-7.196205688,-0.208213246,-6.194859481,-0.161227886,-4.682163713,-0.201331178,-5.991075931,-0.180989381,-5.27269851,-0.201333591,-5.951022798
b_photo[140],,,,,,,,,-0.039410655,-1.07578537,-0.053656012,-1.474916918,,,,
b_photo[141],,,,,,,,,-0.02969601,-0.806656099,-0.048593848,-1.331619813,,,,
b_photo[142],,,,,,,,,-0.033490105,-0.911454622,-0.049616112,-1.360499104,,,,
b_photo[143],,,,,,,,,-0.041535016,-1.134986721,-0.053316529,-1.4652843,,,,
b_photo[144],,,,,,,,,-0.042502039,-1.161977238,-0.057003771,-1.570082814,,,,
b_photo[145],,,,,,,,,-0.042383081,-1.158655592,-0.054945847,-1.511544992,,,,
b_photo[146],,,,,,,,,-0.034728101,-0.945736021,-0.046622306,-1.276006409,,,,
b_photo[147],,,,,,,,,-0.031242689,-0.84932968,-0.045028637,-1.231132152,,,,
b_photo[148],,,,,,,,,-0.041260436,-1.12732769,-0.059283437,-1.635068854,,,,
b_photo[149],,,,,,,,,-0.051825053,-1.423534462,-0.065096258,-1.80144602,,,,
b_photo[150],,,,,,,,,-0.045020717,-1.232398522,-0.062094465,-1.715406612,,,,
b_photo[151],,,,,,,,,-0.038548126,-1.051784444,-0.049729393,-1.363701166,,,,
b_photo[152],,,,,,,,,-0.037161438,-1.013241486,-0.050923291,-1.397470392,,,,
b_photo[153],,,,,,,,,-0.048682032,-1.335084379,-0.065849149,-1.823066448,,,,
b_photo[154],,,,,,,,,-0.039497145,-1.078193218,-0.056222507,-1.547845494,,,,
b_photo[155],,,,,,,,,-0.049430987,-1.356136059,-0.061994305,-1.712540195,,,,
b_photo[156],,,,,,,,,-0.035608723,-0.970147203,-0.04793623,-1.313057513,,,,
b_photo[157],,,,,,,,,-0.028290711,-0.767940474,-0.043887284,-1.19903805,,,,
b_photo[158],,,,,,,,,-0.037074112,-1.010816047,-0.053398662,-1.46761448,,,,
b_photo[159],,,,,,,,,-0.038510461,-1.050736821,-0.051609605,-1.416900944,,,,
b_photo[160],,,,,,,,,-0.038180514,-1.04156146,-0.053033137,-1.457245738,,,,
b_photo[161],,,,,,,,,-0.05117121,-1.405111266,-0.066296698,-1.835926193,,,,
b_photo[162],,,,,,,,,-0.034931735,-0.951378931,-0.053304914,-1.464954783,,,,
b_photo[163],,,,,,,,,-0.037802062,-1.031040977,-0.056110745,-1.544665832,,,,
b_photo[164],,,,,,,,,-0.051869689,-1.42479261,-0.06657831,-1.844020915,,,,
b_photo[165],,,,,,,,,-0.04533711,-1.241257306,-0.061623696,-1.701936533,,,,
b_photo[166],,,,,,,,,-0.048471267,-1.329163028,-0.062514912,-1.727442204,,,,
b_photo[167],,,,,,,,,-0.057922813,-1.595930953,-0.069060357,-1.915464151,,,,
b_photo[168],,,,,,,,,-0.014487657,-0.390547513,-0.031127629,-0.842727577,,,,
b_photo[169],,,,,,,,,-0.044935818,-1.230021897,-0.060256119,-1.662842078,,,,
b_photo[170],,,,,,,,,-0.049223085,-1.350290753,-0.06458583,-1.786797552,,,,
b_photo[171],,,,,,,,,-0.031280728,-0.850380019,-0.045129965,-1.233983207,,,,
b_photo[172],,,,,,,,,-0.04721614,-1.293926591,-0.062073477,-1.714805935,,,,
b_photo[173],,,,,,,,,-0.033692329,-0.917051524,-0.05098343,-1.399172472,,,,
b_photo[174],,,,,,,,,-0.053301957,-1.465193211,-0.068466524,-1.898355124,,,,
b_photo[175],,,,,,,,,-0.045345681,-1.241497326,-0.060867718,-1.680319039,,,,
b_photo[176],,,,,,,,,-0.041504622,-1.134138803,-0.056226013,-1.547945256,,,,
b_photo[177],,,,,,,,,-0.02928542,-0.79533883,-0.046098881,-1.261260024,,,,
b_photo[178],,,,,,,,,-0.04507588,-1.233942846,-0.063597274,-1.758448841,,,,
b_photo[179],,,,,,,,,-0.066085329,-1.828354027,-0.079776697,-2.22596697,,,,
b_photo[180],,,,,,,,,-0.06378532,-1.762670467,-0.076520764,-2.131275114,,,,
b_photo[181],,,,,,,,,-0.049253701,-1.351151454,-0.063149664,-1.745622002,,,,
b_photo[182],,,,,,,,,-0.030297265,-0.82323717,-0.048778985,-1.336847805,,,,
b_photo[183],,,,,,,,,-0.06360933,-1.757650759,-0.078046081,-2.175597321,,,,
b_photo[184],,,,,,,,,-0.056390706,-1.552516136,-0.07327477,-2.03717872,,,,
b_photo[185],,,,,,,,,-0.066476319,-1.839534922,-0.08019476,-2.238147817,,,,
b_photo[186],,,,,,,,,-0.042882235,-1.172595998,-0.058748479,-1.61980561,,,,
b_photo[187],,,,,,,,,-0.041678947,-1.139002305,-0.058526706,-1.613480422,,,,
b_photo[188],,,,,,,,,-0.037958994,-1.035403012,-0.051440488,-1.412111736,,,,
b_photo[189],,,,,,,,,-0.046194378,-1.26527428,-0.06113491,-1.687957628,,,,
b_photo[190],,,,,,,,,-0.041296601,-1.128336335,-0.05833927,-1.608135681,,,,
b_photo[191],,,,,,,,,-0.045464987,-1.244838557,-0.056283336,-1.549576271,,,,
b_photo[192],,,,,,,,,-0.059679167,-1.645782085,-0.071802511,-1.994600751,,,,
b_photo[193],,,,,,,,,-0.042267721,-1.155434794,-0.059860533,-1.65154356,,,,
b_photo[194],,,,,,,,,-0.045295203,-1.240083768,-0.058090903,-1.601055003,,,,
b_photo[195],,,,,,,,,-0.036962205,-1.007708213,-0.052727648,-1.44858292,,,,
b_photo[196],,,,,,,,,-0.037119508,-1.012076891,-0.056506376,-1.555923317,,,,
b_photo[197],,,,,,,,,-0.022264006,-0.602521872,-0.0341032,-0.92541369,,,,
b_photo[198],,,,,,,,,-0.023446502,-0.63489999,-0.039615049,-1.079230217,,,,
b_photo[199],,,,,,,,,-0.033114975,-0.901075264,-0.048364778,-1.325152577,,,,
b_photo[200],,,,,,,,,-0.038840618,-1.059921079,-0.050198949,-1.376977669,,,,
b_force[1],,,,,,,,,-0.125004073,-3.563503092,-0.143970072,-4.157260156,,,,
b_force[2],,,,,,,,,-0.032811678,-0.892686261,-0.081500216,-2.276216792,,,,
b_force[3],,,,,,,,,-0.298999737,-9.326963867,-0.216141359,-6.481887456,,,,
b_force[4],,,,,,,,,-0.192312211,-5.67494857,-0.202517109,-6.030110669,,,,
b_force[5],,,,,,,,,-0.279224836,-8.620309221,-0.254052258,-7.771884686,,,,
b_force[6],,,,,,,,,-0.161635683,-4.694989349,-0.137797412,-3.966118412,,,,
b_force[7],,,,,,,,,-0.353810919,-11.36028292,-0.360704874,-11.67460633,,,,
b_force[8],,,,,,,,,-0.208411931,-6.201408264,-0.22758126,-6.866014802,,,,
b_force[9],,,,,,,,,-0.214388071,-6.398994743,-0.293311554,-9.160322304,,,,
b_force[10],,,,,,,,,-0.404060524,-13.32488226,-0.443165811,-14.99070191,,,,
b_force[11],,,,,,,,,-0.398693988,-13.11032835,-0.438276323,-14.7863569,,,,
b_force[12],,,,,,,,,-0.179809791,-5.271927128,-0.216132678,-6.481597664,,,,
b_force[13],,,,,,,,,-0.214597891,-6.405953398,-0.227049405,-6.848058702,,,,
b_force[14],,,,,,,,,0.02622171,0.692636611,-0.031625806,-0.856553933,,,,
b_force[15],,,,,,,,,-0.111979821,-3.171091139,-0.132013878,-3.788093769,,,,
b_force[16],,,,,,,,,-0.330494201,-10.48166878,-0.362432001,-11.7412945,,,,
b_force[17],,,,,,,,,-0.106425272,-3.005284712,-0.153002513,-4.439092492,,,,
b_force[18],,,,,,,,,-0.241002352,-7.293412259,-0.217910898,-6.541017882,,,,
b_force[19],,,,,,,,,-0.11298051,-3.201060322,-0.149873146,-4.341160923,,,,
b_force[20],,,,,,,,,0.033863743,0.891103727,-0.029677547,-0.802521303,,,,
b_force[21],,,,,,,,,-0.347841891,-11.13340499,-0.346461001,-11.12898877,,,,
b_force[22],,,,,,,,,-0.605485491,-22.27014957,-0.612627506,-22.72731927,,,,
b_force[23],,,,,,,,,-0.252105165,-7.67363506,-0.296406947,-9.272129353,,,,
b_force[24],,,,,,,,,-0.231020407,-6.955159447,-0.259666751,-7.967121287,,,,
b_force[25],,,,,,,,,-0.320235774,-10.10155566,-0.291307313,-9.088112549,,,,
b_force[26],,,,,,,,,-0.906106093,-39.46572694,-0.891573128,-38.69556179,,,,
b_force[27],,,,,,,,,-0.258348901,-7.889317541,-0.267907286,-8.255667448,,,,
b_force[28],,,,,,,,,-0.114152067,-3.236184848,-0.15506107,-4.503681028,,,,
b_force[29],,,,,,,,,-0.043703794,-1.195555732,-0.037890364,-1.03100909,,,,
b_force[30],,,,,,,,,-0.407382235,-13.45826224,-0.423361652,-14.16916897,,,,
b_force[31],,,,,,,,,-0.366516388,-11.84774033,-0.364232656,-11.81094454,,,,
b_force[32],,,,,,,,,-0.24555737,-7.448891155,-0.167984753,-4.912221662,,,,
b_force[33],,,,,,,,,-0.590575288,-21.54448678,-0.603337278,-22.26836566,,,,
b_force[34],,,,,,,,,-0.367989325,-11.90465262,-0.376508185,-12.28912322,,,,
b_force[35],,,,,,,,,-0.293115339,-9.115222983,-0.332567117,-10.60421312,,,,
b_force[36],,,,,,,,,-0.397345151,-13.05658273,-0.404345713,-13.3954983,,,,
b_force[37],,,,,,,,,-0.261268766,-7.990643883,-0.294956972,-9.219712493,,,,
b_force[38],,,,,,,,,-0.313334581,-9.848025847,-0.321489314,-10.19099453,,,,
b_force[39],,,,,,,,,0.775646013,14.44085367,0.730957866,13.95496454,,,,
b_force[40],,,,,,,,,-0.26456504,-8.105388652,-0.290195238,-9.048108572,,,,
b_force[41],,,,,,,,,-0.206033384,-6.123095338,-0.261527265,-8.032060367,,,,
b_force[42],,,,,,,,,-0.084100412,-2.348087279,-0.150841293,-4.371425743,,,,
b_force[43],,,,,,,,,0.107258866,2.721926277,0.08289804,2.147426115,,,,
b_force[44],,,,,,,,,-0.28190178,-8.715153803,-0.337899142,-10.80474344,,,,
b_force[45],,,,,,,,,-0.226803703,-6.813281582,-0.244626242,-7.446562347,,,,
b_force[46],,,,,,,,,-0.018544911,-0.500937926,-0.063465086,-1.754660231,,,,
b_force[47],,,,,,,,,-0.064161722,-1.773409394,-0.131778999,-3.780885642,,,,
b_force[48],,,,,,,,,-0.025437219,-0.689494679,-0.090316763,-2.534625396,,,,
b_force[49],,,,,,,,,-0.042089323,-1.150454749,-0.097443879,-2.745189261,,,,
b_force[50],,,,,,,,,-0.007216768,-0.193837038,-0.072246472,-2.007433586,,,,
b_force[51],,,,,,,,,0.099755713,2.540868084,0.049283771,1.301098265,,,,
b_force[52],,,,,,,,,-0.032339863,-0.87964122,-0.102922293,-2.90806704,,,,
b_force[53],,,,,,,,,0.009586559,0.255334009,-0.068556513,-1.900947156,,,,
b_force[54],,,,,,,,,-0.103387191,-2.914985155,-0.162291521,-4.731597675,,,,
b_force[55],,,,,,,,,0.039819856,1.044738427,-0.028599645,-0.772672184,,,,
b_force[56],,,,,,,,,0.035750946,0.93988217,0.020852571,0.562722661,,,,
b_force[57],,,,,,,,,-0.090423742,-2.532746065,-0.139619484,-4.022417764,,,,
b_force[58],,,,,,,,,0.078866979,2.029588382,-0.003154767,-0.07731987,,,,
b_force[59],,,,,,,,,-0.02640459,-0.71606374,-0.110412977,-3.132220316,,,,
b_force[60],,,,,,,,,-0.223078997,-6.688454458,-0.252708657,-7.72532507,,,,
b_force[61],,,,,,,,,-0.093721563,-2.629515879,-0.121106377,-3.455135964,,,,
b_force[62],,,,,,,,,-0.137792109,-3.953802815,-0.179990069,-5.296490723,,,,
b_force[63],,,,,,,,,-0.085750764,-2.396169589,-0.123031332,-3.51363274,,,,
b_force[64],,,,,,,,,-0.029959967,-0.813934126,-0.049880997,-1.367987032,,,,
b_force[65],,,,,,,,,-0.078154249,-2.175504857,-0.100774224,-2.844096817,,,,
b_force[66],,,,,,,,,-0.198425343,-5.87385004,-0.245888989,-7.489966162,,,,
b_force[67],,,,,,,,,-0.193695079,-5.71983626,-0.232798419,-7.042660144,,,,
b_force[68],,,,,,,,,-0.153901601,-4.4526333,-0.211041326,-6.312050417,,,,
b_force[69],,,,,,,,,-0.088681305,-2.481745469,-0.134243028,-3.856587983,,,,
b_force[70],,,,,,,,,-0.110018077,-3.112426772,-0.154732569,-4.4933652,,,,
b_force[71],,,,,,,,,-0.088685956,-2.481881504,-0.140523851,-4.05039948,,,,
b_force[72],,,,,,,,,-0.18607764,-5.473344384,-0.239630202,-7.2753722,,,,
b_force[73],,,,,,,,,-0.094054676,-2.639308354,-0.145363488,-4.200571956,,,,
b_force[74],,,,,,,,,-0.154365968,-4.467131918,-0.202893902,-6.042522443,,,,
b_force[75],,,,,,,,,-0.165398779,-4.813589754,-0.214246024,-6.41866946,,,,
b_force[76],,,,,,,,,-0.271964746,-8.364357407,-0.309206104,-9.738132618,,,,
b_force[77],,,,,,,,,-0.218538323,-6.536909093,-0.26863444,-8.281243422,,,,
b_force[78],,,,,,,,,-0.246364988,-7.476532036,-0.289092013,-9.008466903,,,,
b_force[79],,,,,,,,,-0.193772566,-5.722353312,-0.238721857,-7.244339413,,,,
b_force[80],,,,,,,,,-0.160887267,-4.671454901,-0.209878811,-6.273458396,,,,
b_force[81],,,,,,,,,-0.186652693,-5.491886997,-0.225689351,-6.802184897,,,,
b_force[82],,,,,,,,,-0.216084457,-6.455297091,-0.259993369,-7.978512742,,,,
b_force[83],,,,,,,,,-0.199976166,-5.924502434,-0.246457487,-7.509524791,,,,
b_force[84],,,,,,,,,-0.178840398,-5.2408883,-0.223670676,-6.734211148,,,,
b_force[85],,,,,,,,,-0.176918098,-5.179427348,-0.219083685,-6.580265078,,,,
b_force[86],,,,,,,,,-0.202601676,-6.010435151,-0.243244158,-7.399119423,,,,
b_force[87],,,,,,,,,-0.215390856,-6.432265207,-0.261105829,-8.017340044,,,,
b_force[88],,,,,,,,,-0.232768268,-7.014144717,-0.279508571,-8.665943149,,,,
b_force[89],,,,,,,,,-0.174941923,-5.116366932,-0.217722994,-6.534733963,,,,
b_force[90],,,,,,,,,-0.171208595,-4.997574702,-0.213856567,-6.405694121,,,,
b_force[91],,,,,,,,,-0.185019824,-5.439262862,-0.228585499,-6.899945285,,,,
b_force[92],,,,,,,,,-0.18264898,-5.363008062,-0.227495508,-6.863119071,,,,
b_force[93],,,,,,,,,-0.159625793,-4.631826852,-0.203405493,-6.059382055,,,,
b_force[94],,,,,,,,,-0.154177432,-4.461244568,-0.199941916,-5.945407376,,,,
b_force[95],,,,,,,,,-0.163910628,-4.766634783,-0.209360959,-6.256281678,,,,
b_force[96],,,,,,,,,-0.134464719,-3.85176768,-0.175549278,-5.153810909,,,,
b_force[97],,,,,,,,,-0.167094021,-4.867164187,-0.211260668,-6.319336965,,,,
b_force[98],,,,,,,,,-0.150195734,-4.337168405,-0.187811167,-5.549323445,,,,
b_force[99],,,,,,,,,-0.181594987,-5.329165877,-0.231987532,-7.015144159,,,,
b_force[100],,,,,,,,,-0.192750188,-5.689158535,-0.23982308,-7.281965345,,,,
b_force[101],,,,,,,,,-0.155725655,-4.509623282,-0.203888964,-6.075322861,,,,
b_force[102],,,,,,,,,-0.18328199,-5.383350217,-0.223784486,-6.738039766,,,,
b_force[103],,,,,,,,,-0.153770863,-4.448552585,-0.196625505,-5.836644815,,,,
b_force[104],,,,,,,,,-0.23122017,-6.961895681,-0.277371346,-8.590002805,,,,
b_force[105],,,,,,,,,-0.113692081,-3.22238907,-0.156067918,-4.535320007,,,,
b_force[106],,,,,,,,,-0.095998582,-2.696518229,-0.141710534,-4.087154663,,,,
b_force[107],,,,,,,,,-0.143165159,-4.119286974,-0.194257241,-5.759197437,,,,
b_force[108],,,,,,,,,-0.074737892,-2.076811139,-0.128473671,-3.679628579,,,,
b_force[109],,,,,,,,,-0.118213859,-3.358280879,-0.167984875,-4.912225567,,,,
b_force[110],,,,,,,,,-0.149416592,-4.312946826,-0.191905571,-5.682473969,,,,
b_force[111],,,,,,,,,-0.126327392,-3.603660585,-0.170649793,-4.997126993,,,,
b_force[112],,,,,,,,,-0.245181851,-7.436046581,-0.291045667,-9.078696534,,,,
b_force[113],,,,,,,,,-0.123746897,-3.525401999,-0.167702651,-4.903247438,,,,
b_force[114],,,,,,,,,-0.117458684,-3.335543038,-0.173983483,-5.103653828,,,,
b_force[115],,,,,,,,,-0.221391236,-6.632044929,-0.270933217,-8.362220119,,,,
b_force[116],,,,,,,,,-0.220381945,-6.598357184,-0.258794279,-7.936710218,,,,
b_force[117],,,,,,,,,-0.156167305,-4.52343763,-0.203010894,-6.046377191,,,,
b_force[118],,,,,,,,,-0.160450386,-4.657725029,-0.208131948,-6.21555202,,,,
b_force[119],,,,,,,,,-0.157981242,-4.58023979,-0.210224621,-6.284933553,,,,
b_force[120],,,,,,,,,-0.14196701,-4.082308232,-0.196355979,-5.827821468,,,,
b_force[121],,,,,,,,,-0.109336138,-3.092060868,-0.157470743,-4.579455186,,,,
b_force[122],,,,,,,,,-0.107287923,-3.03097498,-0.145944444,-4.218647736,,,,
b_force[123],,,,,,,,,-0.090853001,-2.545324015,-0.136293186,-3.919717273,,,,
b_force[124],,,,,,,,,-0.089625925,-2.509383186,-0.139403276,-4.015731873,,,,
b_force[125],,,,,,,,,-0.16186841,-4.702311191,-0.203884105,-6.075162621,,,,
b_force[126],,,,,,,,,-0.15918253,-4.61791402,-0.197941939,-5.879774448,,,,
b_force[127],,,,,,,,,-0.112705128,-3.192810052,-0.157177083,-4.570211039,,,,
b_force[128],,,,,,,,,-0.201557804,-5.976242289,-0.246914258,-7.525247582,,,,
b_force[129],,,,,,,,,-0.181357712,-5.32155225,-0.226319313,-6.823425385,,,,
b_force[130],,,,,,,,,-0.175292284,-5.127537964,-0.219890906,-6.607305412,,,,
b_force[131],,,,,,,,,-0.154893025,-4.483596026,-0.203652621,-6.067529298,,,,
b_force[132],,,,,,,,,-0.130951067,-3.744388737,-0.179605784,-5.284118832,,,,
b_force[133],,,,,,,,,-0.078231382,-2.17773703,-0.132949572,-3.81682588,,,,
b_force[134],,,,,,,,,-0.123608159,-3.521200195,-0.171843278,-5.035223566,,,,
b_force[135],,,,,,,,,-0.177650185,-5.202820145,-0.217661027,-6.532661909,,,,
b_force[136],,,,,,,,,-0.0894311,-2.503680871,-0.136645504,-3.930579057,,,,
b_force[137],,,,,,,,,-0.106077231,-2.994926135,-0.155558514,-4.519308624,,,,
b_force[138],,,,,,,,,-0.106053632,-2.994223873,-0.149262247,-4.322078951,,,,
b_force[139],,,,,,,,,-0.121755655,-3.465151553,-0.167463341,-4.895636502,,,,
b_force[140],,,,,,,,,-0.124582406,-3.550718331,-0.169284431,-4.953599757,,,,
b_force[141],,,,,,,,,-0.11898693,-3.381575368,-0.163658974,-4.774887828,,,,
b_force[142],,,,,,,,,-0.130126433,-3.719242116,-0.178960087,-5.263341586,,,,
b_force[143],,,,,,,,,-0.131482473,-3.76060456,-0.174121161,-5.108060907,,,,
b_force[144],,,,,,,,,-0.176537228,-5.16726395,-0.225549236,-6.797462433,,,,
b_force[145],,,,,,,,,-0.142098892,-4.086376342,-0.191038239,-5.654222723,,,,
b_force[146],,,,,,,,,-0.118878598,-3.378309958,-0.160246372,-4.666963716,,,,
b_force[147],,,,,,,,,-0.099743817,-2.807055854,-0.150972313,-4.375523752,,,,
b_force[148],,,,,,,,,-0.17330511,-5.064229943,-0.217631801,-6.531684712,,,,
b_force[149],,,,,,,,,-0.155438921,-4.50065778,-0.19888752,-5.910789075,,,,
b_force[150],,,,,,,,,-0.172638357,-5.043016463,-0.221087388,-6.647425406,,,,
b_force[151],,,,,,,,,-0.131760004,-3.769076819,-0.177417882,-5.213770781,,,,
b_force[152],,,,,,,,,-0.136505651,-3.914313042,-0.179445657,-5.278965027,,,,
b_force[153],,,,,,,,,-0.19512643,-5.766363101,-0.240286406,-7.297808403,,,,
b_force[154],,,,,,,,,-0.143570016,-4.131792196,-0.189347629,-5.599225501,,,,
b_force[155],,,,,,,,,-0.179158814,-5.25108029,-0.233102699,-7.052991087,,,,
b_force[156],,,,,,,,,-0.114359691,-3.242413952,-0.167514987,-4.897278884,,,,
b_force[157],,,,,,,,,-0.161834147,-4.701233157,-0.203719892,-6.069747417,,,,
b_force[158],,,,,,,,,-0.131021909,-3.746549977,-0.178001598,-5.232524061,,,,
b_force[159],,,,,,,,,-0.13430119,-3.846761799,-0.180731097,-5.320361254,,,,
b_force[160],,,,,,,,,-0.150147764,-4.335676616,-0.197774226,-5.874276591,,,,
b_force[161],,,,,,,,,-0.222394868,-6.665577539,-0.262471426,-8.06506148,,,,
b_force[162],,,,,,,,,-0.147411272,-4.25069313,-0.194094672,-5.753887776,,,,
b_force[163],,,,,,,,,-0.162015749,-4.706947518,-0.20868604,-6.233908552,,,,
b_force[164],,,,,,,,,-0.177680448,-5.203787525,-0.229497978,-6.930804981,,,,
b_force[165],,,,,,,,,-0.167356493,-4.875467183,-0.211385968,-6.323500133,,,,
b_force[166],,,,,,,,,-0.192910847,-5.694372596,-0.235149048,-7.122550641,,,,
b_force[167],,,,,,,,,-0.186006706,-5.471057861,-0.227057155,-6.848320282,,,,
b_force[168],,,,,,,,,-0.149609373,-4.318938167,-0.193869147,-5.746523388,,,,
b_force[169],,,,,,,,,-0.147107414,-4.241270985,-0.194243531,-5.758749622,,,,
b_force[170],,,,,,,,,-0.184344656,-5.417528646,-0.230704177,-6.971641462,,,,
b_force[171],,,,,,,,,-0.11597142,-3.29081265,-0.166670961,-4.870448885,,,,
b_force[172],,,,,,,,,-0.176372749,-5.162012611,-0.219929332,-6.60859316,,,,
b_force[173],,,,,,,,,-0.156895468,-4.546227156,-0.205692078,-6.13484249,,,,
b_force[174],,,,,,,,,-0.172051713,-5.024363448,-0.212648469,-6.365476704,,,,
b_force[175],,,,,,,,,-0.162800308,-4.731646826,-0.210264973,-6.286272839,,,,
b_force[176],,,,,,,,,-0.166702687,-4.854788854,-0.21551747,-6.461064718,,,,
b_force[177],,,,,,,,,-0.100607456,-2.832604276,-0.146988814,-4.251168578,,,,
b_force[178],,,,,,,,,-0.152239609,-4.400797171,-0.198416766,-5.8953449,,,,
b_force[179],,,,,,,,,-0.211985558,-6.319419543,-0.25770225,-7.898683637,,,,
b_force[180],,,,,,,,,-0.194338248,-5.740734566,-0.239303076,-7.264193001,,,,
b_force[181],,,,,,,,,-0.165355195,-4.812213577,-0.206302895,-6.155029489,,,,
b_force[182],,,,,,,,,-0.119497993,-3.396984783,-0.167768637,-4.905346373,,,,
b_force[183],,,,,,,,,-0.199712607,-5.915888627,-0.244597403,-7.445571734,,,,
b_force[184],,,,,,,,,-0.186578909,-5.489507257,-0.230679042,-6.970789998,,,,
b_force[185],,,,,,,,,-0.212751497,-6.344767946,-0.256707816,-7.864091587,,,,
b_force[186],,,,,,,,,-0.163309732,-4.747694775,-0.210016989,-6.278043124,,,,
b_force[187],,,,,,,,,-0.175864978,-5.145806421,-0.220226634,-6.618558073,,,,
b_force[188],,,,,,,,,-0.123789166,-3.52668226,-0.173048905,-5.073753896,,,,
b_force[189],,,,,,,,,-0.1564702,-4.532915424,-0.208489092,-6.227382698,,,,
b_force[190],,,,,,,,,-0.134654606,-3.857581501,-0.177905873,-5.229447929,,,,
b_force[191],,,,,,,,,-0.139990831,-4.021413645,-0.184820139,-5.452398886,,,,
b_force[192],,,,,,,,,-0.185917467,-5.468181499,-0.230536941,-6.965976642,,,,
b_force[193],,,,,,,,,-0.146933698,-4.235885604,-0.19549331,-5.799596682,,,,
b_force[194],,,,,,,,,-0.144614185,-4.164067876,-0.190715066,-5.643702381,,,,
b_force[195],,,,,,,,,-0.139019757,-3.991534727,-0.178683602,-5.254448974,,,,
b_force[196],,,,,,,,,-0.147033458,-4.238978167,-0.199365903,-5.926491005,,,,
b_force[197],,,,,,,,,-0.062585006,-1.72845191,-0.112711613,-3.201342688,,,,
b_force[198],,,,,,,,,-0.08375726,-2.338099672,-0.127742792,-3.65728361,,,,
b_force[199],,,,,,,,,-0.113772488,-3.224800164,-0.163739418,-4.777436314,,,,
b_force[200],,,,,,,,,-0.157021982,-4.550188411,-0.191761334,-5.677774103,,,,
,,,,,,,,,,,,,,,,
a_study[1],,,,,,,,,,,,,,,,
a_study[2],,,,,,,,,,,,,,,,
a_study[3],,,,,,,,,,,,,,,,
a_study[4],,,,,,,,,,,,,,,,
a_study[5],,,,,,,,,,,,,,,,
a_study[6],,,,,,,,,,,,,,,,
a_study[7],,,,,,,,,,,,,,,,
a_study[8],,,,,,,,,,,,,,,,
a_study[9],,,,,,,,,,,,,,,,
a_study[10],,,,,,,,,,,,,,,,
a_study[11],,,,,,,,,,,,,,,,
a_study[12],,,,,,,,,,,,,,,,
a_study[13],,,,,,,,,,,,,,,,
a_study[14],,,,,,,,,,,,,,,,
a_study[15],,,,,,,,,,,,,,,,
a_study[16],,,,,,,,,,,,,,,,
a_study[17],,,,,,,,,,,,,,,,
a_study[18],,,,,,,,,,,,,,,,
a_study[19],,,,,,,,,,,,,,,,
a_study[20],,,,,,,,,,,,,,,,
a_study[21],,,,,,,,,,,,,,,,
a_study[22],,,,,,,,,,,,,,,,
a_study[23],,,,,,,,,,,,,,,,
a_study[24],,,,,,,,,,,,,,,,
a_study[25],,,,,,,,,,,,,,,,
a_study[26],,,,,,,,,,,,,,,,
a_study[27],,,,,,,,,,,,,,,,
a_study[28],,,,,,,,,,,,,,,,
a_study[29],,,,,,,,,,,,,,,,
a_study[30],,,,,,,,,,,,,,,,
a_study[31],,,,,,,,,,,,,,,,
a_study[32],,,,,,,,,,,,,,,,
a_study[33],,,,,,,,,,,,,,,,
a_study[34],,,,,,,,,,,,,,,,
a_study[35],,,,,,,,,,,,,,,,
a_study[36],,,,,,,,,,,,,,,,
a_study[37],,,,,,,,,,,,,,,,
a_study[38],,,,,,,,,,,,,,,,
a_study[39],,,,,,,,,,,,,,,,
a_study[40],,,,,,,,,,,,,,,,
