mu_b_force_sp,-0.224,-6.739,-0.221340543,-6.643626082,-0.236453994,-7.196205688,-0.208213246,-6.194859481,-0.161227886,-4.682163713,-0.201331178,-5.991075931,-0.180989381,-5.27269851,-0.201333591,-5.951022798
b_chill[28],-0.216,-6.472,-0.393108378,-12.91403764,-0.366688348,-11.9495957,-0.246977267,-7.497502249,,,,,-0.370701376,-11.92588803,-0.398544119,-13.06509896
b_chill[29],-0.157,-4.559,-0.372730174,-12.11260375,-0.354285788,-11.46978272,-0.171147768,-4.995642897,,,,,-0.29809343,-9.229437875,-0.264519073,-8.079510991
b_chill[30],-0.4,-13.199,-0.26641684,-8.18637312,-0.23225647,-7.053061721,-0.372073654,-12.06290474,,,,,-0.167532914,-4.847001208,-0.146058724,-4.196167336
b_chill[31],-0.27,-8.322,-0.195678803,-5.795916341,-0.172906943,-5.092134671,-0.307526468,-9.636004338,,,,,-0.265600803,-8.084730537,-0.253592761,-7.701760173
b_chill[32],-0.139,-4,-0.372812944,-12.11582599,-0.396913864,-13.14414666,-0.155547982,-4.504067551,,,,,-0.403042333,-13.19142259,-0.37221017,-12.03205504
b_chill[33],-0.269,-8.29,-0.322482084,-10.20484602,-0.285476705,-8.913231948,-0.27031135,-8.306326847,,,,,-0.292681044,-9.036169777,-0.268997414,-8.23553528
b_chill[34],-0.4,-13.225,-0.176136214,-5.164781512,-0.155742689,-4.546381915,-0.440057595,-14.79419584,,,,,-0.202936462,-5.979406188,-0.18068957,-5.284246172
b_chill[35],-0.277,-8.591,-0.296936294,-9.271095843,-0.284181,-8.866758386,-0.30011529,-9.367246009,,,,,-0.53894206,-18.9802146,-0.508533378,-17.68637193
b_chill[36],-0.178,-5.25,-0.439846404,-14.81502084,-0.401999896,-13.34872602,-0.192928868,-5.694957491,,,,,,,,
b_chill[37],-0.513,-18.018,-0.317644735,-10.02619556,-0.294119037,-9.224755023,-0.546659739,-19.46896821,,,,,,,,
b_chill[38],-0.58,-21.131,-0.215648488,-6.453712877,-0.192698127,-5.733151336,-0.608326368,-22.40964319,,,,,,,,
b_chill[39],,,-0.547024571,-19.52484866,-0.509344694,-17.9184059,,,,,,,,,,
b_chill[40],,,-0.369445994,-11.98496479,-0.342400098,-11.01551623,,,,,,,,,,
b_chill[41],,,-0.59750672,-21.92429096,-0.56141394,-20.31802855,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
b_photo[1],-0.09,-2.536,-0.09698029,-2.730908878,-0.085295582,-2.402039791,-0.096263798,-2.704332259,,,,,-0.093178075,-2.595315102,-0.085384247,-2.3783387
b_photo[2],-0.075,-2.101,-0.057053015,-1.574421312,-0.057364594,-1.592796715,-0.063213333,-1.746359138,,,,,-0.062361345,-1.710067823,-0.077918437,-2.162185459
b_photo[3],-0.07,-1.951,-0.078865865,-2.200501532,-0.069573341,-1.943741116,-0.079212558,-2.206146395,,,,,-0.075696677,-2.089795173,-0.068286608,-1.885694105
b_photo[4],-0.092,-2.603,-0.103192226,-2.915023867,-0.093813943,-2.653373552,-0.102434845,-2.886735412,,,,,-0.103180053,-2.888547702,-0.094156826,-2.634396859
b_photo[5],-0.012,-0.327,-0.038860268,-1.062590844,-0.009172364,-0.248584971,-0.042221586,-1.154146819,,,,,-0.088307387,-2.45357731,-0.087519909,-2.440468706
b_photo[6],-0.088,-2.462,-0.093836769,-2.638173297,-0.084174762,-2.369129179,-0.093083588,-2.610770531,,,,,-0.045226433,-1.229521273,-0.114390791,-3.233631638
b_photo[7],-0.12,-3.421,-0.04782819,-1.313728575,-0.119777681,-3.432773843,-0.050128241,-1.375748674,,,,,-0.036682313,-0.992961526,-0.121068215,-3.434061364
b_photo[8],-0.121,-3.446,-0.036649958,-1.001038483,-0.120573865,-3.456995594,-0.037853206,-1.03246247,,,,,-0.021935279,-0.589387537,-0.063500506,-1.749291508
b_photo[9],-0.064,-1.763,-0.050179858,-1.379958306,-0.076735725,-2.151629144,-0.022210498,-0.601057649,,,,,-0.038422427,-1.040976048,-0.059800183,-1.644279902
b_photo[10],-0.06,-1.657,-0.022288504,-0.604399853,-0.062873149,-1.750611551,-0.038106897,-1.039514696,,,,,-0.112896237,-3.176223738,-0.109170388,-3.077865419
b_photo[11],-0.106,-3,-0.038762385,-1.059862121,-0.059734621,-1.660589174,-0.10939539,-3.093829843,,,,,-0.100576669,-2.811940519,-0.104425306,-2.936985566
b_photo[12],-0.105,-2.97,-0.109563634,-3.105057312,-0.103393964,-2.93860119,-0.103204307,-2.9095581,,,,,-0.071695332,-1.975323538,-0.079742778,-2.214855638
b_photo[13],-0.076,-2.117,-0.102307196,-2.88872264,-0.103626635,-2.945562584,-0.078791329,-2.193946539,,,,,-0.058428928,-1.599054538,-0.039585958,-1.077428794
b_photo[14],-0.038,-1.053,-0.076915346,-2.143959387,-0.075254337,-2.108509671,-0.058286391,-1.606243299,,,,,-0.361626648,-11.57807646,-0.353655803,-11.32035785
b_photo[15],-0.353,-11.357,-0.059381355,-1.640600943,-0.036636512,-1.0066865,-0.36121377,-11.64354705,,,,,-0.046431259,-1.263042,-0.042240732,-1.151222463
b_photo[16],-0.039,-1.072,-0.359474873,-11.59999781,-0.353579317,-11.44263047,-0.043514639,-1.190267816,,,,,-0.102837874,-2.878467348,-0.082164737,-2.284928177
b_photo[17],-0.081,-2.262,-0.034438476,-0.939589509,-0.016453017,-0.447531375,-0.106748633,-3.014912,,,,,-0.065652264,-1.803307589,-0.070977755,-1.962678286
b_photo[18],-0.071,-1.966,-0.105953742,-2.997240121,-0.07866164,-2.207783271,-0.065866034,-1.82208489,,,,,0.243026575,5.7337051,0.203589254,4.914947272
b_photo[19],-0.108,-3.073,-0.068854427,-1.911453572,-0.07145541,-1.998224001,-0.163516691,-4.754216739,,,,,-0.036678953,-0.992868897,-0.086781665,-2.418976942
b_photo[20],0.205,4.974,-0.166573729,-4.86042296,-0.107741791,-3.068954017,0.244272049,5.800106169,,,,,-0.064914926,-1.782390328,-0.069983075,-1.934199896
b_photo[21],-0.086,-2.411,0.243426393,5.793948042,0.206626286,5.036048059,-0.037281476,-1.016575836,,,,,-0.052973293,-1.445761491,-0.058963555,-1.620590993
b_photo[22],-0.067,-1.861,-0.076686957,-2.137345996,-0.079177703,-2.222848562,-0.07137423,-1.979968557,,,,,-0.091541687,-2.547618912,-0.113108589,-3.195297979
b_photo[23],-0.061,-1.678,-0.037993283,-1.038430977,-0.087134469,-2.456115003,-0.052435272,-1.440739329,,,,,-0.158158332,-4.553802317,-0.132819821,-3.790064553
b_photo[24],-0.113,-3.219,-0.067243333,-1.865208161,-0.065844483,-1.836099066,-0.094113444,-2.641036307,,,,,-0.099391404,-2.77712893,-0.094418165,-2.642059432
b_photo[25],-0.136,-3.923,-0.053482429,-1.473231505,-0.058885512,-1.636282712,-0.168526756,-4.912513543,,,,,-0.028372201,-0.764811559,-0.046768732,-1.27753837
b_photo[26],-0.096,-2.714,-0.095062883,-2.674309639,-0.112877569,-3.223662411,-0.10289612,-2.900414988,,,,,-0.077384854,-2.138228611,-0.070703735,-1.954830091
b_photo[27],-0.046,-1.266,-0.166290198,-4.851442986,-0.135169056,-3.904449005,-0.031864407,-0.86650176,,,,,-0.187948636,-5.49511315,-0.158123058,-4.570951546
b_photo[28],-0.069,-1.913,-0.104555578,-2.955585399,-0.092301089,-2.608580389,-0.076626092,-2.131316888,,,,,-0.434679405,-14.46965332,-0.415985008,-13.76440928
b_photo[29],-0.158,-4.584,-0.029552915,-0.804318432,-0.045282966,-1.249698827,-0.184525185,-5.423338575,,,,,-0.044846516,-1.218959555,-0.03956523,-1.076853385
b_photo[30],-0.418,-13.954,-0.074456231,-2.072830925,-0.066206766,-1.846539596,-0.437264189,-14.67827323,,,,,-0.168680077,-4.883068947,-0.173696591,-5.061484665
b_photo[31],-0.038,-1.051,-0.189513307,-5.595466071,-0.162102199,-4.747496641,-0.046840298,-1.283383817,,,,,-0.060701702,-1.663162382,-0.006525258,-0.174678114
b_photo[32],-0.171,-5.002,-0.437747426,-14.72772979,-0.416819537,-13.95079515,-0.169782878,-4.952326157,,,,,-0.092400936,-2.572653919,-0.083876489,-2.334555317
b_photo[33],-0.003,-0.077,-0.046963482,-1.289415081,-0.035395636,-0.971983243,-0.060442329,-1.667470439,,,,,-0.043062588,-1.169419972,-0.053218245,-1.458448421
b_photo[34],-0.084,-2.357,-0.169198373,-4.943671575,-0.169893268,-4.995632976,-0.093184899,-2.613746493,,,,,-0.131550039,-3.73642025,-0.129794483,-3.698014681
b_photo[35],-0.053,-1.452,-0.063810241,-1.76691164,-0.005971975,-0.161590469,-0.047771871,-1.309522712,,,,,-0.219144527,-6.511362,-0.135165787,-3.861635575
b_photo[36],-0.13,-3.719,-0.094968126,-2.67151536,-0.080800446,-2.270271551,-0.136049111,-3.90031107,,,,,,,,
b_photo[37],-0.135,-3.892,-0.043573002,-1.19428546,-0.050892512,-1.408485043,-0.221676502,-6.641572608,,,,,,,,
b_photo[38],-0.163,-4.756,-0.134322251,-3.85510898,-0.12884684,-3.709823087,-0.172983885,-5.05400804,,,,,,,,
b_photo[39],,,-0.219600301,-6.585448831,-0.133676193,-3.858381016,,,,,,,,,,
b_photo[40],,,-0.162361548,-4.727276596,-0.144329342,-4.188635325,,,,,,,,,,
b_photo[41],,,-0.166456172,-4.856699391,-0.156877209,-4.582166594,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
b_force[1],-0.264,-8.133,-0.242139727,-7.346847597,-0.264622967,-8.172527871,-0.23861542,-7.212220142,,,,,-0.23610728,-7.077398072,-0.257556326,-7.838314048
b_force[2],-0.123,-3.511,-0.064514913,-1.787060327,-0.080825173,-2.270994753,-0.044979787,-1.231252733,,,,,-0.041204476,-1.117914168,-0.121083355,-3.434517332
b_force[3],-0.223,-6.725,-0.215644245,-6.4535717,-0.220410775,-6.652325258,-0.217234149,-6.493509233,,,,,-0.214734217,-6.36575879,-0.222101716,-6.635842061
b_force[4],-0.032,-0.866,-0.048295714,-1.326882987,-0.031655702,-0.867649542,-0.046161976,-1.264366155,,,,,-0.039581373,-1.0730009,-0.032093925,-0.870229224
b_force[5],-0.356,-11.487,-0.367964625,-11.92752877,-0.369383019,-12.05463262,-0.362170876,-11.68032326,,,,,0.014548783,0.383846137,-0.037281845,-1.013540898
b_force[6],-0.036,-0.973,0.013260147,0.353237381,-0.039910845,-1.098465945,0.014168896,0.376520709,,,,,-0.342760808,-10.86501942,-0.338390446,-10.74463934
b_force[7],-0.353,-11.383,-0.367027183,-11.89122591,-0.350744666,-11.33387729,-0.359859343,-11.59156413,,,,,-0.281324957,-8.634045039,-0.249739121,-7.569511427
b_force[8],-0.25,-7.637,-0.292133448,-9.098190498,-0.250102574,-7.66582458,-0.288907092,-8.964558065,,,,,-0.035562983,-0.962120299,-0.07528962,-2.08645819
b_force[9],-0.076,-2.12,-0.69087562,-26.69434399,-0.705190545,-27.63114037,-0.034328101,-0.934654972,,,,,-0.164907854,-4.764622719,-0.148729802,-4.278756343
b_force[10],-0.154,-4.463,-0.034225237,-0.933671562,-0.074762903,-2.094219384,-0.166419193,-4.845826841,,,,,-0.189206271,-5.535472008,-0.237213642,-7.143166882
b_force[11],-0.248,-7.568,-0.165738778,-4.833985722,-0.158569965,-4.635634513,-0.204183251,-6.062308921,,,,,-0.26581895,-8.092292418,-0.310542893,-9.716769229
b_force[12],-0.342,-10.962,-0.207387718,-6.1800112,-0.250694318,-7.686330598,-0.300868984,-9.394487001,,,,,-0.226669922,-6.761294993,-0.230995378,-6.933483857
b_force[13],-0.256,-7.83,-0.31906237,-10.07846144,-0.364879772,-11.87925686,-0.247462695,-7.514137035,,,,,-0.315683879,-9.864839724,-0.345310084,-11.00451825
b_force[14],-0.349,-11.232,-0.258038768,-7.894345465,-0.257607314,-7.926791092,-0.318968145,-10.05485537,,,,,-0.124740421,-3.530707006,-0.138046776,-3.949759173
