"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y_ppc[861]",19.8866592134075,0.391086365538345,24.6804285543773,-28.9416550325329,3.24530949530644,19.9884749742372,36.5254838588592,68.3986357955776,3982.53904535781,0.999638897225722
"y_ppc[862]",16.96723745622,0.421042625010311,24.7453996368711,-31.6252911376719,0.0174757493278657,17.044362418234,33.8156610859731,64.215357999659,3454.11517552678,0.999571783895658
"y_ppc[863]",53.4609057089092,0.382939258490032,23.9069765047089,6.34800823875119,37.3685466259953,53.3140032486366,69.3897572405338,100.16180865525,3897.53052719633,0.999528005880128
"y_ppc[864]",28.6556330627023,0.382723183299626,24.3700766516475,-19.5879485845681,12.4929871080762,28.7567189824054,45.6455106181907,75.8430708588514,4054.56483922732,0.999744085412005
"y_ppc[865]",29.6245711333615,0.364726681578526,24.2485902094378,-17.7508559699894,12.9197832649592,29.9591698461998,46.3911151949848,76.3689891861423,4420.15926396494,1.00081794127121
"y_ppc[866]",30.6306807426367,0.387320495974686,24.3770075565776,-16.3770058759698,14.4120327004664,30.7954871576515,46.5911287071867,79.2172384468135,3961.13665437814,1.00002411578879
"y_ppc[867]",20.8672963671594,0.3866511252364,24.7591361503387,-28.7324612611429,4.25982054380477,21.0479001405531,37.6887793075906,68.8689741584792,4100.45848478973,0.999379999521972
"y_ppc[868]",19.5862111664321,0.390036465247396,24.9587099530072,-28.6878485495391,2.73382570234463,19.6059798807397,36.3619425532904,66.7717921192221,4094.81084028241,0.999498305443113
"y_ppc[869]",17.0142756996261,0.392204093165583,25.2730527214927,-32.0534564314612,-0.471909098170816,17.0708900095043,34.4997544846713,66.0629534535876,4152.32332638498,0.999851041802722
"y_ppc[870]",22.1424000705494,0.385905196123495,24.4919142083623,-26.2245888928306,5.83158841021078,22.0169077039313,38.1731489614879,69.9218128564846,4027.95125688786,1.00000538314916
"y_ppc[871]",21.5333184912922,0.402138911199541,24.783891313578,-27.5392300379041,5.19802963047091,21.4093161005686,37.6544312436593,71.1551533993916,3798.27842211429,1.00009516737605
"y_ppc[872]",22.4336854822188,0.375613347930911,24.899052219432,-24.5732759558831,5.15806055110101,22.8664007925866,39.2537794015399,70.9730868045173,4394.2382267684,0.999879308939362
"y_ppc[873]",20.6661254325258,0.389571260834928,25.304923082238,-27.0385095660492,3.05220575235679,20.7956231427362,37.8370641854748,70.3406142804549,4219.25934763037,1.00046652125106
"y_ppc[874]",19.0749087120855,0.418150025848313,25.0968646525734,-29.772426832164,1.80171428347842,19.2169346609424,36.2623066558958,68.0003776974582,3602.25689346957,0.99931877976421
"y_ppc[875]",25.1119950332781,0.376200301070061,24.4884571971509,-23.1315017705853,8.66504577134013,25.2641158892887,41.8811875125085,72.3858852276676,4237.25472110863,0.999887742690192
"y_ppc[876]",23.365091772272,0.381879067416863,24.5414602967078,-25.4011949804348,6.5458524796251,23.2487243572857,40.2239142196328,70.3441179000644,4129.99090796056,0.999759598110535
"y_ppc[877]",23.4579659177849,0.379077777520629,24.6474265418935,-25.0357085323527,6.7111070012611,23.7264854773554,40.1191035922478,71.5924911950857,4227.52817173581,1.0000251443457
"y_ppc[878]",30.1972253836934,0.377455858691006,24.5530810512034,-17.4541376708948,14.1072332505775,29.8368675133912,46.112005418738,79.6953822111002,4231.35685609117,1.00100555391151
"y_ppc[879]",35.0674204564722,0.398953236997085,25.0197682579087,-13.4611575801341,18.7475907265949,34.2796786411994,52.2127231436112,83.3799987666507,3932.98761874263,0.999860788457805
