"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1990/1991",1991,1977,2405.5,124.33673970456,9.478325349248
"1991/1992",1992,1990,3019,139.362755291946,9.28293415421769
"1992/1993",1993,1912,2311,125.667161565238,9.65606119433189
"1993/1994",1994,1533,2442,123.76398382597,9.72002345705317
"1994/1995",1995,2004,2371.5,122.897078573842,10.6114857012784
"1995/1996",1996,2268,2396.5,121.562261291544,8.4840374584594
"1996/1997",1997,1926,2470.5,125.329143533493,9.00530649189626
"1997/1998",1998,1749,2332,124.511751162992,10.2910847650437
"1998/1999",1999,1889,2554.5,132.394548139167,9.66603760920324
"1999/2000",2000,1553,2360.5,125.287173461732,10.2887322538021
"2000/2001",2001,1953,2318,120.663132944741,10.6472875872706
"2001/2002",2002,1229,2053,115.613895408727,10.2767451427227
"2002/2003",2003,1864,2402.5,126.474173202802,10.0283253369545
"2003/2004",2004,2205,2364,122.795041483063,9.64387311328622
"2004/2005",2005,2028,2064.5,111.84402707404,9.46011780248516
"2005/2006",2006,1899,1915,113.767355512588,8.64856121685127
"2006/2007",2007,1697,2350.5,128.494599042613,12.2615800040185
"2007/2008",2008,1996,2717,129.998254555442,9.63988250304678
"2008/2009",2009,1720,2164,121.0780488747,9.03676875534397
"2009/2010",2010,2058,1998.5,110.759231597417,9.04308950991967
"2010/2011",2011,1905,2272,121.331153775159,9.55304232871002
"2011/2012",2012,1629,2527.5,126.81109042183,9.76147874446035
"2012/2013",2013,2203,2385.5,123.215675341704,8.75886781815931
"1950/1951",1951,1680,2913,135.943674386074,9.16849988447502
"1951/1952",1952,2295,2671,129.100368437471,9.57485903032176
"1952/1953",1953,2024,2312,114.916297842713,8.51054235201171
"1953/1954",1954,1621,2301,119.150551068068,8.75974045964924
"1954/1955",1955,2372,2597,129.103139650478,8.51136782369137
"1955/1956",1956,1714,2211.5,121.859534413862,7.35929569956178
"1956/1957",1957,1603,2230,118.164686141367,9.8588677935724
"1957/1958",1958,1822,2606,131.070212059367,8.39827820357761
"1958/1959",1959,1712,2420.5,119.644764679701,9.89405647203115
"1959/1960",1960,1455,2133,114.170339322896,9.74152569326314
"1960/1961",1961,1415,1668.5,103.70624226174,10.7974055084435
"1961/1962",1962,2005,2406,127.810969916858,9.10294799914777
"1962/1963",1963,1383,1525,101.3343192788,6.56674522564764
"1963/1964",1964,1904,2520.5,126.225367280592,8.23908441229133
"1964/1965",1965,2035,2767,132.65611176477,8.68155649913264
"1965/1966",1966,1475,2010,113.105544515653,9.74386779614285
"1966/1967",1967,1564,2191,121.215690970596,9.97669797961793
"1967/1968",1968,2119,2303.5,121.982355476698,9.58859142438102
"1968/1969",1969,2055,2386,123.048516091556,8.41136782592655
"1969/1970",1970,2108,2505.5,123.788568045921,7.77268859491912
"1970/1971",1971,1664,2389.5,121.468373782127,8.84658008034974
"1971/1972",1972,1883,2732,129.054198892556,9.51478860912923
"1972/1973",1973,2266,3050,137.267642492216,8.29129707389335
"1973/1974",1974,1302,2741.5,130.317571526503,10.0069338279987
"1974/1975",1975,1810,2984,137.947069974805,9.8528300578583
"1975/1976",1976,1716,2432,126.860512727038,8.68171351037902
"1976/1977",1977,1695,2302.5,121.86841165821,9.72841968328059
"1977/1978",1978,1974,2624.5,128.472014357322,9.43346685968462
"1978/1979",1979,1815,2493.5,125.049685364929,7.89804236570215
"1979/1980",1980,1829,2717,133.090396173603,9.56145527475282
"1980/1981",1981,1968,2025.5,112.063892175984,8.81768857156155
"1981/1982",1982,1481,2325.5,117.723173807311,8.37617914746779
"1982/1983",1983,1742,2121,121.700147527576,10.1802121260124
"1983/1984",1984,2109,2920,132.930980120592,8.7431923822443
"1984/1985",1985,1699,2023,113.247632636284,8.31047160176666
"1985/1986",1986,1688,2284.5,122.730948521642,8.08924519161711
"1986/1987",1987,1638,2021,111.520960696097,8.66247631087987
"1987/1988",1988,1533,2498,125.338683805439,10.1122299103294
"1988/1989",1989,1601,2136.5,116.641582263908,10.5070989111588
"1989/1990",1990,1592,2238.5,115.87975927548,10.7031130577209
"1990/1991",1991,1783,2175,117.612163731668,9.478325349248
"1991/1992",1992,1612,2687.5,134.464766705774,9.28293415421769
"1992/1993",1993,1740,2124,118.729192620203,9.65606119433189
"1993/1994",1994,1251,2054,114.097633734319,9.72002345705317
"1994/1995",1995,1775,2140,118.94609442218,10.6114857012784
"1995/1996",1996,2172,2319.5,114.805820883918,8.4840374584594
"1996/1997",1997,1687,2244.5,117.549101641114,9.00530649189626
"1997/1998",1998,1555,2084,117.258774350282,10.2910847650437
"1998/1999",1999,1582,2276,119.890588597114,9.66603760920324
"1999/2000",2000,1218,1922,109.858270471247,10.2887322538021
"2000/2001",2001,1727,2054,112.530131553896,10.6472875872706
"2001/2002",2002,1023,1653.5,103.512178841483,10.2767451427227
"2002/2003",2003,1687,2169.5,120.019002842526,10.0283253369545
"2003/2004",2004,1915,2242,113.244128910982,9.64387311328622
"2004/2005",2005,1828,1944.5,106.808091665632,9.46011780248516
"2005/2006",2006,1751,1733,107.038971007495,8.64856121685127
"2006/2007",2007,1415,2052.5,115.68805550966,12.2615800040185
"2007/2008",2008,1822,2442,123.888954125161,9.63988250304678
"2008/2009",2009,1596,1951,114.810142009068,9.03676875534397
"2009/2010",2010,2046,1963.5,113.619749956868,9.04308950991967
"2010/2011",2011,1689,2039.5,111.855149097487,9.55304232871002
"2011/2012",2012,1379,2168.5,120.486733586305,9.76147874446035
"2012/2013",2013,2106,2286.5,121.119665618993,8.75886781815931
